Body,Body Name,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Registration Number,Expense Area,Expense Type,Expense Code
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026273/1,1100260273,13123.00,Damovo UK Limited,00732700,,General Admin Telephones,Telephones - Maintenance,D24GT000045009
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026277/3,1100260277,355.45,Viridor Waste Management Ltd,00682900,,Cleaning & Security,Trade Refuse Charges,D21FD000044008
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026279/3,1100260279,500.00,Mr Robin Sellers,01414300,,Legal Sals&Overheads,Legal Fees,D01AR000044002
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026279/4,1100260279,2000.00,Mr Robin Sellers,01414300,,Legal Sals&Overheads,Legal Fees,D01AR000044002
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026279/5,1100260279,1000.00,Mr Robin Sellers,01414300,,Legal Sals&Overheads,Legal Fees,D01AR000044002
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026280/3,1100260280,650.00,Epos Group (Kent),01017800,,Tonbridge Castle Gatehouse,Maintenance - General,B40TG000040135
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026289/1,1100260289,425.00,David Stephens,00097000,,Committee Administration,Meeting Expenses,D29LL000048020
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026290/1,1100260290,425.00,David Stephens,00097000,,Committee Administration,Meeting Expenses,D29LL000048020
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026291/5,1100260291,433.87,Daisy Communications,01068100,,General Admin Telephones,Telephones - Rentals,D24GT000045005
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026291/7,1100260291,500.79,Daisy Communications,01068100,,Information Technology,Leased Lines & Modems,D27KD000045011
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0011026294/1,1100260294,350.00,The Information Commissioner,00799000,,Legal Sals&Overheads,Stationery,D01AR000043003
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0012005099/1,1200050099,9375.00,Ebase Technology Limited,00895300,,Information Technology,Technical Assistance,D27KD000044004
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0012005100/1,1200050100,3750.00,Ebase Technology Limited,00895300,,General IT Developments,Initial Furniture & Equipment,P06DA000009906
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0012005101/1,1200050101,4500.00,Ebase Technology Limited,00895300,,Implementing E-Government,Initial Furniture & Equipment,P06DP000009906
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0012005102/3,1200050102,1760.00,Macfarlane Telesystems Limited,01039800,,Customer Services,Purchases,D23CS000040101
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0012005103/3,1200050103,5288.50,Ebase Technology Limited,00895300,,Information Technology,Software Hire & Support,D27KD000044059
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0012005104/1,1200050104,279.24,KHIPU Networks Limited,01191500,,Information Technology,Software Hire & Support,D27KD000044059
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0021028998/1,2100280998,684.21,Hazelwood Landscapes,01340400,,Community Group Funding,Other Expenses,P05KS000009908
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0021028999/1,2100280999,635.88,Hazelwood Landscapes,01340400,,Community Group Funding,Other Expenses,P05KS000009908
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0021029000/1,2100290000,986.85,Hazelwood Landscapes,01340400,,Community Group Funding,Other Expenses,P05KS000009908
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0032006756/1,3200060756,1983.75,Nathaniel Lichfield & Partners Ltd,00070000,,Development Control,Tonbridge Town Centre,A01AB000048139
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0041019984/4,4100190984,2681.26,Rundle & Co Ltd,00087200,,Local Revenue & NNDR Collect,Bailiffs Commission,D41QA000044075
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0041019985/3,4100190985,30067.50,Grant Thornton UK LLP,01407400,,Public Accountability,Audit Fees,D29LR000044223
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0041019986/1,4100190986,12046.70,Revo Group Ltd,01411600,,LLC Fitness Suite Enhancement,Contract Payments,P05LK000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0041019986/2,4100190986,51098.00,Revo Group Ltd,01411600,,LLC Fitness Suite Enhancement,Contract Payments,P05LK000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0041019986/3,4100190986,10064.22,Revo Group Ltd,01411600,,LLC Fitness Suite Enhancement,Contract Payments,P05LK000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0041019995/1,4100190995,522.50,Croner.CCH,00843500,,Finance Sals&Overheads,Reference Books & Publications,D01AFDF0443010
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012608/4,6100120608,584.00,Rigby Taylor Ltd,00084500,,Poult Wood Golf Centre Grounds,Purchases,X12MB000040101
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012608/6,6100120608,301.00,Rigby Taylor Ltd,00084500,,Poult Wood Golf Centre Grounds,Purchases,X12MB000040101
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012665/2,6100120665,300.00,Ben Webb,01339100,,Angel Centre,Special Events,X01AAX37191309
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012667/2,6100120667,1196.35,Southern Water,00093900,,Angel Centre,Sewerage Charges,X01AA000024003
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012668/7,6100120668,1963.81,Phonographic Performance Ltd,00077100,,Angel Centre,Licences,X01AA000048011
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012668/8,6100120668,753.95,Phonographic Performance Ltd,00077100,,Larkfield Leisure Centre,Licences,X30PA000048011
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012668/9,6100120668,529.26,Phonographic Performance Ltd,00077100,,Tonbridge Swimming Pool,Licences,X60TP000048011
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012670/3,6100120670,897.61,GM Amenity Ltd,01117500,,Poult Wood Golf Centre Grounds,Purchases,X12MB000040101
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012671/3,6100120671,694.95,GM Amenity Ltd,01117500,,Poult Wood Golf Centre Grounds,Purchases,X12MB000040101
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0061012675/5,6100120675,390.14,3663,01067600,643994692,Angel Centre,Special Events,X01AAX38791309
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0062018985/4,6200180985,297.60,J P Lennard Ltd,00052900,,Larkfield Leisure Centre,Purchases,X30PA000040101
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0062018986/5,6200180986,430.00,Monarch Chemicals Ltd,00140700,,Larkfield Leisure Centre,Chemicals,X30PA000040117
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0062018992/5,6200180992,470.00,Siemens Financial Services Ltd,00088400,,Larkfield Leisure Centre,Maintenance - Contracts,X30PA000040172
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0062018993/2,6200180993,1497.35,Southern Water,00093900,,Larkfield Leisure Centre,Sewerage Charges,X30PA000024003
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0062018996/3,6200180996,2612.09,Revo Group Ltd,01411600,,Angel Centre,Publicity & Promotion,X01AA000044217
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0062018996/4,6200180996,11000.00,Revo Group Ltd,01411600,,Larkfield Leisure Centre,Publicity & Promotion,X30PA000044217
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0062018996/5,6200180996,3000.00,Revo Group Ltd,01411600,,Tonbridge Swimming Pool,Publicity & Promotion,X60TP000044217
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0063017076/5,6300170076,273.36,Air Products CryoEase Services,00452200,,Tonbridge Swimming Pool,Chemicals,X60TP000040117
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0063017078/2,6300170078,2200.50,Southern Water,00093900,,Tonbridge Swimming Pool,Sewerage Charges,X60TP000024003
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0063017082/5,6300170082,428.05,Business Cleaning Supplies,00016400,,Tonbridge Swimming Pool,Cleaning & Domestic Supplies,X60TP000026001
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0063017083/2,6300170083,375.00,Prestige Window Clean,01080100,,Tonbridge Swimming Pool,Maintenance - Contracts,X60TP000040172
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001554/1,6400010554,15426.81,Revo Group Ltd,01411600,,Dance/Exercise Studio,Contract Payments,P05LH000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001555/1,6400010555,1980.00,Revo Group Ltd,01411600,,Capital Renewals Leisure,Initial Furniture & Equipment,P05KGBC0209906
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001556/1,6400010556,15927.84,D2F Group,01410000,,Capital Renewals Leisure,Initial Furniture & Equipment,P05KGBC0209906
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001556/2,6400010556,480.68,D2F Group,01410000,,LLC Fitness Suite Enhancement,Contract Payments,P05LK000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001556/3,6400010556,558.46,D2F Group,01410000,,LLC Fitness Suite Enhancement,Contract Payments,P05LK000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001556/4,6400010556,348.85,D2F Group,01410000,,LLC Fitness Suite Enhancement,Contract Payments,P05LK000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001556/5,6400010556,968.62,D2F Group,01410000,,LLC Fitness Suite Enhancement,Contract Payments,P05LK000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001556/6,6400010556,1000.00,D2F Group,01410000,,LLC Fitness Suite Enhancement,Contract Payments,P05LK000009904
http://statistics.data.gov.uk/id/local-authority/29UP,Tonbridge & Malling Borough Council,03/01/2013,0064001557/1,6400010557,21711.67,Revo Group Ltd,01411600,,Capital Renewals Leisure,Initial Furniture & Equipment,P05KGBC0209906
