Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Derby City,01/04/2011,Voluntary Sector,Alcohol Service-DAMS,ADS,8252705,129814.25
Department of Health,NHS Derby City,01/04/2011,Independent Sector,DICES,DERBY CITY COUNCIL,8252647,115523.76
Department of Health,NHS Derby City,01/04/2011,Independent Sector,DICES,DERBY CITY COUNCIL,8252648,106614.32
Department of Health,NHS Derby City,01/04/2011,Independent Sector,DICES,DERBY CITY COUNCIL,8252655,36000
Department of Health,NHS Derby City,01/04/2011,GMS PCT Spnd IM&T - GPSys,GMS-Clarence Rd Surgery,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,2704.51
Department of Health,NHS Derby City,01/04/2011,GMS PCT Spnd IM&T - GPSys,GMS-Derwent Medical,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,2561.36
Department of Health,NHS Derby City,01/04/2011,GMS PCT Spnd IM&T - GPSys,GMS-Friar Gate Surgery,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,2705.55
Department of Health,NHS Derby City,01/04/2011,GMS PCT Spnd IM&T - GPSys,GMS-Park Lane Surgery,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,2705.55
Department of Health,NHS Derby City,01/04/2011,PMS PCT Spnd IM&T - GPSys,PMS-Ascot Medical,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,799.93
Department of Health,NHS Derby City,01/04/2011,PMS PCT Spnd IM&T - GPSys,PMS-Derby Lane Medical,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,2705.55
Department of Health,NHS Derby City,01/04/2011,PMS PCT Spnd IM&T - GPSys,PMS-Meadowfields,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,3131.98
Department of Health,NHS Derby City,01/04/2011,PMS PCT Spnd IM&T - GPSys,PMS-Mickleover Surgery,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,2705.55
Department of Health,NHS Derby City,01/04/2011,PMS PCT Spnd IM&T - GPSys,PMS-Village Surgery,EMIS (EGTON MEDICAL INFORMATION SYSTEMS LTD),8177013,3610.15
Department of Health,NHS Derby City,01/04/2011,Commercial Sector,DAAT Pooled Treatment,QUANTUM DIAGNOSTICS LTD,8252677,30000
Department of Health,NHS Derby City,04/04/2011,Hlthcre-Foundation Trsts,SLA-Birmingham Child FT,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,8128589,-29063
Department of Health,NHS Derby City,04/04/2011,Lease Rents,DSS Estates,CLOWES DEVELOPMENT UK LTD,8278737,135970
Department of Health,NHS Derby City,04/04/2011,Hlthcre-Foundation Trsts,SLA-DHFT Non Tar-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,8198507,386183
Department of Health,NHS Derby City,04/04/2011,Hlthcre-Foundation Trsts,SLA-DHFT Tariff-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,8198507,-313344
Department of Health,NHS Derby City,04/04/2011,Hlthcre-Foundation Trsts,SLA-DHFT Non Tar-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,8198509,11473.31
Department of Health,NHS Derby City,04/04/2011,Hlthcre-Foundation Trsts,SLA-DHFT Tariff-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,8198509,455296.74
Department of Health,NHS Derby City,04/04/2011,SrvcsRecd-FoundationTrust,Comm + Primary Care Comm,DERBY HOSPITALS NHS FOUNDATION TRUST,8198561,55945
Department of Health,NHS Derby City,04/04/2011,Hlthcre-Foundation Trsts,SLA-DHFT Non Tar-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,8198599,146808.55
Department of Health,NHS Derby City,04/04/2011,Hlthcre-Foundation Trsts,SLA-DHFT Tariff-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,8198599,-421159.86
Department of Health,NHS Derby City,04/04/2011,Healthcare Srv Rec PCTs,MH-Complex OOA Inpatients,DERBYSHIRE COUNTY PCT,8198526,273045
Department of Health,NHS Derby City,04/04/2011,Services Received - PCTs,Comm + Primary Care Comm,DERBYSHIRE COUNTY PCT,8252650,47289.44
Department of Health,NHS Derby City,04/04/2011,Hcare Srv Rec NHS Trust,SLA-East Mids Amb Ser NT,EAST MIDLANDS AMBULANCE SERVICES NHS TRUST,8252687,163230
Department of Health,NHS Derby City,04/04/2011,Hcare Srv Rec NHS Trust,SLA-East Mids Amb Ser NT,EAST MIDLANDS AMBULANCE SERVICES NHS TRUST,8252709,-143515
Department of Health,NHS Derby City,04/04/2011,Healthcare Srv Rec PCTs,NHS-NCA-G+A,NOTTINGHAMSHIRE COMMUNITY HEALTH (PROVIDER),8198502,28406.77
Department of Health,NHS Derby City,04/04/2011,Healthcare Srv Rec PCTs,NHS-NCA-G+A,NOTTINGHAMSHIRE COMMUNITY HEALTH (PROVIDER),8252856,30958.26
Department of Health,NHS Derby City,04/04/2011,Hlthcre-Foundation Trsts,SLA-Birmingham Univ FT,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,8229761,34732.12
Department of Health,NHS Derby City,06/04/2011,Hlthcre-Foundation Trsts,Alcohol Service-General,DERBY HOSPITALS NHS FOUNDATION TRUST,8268593,15000
Department of Health,NHS Derby City,06/04/2011,Hlthcre-Foundation Trsts,DAAT Pooled Treatment,DERBY HOSPITALS NHS FOUNDATION TRUST,8268593,15000
Department of Health,NHS Derby City,06/04/2011,Hlthcre-Foundation Trsts,SLA-DHFT Non Tar-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,8286487,3242024
Department of Health,NHS Derby City,06/04/2011,Hlthcre-Foundation Trsts,SLA-DHFT Tariff-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,8286487,10307242
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,MH-Retraction,DERBYSHIRE COUNTY PCT,8268594,69849.09
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,MH-Complex OOA Inpatients,DERBYSHIRE COUNTY PCT,8286466,138672
Department of Health,NHS Derby City,06/04/2011,Hlthcre-Foundation Trsts,SLA-DHC FT-M/I,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,8286464,53909
Department of Health,NHS Derby City,06/04/2011,Hcare Srv Rec NHS Trust,SLA-East Mids Amb Ser NT,EAST MIDLANDS AMBULANCE SERVICES NHS TRUST,8286471,594732
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-DHFT Non Tar-G+A (SC),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,1233949
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-DHFT Tariff-G+A (SC),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,451133
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-EMSCG-G+A,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,179907
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-NUH NT-G+A (SC),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,682084
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-Sheff Child FT (SC),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,9375
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-Sheff Teach FT (SC),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,39705
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-Sherwood Frst FT (SC),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,1632
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-UHL NT-G+A (SC),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,181064
Department of Health,NHS Derby City,06/04/2011,Healthcare Srv Rec PCTs,SLA-United Lincs  NT (SC),LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,8286467,146
Department of Health,NHS Derby City,08/04/2011,Independent Sector,The Lighthouse (Pool),DERBY CITY COUNCIL,8286456,971181
Department of Health,NHS Derby City,08/04/2011,Out of Hours Dev Fund PMS,Out Of Hours,DERBYSHIRE HEALTH UNITED LTD,8286488,237934
Department of Health,NHS Derby City,08/04/2011,PMSDES Svcs Violent Pat,PMS-Wilson Street Surgery,WILSON STREET SURGERY,8286438,30510
Department of Health,NHS Derby City,12/04/2011,Contr Other External,DSS Estates,MAYFAIR PROPERTY MANAGEMENT CO (DERBY) LTD,8315710,51000
Department of Health,NHS Derby City,12/04/2011,Contr Other External,DSS Estates,MAYFAIR PROPERTY MANAGEMENT CO (DERBY) LTD,8322960,30000
Department of Health,NHS Derby City,12/04/2011,Commercial Sector,DAAT Pooled Treatment,PHOENIX HOUSE,8315709,47000
Department of Health,NHS Derby City,12/04/2011,Independent Sector,DAAT Pooled Treatment,PHOENIX HOUSE,8322962,55167
Department of Health,NHS Derby City,12/04/2011,Commercial Sector,MH- IAPT,TRENT CBT,8322959,169000
Department of Health,NHS Derby City,13/04/2011,Hcare Srv Rec NHS Trust,SLA-Notts Healthcare NT,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,8340108,49998.78
Department of Health,NHS Derby City,15/04/2011,SrvcsRecd-FoundationTrust,DSS SLA-Logistics,BERKSHIRE SHARED SERVICES,8340095,26114.79
Department of Health,NHS Derby City,15/04/2011,Hlthcre-Foundation Trsts,SLA-Burton Hosp FT,BURTON HOSPITALS NHS FOUNDATION TRUST,8340113,40000
Department of Health,NHS Derby City,15/04/2011,Commercial Sector,Childrens Continuing Care,CHEADLE ROYAL HOSPITAL,8348919,26691
Department of Health,NHS Derby City,15/04/2011,AUC Additions,BALANCE SHEET,CJ GOODWIN LTD,8295285,30372
Department of Health,NHS Derby City,15/04/2011,Independent Sector,Reablement,DERBY CITY COUNCIL,8348899,799000
Department of Health,NHS Derby City,15/04/2011,Rent,SPACE,DERBY CITY COUNCIL,8348900,55872
Department of Health,NHS Derby City,15/04/2011,Independent Sector,CC-Fully Fund-PD-Over 65,DERBYSHIRE COUNTY COUNCIL,8331036,-37481.1
Department of Health,NHS Derby City,15/04/2011,Independent Sector,CC-Fully Fund-PD-Over 65,DERBYSHIRE COUNTY COUNCIL,8348891,70771.82
Department of Health,NHS Derby City,15/04/2011,Healthcare Srv Rec PCTs,SLA-DCHS-Comm Hlth Serv,DERBYSHIRE COUNTY PCT DCHS,8261018,-106877
Department of Health,NHS Derby City,15/04/2011,Healthcare Srv Rec PCTs,SLA-DCHS-Comm Hlth Serv,DERBYSHIRE COUNTY PCT DCHS,8261019,-82835
Department of Health,NHS Derby City,15/04/2011,Healthcare Srv Rec PCTs,SLA-DCHS-Comm Hlth Serv,DERBYSHIRE COUNTY PCT DCHS,8268575,34095
Department of Health,NHS Derby City,15/04/2011,IT Additions,BALANCE SHEET,DERBYSHIRE COUNTY PCT DCHS,8268580,27220.55
Department of Health,NHS Derby City,15/04/2011,Hcare Srv Rec NHS Trust,SLA-DCHS-Comm Hlth Serv,DERBYSHIRE COUNTY PCT DCHS,8340047,510467
Department of Health,NHS Derby City,15/04/2011,Commercial Sector,DHU-Walk In Centre,DERBYSHIRE HEALTH UNITED LTD,8348911,108815.66
Department of Health,NHS Derby City,15/04/2011,Hlthcre-Foundation Trsts,SLA-DHC FT-M/I,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,8340101,2568567
Department of Health,NHS Derby City,15/04/2011,Hlthcre-Foundation Trsts,SLA-DHC FT-L/D,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,8340102,216475
Department of Health,NHS Derby City,15/04/2011,Commercial Sector,Nuffield Hospital,NUFFIELD HEALTH,8331049,56675
Department of Health,NHS Derby City,15/04/2011,Other Gen Supplies & Srv,CS-Family Nurse Partnersh,RIPPLEZ CIC,8348913,131975.5
Department of Health,NHS Derby City,15/04/2011,Voluntary Sector,SLA-Treetops Hospice,TREETOPS HOSPICE TRUST,8340117,102607.8
Department of Health,NHS Derby City,15/04/2011,Hcare Srv Rec NHS Trust,SLA-UHL NT-G+A,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,8340044,56409.87
Department of Health,NHS Derby City,19/04/2011,Voluntary Sector,AIDS,DERBYSHIRE FRIEND,8364701,41877.56
