Payment Date,Transaction id,Supplier,Expense Type,Expense Area,Amount in Sterling,Supplier VAT Registration Number
05/10/2010,2650602,3M Health Care Ltd,Contractor Costs,Health Directorate - Payment by Results,35810,362586629
26/10/2010,2650992,42 Bedford Row,Legal & Professional Fees,Legal Directorate,16600,872278594
28/10/2010,2651258,Anglia Ruskin University,Student Training,Graduate Trading Account,925,637150940
26/10/2010,2651095,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Regional Director - Ops Northern,4894.27,334331879
26/10/2010,2651099,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Housing Southern,3635.6,334331879
26/10/2010,2651098,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,3599.32,334331879
26/10/2010,2651097,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,East Midlands Sub-Region - Ops Central,3466.08,334331879
26/10/2010,2651100,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,North East and Humberside,2932.99,334331879
26/10/2010,2651096,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of Ops - South West - Ops Southern,2766.99,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,London operational staff,669.31,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Regional Director - Ops Central,636.73,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Ops - South West - Ops Southern,541.26,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Housing Central,493.28,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Regional Costs - Ops Southern,466.96,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,HR Training and Development,416.84,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Technical Support Team,408.05,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,371.63,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Regional Director - Ops Central,360.78,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South Central - Ops Southern,334.32,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,324.38,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,302.22,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,235.29,334331879
26/10/2010,2651096,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of Ops - South West - Ops Southern,54.6,334331879
26/10/2010,2651100,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,North East and Humberside,53.4,334331879
26/10/2010,2651097,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,East Midlands Sub-Region - Ops Central,52.8,334331879
26/10/2010,2651095,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Regional Director - Ops Northern,52.32,334331879
26/10/2010,2651098,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Head of North West Management - Ops Northern,50.28,334331879
26/10/2010,2651099,Arnold Clark Finance Ltd,Car Lease Costs - Purchases,Housing Southern,40.92,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,London operational staff,17,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Regional Director - Ops Central,14.39,334331879
14/10/2010,2650749,Arnold Clark Finance Ltd,Car Termination Penalties,Head of Operations - South East - Ops Southern,12.22,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,11.89,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Housing Central,10.81,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Ops - South West - Ops Southern,8.96,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of North West Management - Ops Northern,8.5,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South Central - Ops Southern,7.67,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,North East and Humberside,6.83,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,HR Training and Development,5.79,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Regional Costs - Ops Southern,5.74,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Regional Director - Ops Central,5.73,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Technical Support Team,5.67,334331879
14/10/2010,2650733,Arnold Clark Finance Ltd,Car Lease Costs - Recharges & Extensions,Head of Operations - South East - Ops Southern,5.62,334331879
14/10/2010,2650749,Arnold Clark Finance Ltd,Car Termination Penalties,Head of Operations - South East - Ops Southern,0.18,334331879
14/10/2010,2650749,Arnold Clark Finance Ltd,Car Termination Penalties,Head of Operations - South East - Ops Southern,-10.65,334331879
14/10/2010,2650749,Arnold Clark Finance Ltd,Car Termination Penalties,Head of Operations - South East - Ops Southern,-704.32,334331879
07/10/2010,2650577,Ashridge Consulting Group Ltd,Staff Training,Studies,726,596272403
28/10/2010,2651249,Atlantic Business Centre,Rent Licences (Not Leased),Asset Management & Sustainability,1580,875028705
28/10/2010,2651229,Auditware Systems Ltd,Software Support & Maintenance,Core IT,5910,472876113
26/10/2010,2650991,Automotive Leasing,Car Lease Costs - Purchases,Housing Northern,3759.97,442558739
19/10/2010,2650929,Automotive Leasing,Car Lease Costs - Purchases,North East and Humberside,3518.75,442558739
26/10/2010,2650982,Automotive Leasing,Car Lease Costs - Purchases,HR Policy and Advice,2812.28,442558739
05/10/2010,2650631,Banner Managed Communication,Publications (External),Communications - Marketing,1105.33,880987073
12/10/2010,2650756,Banner Managed Communication,Corporate Subscriptions,Communications - Marketing,750,880987073
19/10/2010,2650890,Bates Wells & Braithwaite,Legal Fees for advice to Auditors,London operational staff,1760,244270186
19/10/2010,2650922,Bevan Brittan LLP,Legal & Professional Fees,Legal Directorate,827.91,840723148
19/10/2010,2650922,Bevan Brittan LLP,Legal & Professional Fees,Legal Directorate,484.55,840723148
14/10/2010,2650876,BPP Professional Education,Legal & Professional Fees,HR Training and Development,1000,466451629
14/10/2010,2650796,British Gas Business,"Heat, Light & Power",Asset Management & Sustainability,5307.7,684966762
14/10/2010,2650800,British Gas Business,"Heat, Light & Power",Asset Management & Sustainability,1556.09,684966762
14/10/2010,2650804,British Gas Business,"Heat, Light & Power",Asset Management & Sustainability,985.42,684966762
14/10/2010,2650803,British Gas Business,"Heat, Light & Power",Asset Management & Sustainability,712.17,684966762
