Department Family ,Entity, Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Distribution Line Number
DCMS,ODA,03-Mar-2011,Planning Strategies & Conditions,Ebbsfleet Community Sports Centre,Ebbsfleet Community Sports Centre Limited,54027,416856.35,1
DCMS,ODA,04-Mar-2011,Compulsory Purchase Orders,Stratford City Negotiations,London Development Agency,49366,1519225.96,1
DCMS,ODA,04-Mar-2011,Compulsory Purchase Orders,Stratford City Negotiations,London Development Agency,49366,1066408.04,2
DCMS,ODA,04-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,London Development Agency,49366,452485.95,3
DCMS,ODA,07-Mar-2011,Service Charges,17th Floor Running Costs,DTZ Debenham Tie Leung Ltd,2001,-30774.70,1
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,DTZ Debenham Tie Leung Ltd,2001,-6154.94,2
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,DTZ Debenham Tie Leung Ltd,2001,6154.94,3
DCMS,ODA,07-Mar-2011,Service Charges,17th Floor Running Costs,DTZ Debenham Tie Leung Ltd,2002,-88296.00,1
DCMS,ODA,07-Mar-2011,Legal - Other,SVDL Land Costs,Berwin Leighton Paisner,51344,38641.03,1
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Berwin Leighton Paisner,51344,6762.18,2
DCMS,ODA,07-Mar-2011,Consultants,Tier 1 & 2 Contractor Admin,Atkins Limited,52966,156084.88,1
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,52966,27314.85,2
DCMS,ODA,07-Mar-2011,Consultants,Utilities Design Co-Ordination,Atkins Limited,52977,26795.25,1
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,52977,4689.17,2
DCMS,ODA,07-Mar-2011,Consultants,PTP Works,Atkins Limited,52985,64651.86,1
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,52985,11314.08,2
DCMS,ODA,07-Mar-2011,Consultants,Security V&I Programme Support - WSP,WSP Development & Transportation,53031,32486.50,1
DCMS,ODA,07-Mar-2011,Consultants,Security V&I Programme Support - WSP,WSP Development & Transportation,53031,31317.50,2
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,WSP Development & Transportation,53031,12760.80,3
DCMS,ODA,07-Mar-2011,Other Professional Fees,Travel Demand Management,Ove Arup & Partners Limited,53065,41097.00,1
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,53065,8219.40,2
DCMS,ODA,07-Mar-2011,Telephones - Line rental,ICT - Main ICT Backbone,BT Plc,53133,45103.64,1
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BT Plc,53133,8996.41,2
DCMS,ODA,07-Mar-2011,Tier 1 Contractors,Olympic Village Sales and Marketing,Lend Lease Europe Ltd,53242,98000.00,1
DCMS,ODA,07-Mar-2011,Tier 1 Contractors,Olympic Village Sales and Marketing,Lend Lease Europe Ltd,53242,2000.00,2
DCMS,ODA,07-Mar-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,53242,400.00,4
