Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/03/2011,PHARMACY,DIAGNOSTICS PAN TRUST,ABBOTT LABORATORIES LIMITED,"25,025.62",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/03/2011,SW SUPPORT,DIAGNOSTICS PAN TRUST,ACCENTURE UK LTD,"89,554.79",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/03/2011,INSURANCE CHARGES,FACILITIES / ESTATES,ALLIANZ ENGINEERING,"30,609.11",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/03/2011,ENGIN AND MAINT EXT CONTRACTS,FACILITIES / ESTATES,APOLLO LIFTS LTD,"126,000.00",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/03/2011,ENGIN AND MAINT EXT CONTRACTS,FACILITIES / ESTATES,APOLLO LIFTS LTD,"52,500.00",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/03/2011,CONSULTANCY FEES,DIRECTOR OF FINANCE,BEACHCROFT LLP,"22,823.95",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/03/2011,COMPUTER MAINTENANCE,INFORMATION TECHNOLOGY,BT GLOBAL SERVICES,"12,826.56",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2011,COMPUTER MAINTENANCE,INFORMATION TECHNOLOGY,BT GLOBAL SERVICES,"12,826.56",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/03/2011,DESKTOP HARD/W,INFORMATION TECHNOLOGY,BT GLOBAL SERVICES,"32,790.00",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/03/2011,WAN USAGE,INFORMATION TECHNOLOGY,BT GLOBAL SERVICES,"146,770.60",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2011,WAN USAGE,INFORMATION TECHNOLOGY,BT GLOBAL SERVICES,"58,750.78",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/03/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,CARL ZEISS LTD,"39,866.40",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/03/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,CARL ZEISS LTD,"67,037.52",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/03/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,CARL ZEISS LTD,"32,311.20",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/03/2011,COMPUTER HARDWARE,CAPITAL PROGRAM,CAYDER LTD,"50,431.00",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2011,STRUCTURE,CAPITAL PROGRAM,CLS DEMOLITION LTD,"112,100.66",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/03/2011,FUEL - STEAM,FACILITIES / ESTATES,COFELY LTD,"86,113.84",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/03/2011,FUEL - STEAM,FACILITIES / ESTATES,COFELY LTD,"24,501.33",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/03/2011,FUEL - STEAM,FACILITIES / ESTATES,COFELY LTD,"128,973.91",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/03/2011,CHILDCARE VOUCHERS,PAN TRUST,COMPUTERSHARE VOUCHER SERVICES,"30,919.98",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/03/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,CROSS TECHNOLOGIES PLC,"78,891.60",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/03/2011,FUEL - STEAM,FACILITIES / ESTATES,DALKIA UTILITIES SERVICES PLC,"43,594.58",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/03/2011,FUEL - STEAM,FACILITIES / ESTATES,DALKIA UTILITIES SERVICES PLC,"120,535.55",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/03/2011,FUEL - STEAM,FACILITIES / ESTATES,DALKIA UTILITIES SERVICES PLC,"80,608.46",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/03/2011,FUEL - STEAM,FACILITIES / ESTATES,DALKIA UTILITIES SERVICES PLC,"43,594.58",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,30/03/2011,CONS FEE PRIVATE PATIENT WORK,BOSTONIAN,"DRS ASLAM,JONES,MALCOM & BRITTON","26,155.88",Mar-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/03/2011,EQUIPMENT >#5K,CAPITAL PROGRAM,ELEKTA LIMITED,"33,971.70",Mar-11
