OFCOM NATIONS & REGIONS TRACKER - QUARTER 1 2011 - MAIN SET. 4th January to 28th February 2011.                                Table 1,,,,,,,,,,,,,,,,,,,
All data have been weighted to ensure they are representative of the UK adult population.,,,,,,,,,,,,,,,,,,,
"Ofcom does not quota or weight by household income, so it may not be representative of the UK population, but it is included for reasons of interest.",,,,,,,,,,,,,,,,,,,
Any break column with a base size lower than 100 has been removed as margins of error become too great. Data is tested at the 95% confidence level.,,,,,,,,,,,,,,,,,,,
NATION,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Base : All respondents,,,,,,,,,,,,,,,,,,,
,,GENDER,,AGE GROUP,,,,HOUSEHOLD INCOME,,,,SOCIAL GROUP,,,,NATION,,,
,Total,MALE,FEMALE,16-24,25-34,35-54,55+,UNDER £11.5K,£11.5K- £17.5K,£17.5K- £29.9K,£30K+,AB,C1,C2,DE,ENG LAND,SCOT LAND,WALES,NI
Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r
Unweighted total,3474,1679,1795,460,540,1204,1270,697,383,408,596,784,1014,701,975,1983,487,493,511
Effective Weighted Sample,2281,1110,1171,296,342,813,864,445,236,273,437,524,671,466,629,1719,330,329,470
Total,2256,1082,1174,327,408,781,740,378,217,280,472,566,669,413,608,1886,197,111,62
England,1886,905,981,276,340,654,616,297,169,240,428,490,566,339,490,1886,0,0,0
,84%,84%,84%,84%,83%,84%,83%,78%,78%,86%,91%,87%,85%,82%,81%,100%,0%,0%,0%
,,,,,,,,,,gh,gh,n,,,,pqr,,,
Scotland,197,94,102,25,36,67,69,40,23,18,20,41,55,39,61,0,197,0,0
,9%,9%,9%,8%,9%,9%,9%,10%,10%,6%,4%,7%,8%,10%,10%,0%,100%,0%,0%
,,,,,,,,j,j,,,,,,,,oqr,,
Wales,111,52,59,16,19,39,37,25,16,12,16,23,30,20,38,0,0,111,0
,5%,5%,5%,5%,5%,5%,5%,7%,7%,4%,3%,4%,4%,5%,6%,0%,0%,100%,0%
,,,,,,,,j,j,,,,,,,,,opr,
Northern Ireland,62,30,32,10,13,21,18,16,10,10,9,11,18,14,19,0,0,0,62
,3%,3%,3%,3%,3%,3%,2%,4%,5%,3%,2%,2%,3%,3%,3%,0%,0%,0%,100%
,,,,,,,,j,,,,,,,,,,,opq
"Columns Tested: a,b - c,d,e,f - g,h,i,j - k,l,m,n - o,p,q,r",,,,,,,,,,,,,,,,,,,
Prepared by Saville Rossiter-Base : 01727 899 399,,,,,,,,,,,,,,,,,,,
OFCOM NATIONS & REGIONS TRACKER - QUARTER 1 2011 - MAIN SET. 4th January to 28th February 2011.                                Table 1,,,,,,,,,,,,,,,,,,,
All data have been weighted to ensure they are representative of the UK adult population.,,,,,,,,,,,,,,,,,,,
"Ofcom does not quota or weight by household income, so it may not be representative of the UK population, but it is included for reasons of interest.",,,,,,,,,,,,,,,,,,,
Any break column with a base size lower than 100 has been removed as margins of error become too great. Data is tested at the 95% confidence level.,,,,,,,,,,,,,,,,,,,
NATION,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Base : All respondents,,,,,,,,,,,,,,,,,,,
,,ENGLAND REGIONS,,,,,,,,URBANITY,,WORKING,,DEPRIVATION LEVEL,,,,,
,Total,LONDON,SOUTH EAST,SOUTH WEST,EAST MIDS,WEST MIDS,EAST OF ENG,YORKS& HUMBER,NORTH,URBAN,RURAL,YES,NO,LOW,MEDIUM/ HIGH,,,,
Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,,,,
Unweighted total,3474,247,249,251,240,264,240,252,240,2458,1016,1659,1799,1983,980,,,,
Effective Weighted Sample,2281,235,229,238,228,251,227,239,223,1892,443,1094,1265,1407,761,,,,
Total,2256,280,307,186,163,197,210,187,354,1964,292,1260,983,1382,812,,,,
England,1886,280,307,186,163,197,210,187,354,1673,213,1067,806,1204,682,,,,
,84%,100%,100%,100%,100%,100%,100%,100%,100%,85%,73%,85%,82%,87%,84%,,,,
,,,,,,,,,,j,,,,n,,,,,
Scotland,197,0,0,0,0,0,0,0,0,164,33,100,96,100,96,,,,
,9%,0%,0%,0%,0%,0%,0%,0%,0%,8%,11%,8%,10%,7%,12%,,,,
,,,,,,,,,,,,,,,m,,,,
Wales,111,0,0,0,0,0,0,0,0,88,23,61,50,78,33,,,,
,5%,0%,0%,0%,0%,0%,0%,0%,0%,4%,8%,5%,5%,6%,4%,,,,
,,,,,,,,,,,i,,,,,,,,
Northern Ireland,62,0,0,0,0,0,0,0,0,39,23,32,30,0,0,,,,
,3%,0%,0%,0%,0%,0%,0%,0%,0%,2%,8%,3%,3%,0%,0%,,,,
,,,,,,,,,,,i,,,,,,,,
"Columns Tested: a,b,c,d,e,f,g,h - i,j - k,l - m,n",,,,,,,,,,,,,,,,,,,
Prepared by Saville Rossiter-Base : 01727 899 399,,,,,,,,,,,,,,,,,,,
OFCOM NATIONS & REGIONS TRACKER - QUARTER 1 2011 - MAIN SET. 4th January to 28th February 2011.                                Table 2,,,,,,,,,,,,,,,,,,,
All data have been weighted to ensure they are representative of the UK adult population.,,,,,,,,,,,,,,,,,,,
"Ofcom does not quota or weight by household income, so it may not be representative of the UK population, but it is included for reasons of interest.",,,,,,,,,,,,,,,,,,,
Any break column with a base size lower than 100 has been removed as margins of error become too great. Data is tested at the 95% confidence level.,,,,,,,,,,,,,,,,,,,
REGION,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Base : All respondents,,,,,,,,,,,,,,,,,,,
,,GENDER,,AGE GROUP,,,,HOUSEHOLD INCOME,,,,SOCIAL GROUP,,,,NATION,,,
,Total,MALE,FEMALE,16-24,25-34,35-54,55+,UNDER £11.5K,£11.5K- £17.5K,£17.5K- £29.9K,£30K+,AB,C1,C2,DE,ENG LAND,SCOT LAND,WALES,NI
Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r
Unweighted total,3474,1679,1795,460,540,1204,1270,697,383,408,596,784,1014,701,975,1983,487,493,511
Effective Weighted Sample,2281,1110,1171,296,342,813,864,445,236,273,437,524,671,466,629,1719,330,329,470
Total,2256,1082,1174,327,408,781,740,378,217,280,472,566,669,413,608,1886,197,111,62
North East,96,47,48,16,21,32,27,14,9,7,14,24,22,20,30,96,0,0,0
,4%,4%,4%,5%,5%,4%,4%,4%,4%,3%,3%,4%,3%,5%,5%,5%,0%,0%,0%
,,,,,,,,,,,,,,,,pqr,,,
North West,259,126,133,39,46,89,84,36,28,43,36,54,83,45,77,259,0,0,0
,11%,12%,11%,12%,11%,11%,11%,9%,13%,15%,8%,9%,12%,11%,13%,14%,0%,0%,0%
,,,,,,,,,j,gj,,,,,,pqr,,,
Yorkshire,187,86,101,29,31,69,58,26,20,26,20,30,58,40,58,187,0,0,0
,8%,8%,9%,9%,8%,9%,8%,7%,9%,9%,4%,5%,9%,10%,10%,10%,0%,0%,0%
,,,,,,,,,j,j,,,k,k,k,pqr,,,
East Midlands,163,77,86,23,26,60,54,26,13,25,35,34,48,37,44,163,0,0,0
,7%,7%,7%,7%,6%,8%,7%,7%,6%,9%,7%,6%,7%,9%,7%,9%,0%,0%,0%
,,,,,,,,,,,,,,,,pqr,,,
West Midlands,197,96,102,30,33,67,68,36,23,22,38,51,53,35,58,197,0,0,0
,9%,9%,9%,9%,8%,9%,9%,9%,10%,8%,8%,9%,8%,9%,10%,10%,0%,0%,0%
,,,,,,,,,,,,,,,,pqr,,,
East of England,210,105,106,30,44,69,68,38,15,24,65,61,55,40,55,210,0,0,0
,9%,10%,9%,9%,11%,9%,9%,10%,7%,9%,14%,11%,8%,10%,9%,11%,0%,0%,0%
,,,,,,,,,,,hi,,,,,pqr,,,
London,280,137,143,46,57,103,75,33,25,39,106,86,93,35,66,280,0,0,0
,12%,13%,12%,14%,14%,13%,10%,9%,12%,14%,22%,15%,14%,8%,11%,15%,0%,0%,0%
,,,,,,f,,,,g,ghi,mn,m,,,pqr,,,
South East,307,146,161,42,48,106,112,52,19,29,68,96,97,54,61,307,0,0,0
,14%,14%,14%,13%,12%,14%,15%,14%,9%,10%,14%,17%,14%,13%,10%,16%,0%,0%,0%
,,,,,,,,,,,h,n,n,,,pqr,,,
South West,186,86,101,20,34,60,72,35,16,23,45,55,57,33,42,186,0,0,0
,8%,8%,9%,6%,8%,8%,10%,9%,8%,8%,10%,10%,8%,8%,7%,10%,0%,0%,0%
,,,,,,,,,,,,,,,,pqr,,,
"Columns Tested: a,b - c,d,e,f - g,h,i,j - k,l,m,n - o,p,q,r",,,,,,,,,,,,,,,,,,,
Prepared by Saville Rossiter-Base : 01727 899 399,,,,,,,,,,,,,,,,,,,
OFCOM NATIONS & REGIONS TRACKER - QUARTER 1 2011 - MAIN SET. 4th January to 28th February 2011.                                Table 2,,,,,,,,,,,,,,,,,,,
All data have been weighted to ensure they are representative of the UK adult population.,,,,,,,,,,,,,,,,,,,
"Ofcom does not quota or weight by household income, so it may not be representative of the UK population, but it is included for reasons of interest.",,,,,,,,,,,,,,,,,,,
Any break column with a base size lower than 100 has been removed as margins of error become too great. Data is tested at the 95% confidence level.,,,,,,,,,,,,,,,,,,,
REGION,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Base : All respondents,,,,,,,,,,,,,,,,,,,
,,GENDER,,AGE GROUP,,,,HOUSEHOLD INCOME,,,,SOCIAL GROUP,,,,NATION,,,
,Total,MALE,FEMALE,16-24,25-34,35-54,55+,UNDER £11.5K,£11.5K- £17.5K,£17.5K- £29.9K,£30K+,AB,C1,C2,DE,ENG LAND,SCOT LAND,WALES,NI
Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r
Unweighted total,3474,1679,1795,460,540,1204,1270,697,383,408,596,784,1014,701,975,1983,487,493,511
Effective Weighted Sample,2281,1110,1171,296,342,813,864,445,236,273,437,524,671,466,629,1719,330,329,470
Total,2256,1082,1174,327,408,781,740,378,217,280,472,566,669,413,608,1886,197,111,62
Wales,111,52,59,16,19,39,37,25,16,12,16,23,30,20,38,0,0,111,0
,5%,5%,5%,5%,5%,5%,5%,7%,7%,4%,3%,4%,4%,5%,6%,0%,0%,100%,0%
,,,,,,,,j,j,,,,,,,,,opr,
Scotland,197,94,102,25,36,67,69,40,23,18,20,41,55,39,61,0,197,0,0
,9%,9%,9%,8%,9%,9%,9%,10%,10%,6%,4%,7%,8%,10%,10%,0%,100%,0%,0%
,,,,,,,,j,j,,,,,,,,oqr,,
Northern Ireland,62,30,32,10,13,21,18,16,10,10,9,11,18,14,19,0,0,0,62
,3%,3%,3%,3%,3%,3%,2%,4%,5%,3%,2%,2%,3%,3%,3%,0%,0%,0%,100%
,,,,,,,,j,,,,,,,,,,,opq
"Columns Tested: a,b - c,d,e,f - g,h,i,j - k,l,m,n - o,p,q,r",,,,,,,,,,,,,,,,,,,
Prepared by Saville Rossiter-Base : 01727 899 399,,,,,,,,,,,,,,,,,,,
OFCOM NATIONS & REGIONS TRACKER - QUARTER 1 2011 - MAIN SET. 4th January to 28th February 2011.                                Table 2,,,,,,,,,,,,,,,,,,,
All data have been weighted to ensure they are representative of the UK adult population.,,,,,,,,,,,,,,,,,,,
"Ofcom does not quota or weight by household income, so it may not be representative of the UK population, but it is included for reasons of interest.",,,,,,,,,,,,,,,,,,,
Any break column with a base size lower than 100 has been removed as margins of error become too great. Data is tested at the 95% confidence level.,,,,,,,,,,,,,,,,,,,
REGION,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Base : All respondents,,,,,,,,,,,,,,,,,,,
,,ENGLAND REGIONS,,,,,,,,URBANITY,,WORKING,,DEPRIVATION LEVEL,,,,,
,Total,LONDON,SOUTH EAST,SOUTH WEST,EAST MIDS,WEST MIDS,EAST OF ENG,YORKS& HUMBER,NORTH,URBAN,RURAL,YES,NO,LOW,MEDIUM/ HIGH,,,,
Significance Level: 95%,,a,b,c,d,e,f,g,h,i,j,k,l,m,n,,,,
Unweighted total,3474,247,249,251,240,264,240,252,240,2458,1016,1659,1799,1983,980,,,,
Effective Weighted Sample,2281,235,229,238,228,251,227,239,223,1892,443,1094,1265,1407,761,,,,
Total,2256,280,307,186,163,197,210,187,354,1964,292,1260,983,1382,812,,,,
North East,96,0,0,0,0,0,0,0,96,89,7,48,47,58,37,,,,
,4%,0%,0%,0%,0%,0%,0%,0%,27%,5%,2%,4%,5%,4%,5%,,,,
,,,,,,,,,abcdefg,j,,,,,,,,,
North West,259,0,0,0,0,0,0,0,259,245,14,147,106,159,100,,,,
,11%,0%,0%,0%,0%,0%,0%,0%,73%,12%,5%,12%,11%,11%,12%,,,,
,,,,,,,,,abcdefg,j,,,,,,,,,
Yorkshire,187,0,0,0,0,0,0,187,0,167,21,99,88,118,69,,,,
,8%,0%,0%,0%,0%,0%,0%,100%,0%,8%,7%,8%,9%,9%,9%,,,,
,,,,,,,,abcdefh,,,,,,,,,,,
East Midlands,163,0,0,0,163,0,0,0,0,138,25,102,61,123,40,,,,
,7%,0%,0%,0%,100%,0%,0%,0%,0%,7%,9%,8%,6%,9%,5%,,,,
