CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,2199,85.3%,378,14.7%
P01-Avon&Somerset,65,85.5%,11,14.5%
P02-Bedfordshire,32,94.1%,2,5.9%
P03-Cambridgeshire,16,88.9%,2,11.1%
P04-Cheshire,26,86.7%,4,13.3%
P06-Cleveland,41,91.1%,4,8.9%
P07-Cumbria,17,85.0%,3,15.0%
P08-Derbyshire,24,80.0%,6,20.0%
P09-Devon&Cornwall,51,94.4%,3,5.6%
P10-Dorset,8,88.9%,1,11.1%
P11-Durham,47,85.5%,8,14.5%
P12-DyfedPowys,20,95.2%,1,4.8%
P13-Essex,54,84.4%,10,15.6%
P14-Gloucestershire,16,100.0%,0,0.0%
P15-GreaterManchester,130,86.1%,21,13.9%
P16-Gwent,38,92.7%,3,7.3%
P17-Hampshire,62,82.7%,13,17.3%
P18-Hertfordshire,37,78.7%,10,21.3%
P19-Humberside,52,91.2%,5,8.8%
P20-Kent,73,86.9%,11,13.1%
P21-Lancashire,99,84.6%,18,15.4%
P22-Leicestershire,22,68.8%,10,31.3%
P23-Lincolnshire,36,97.3%,1,2.7%
P24-Merseyside,51,94.4%,3,5.6%
P25-Metropolitan&City,310,82.7%,65,17.3%
P26-Norfolk,24,100.0%,0,0.0%
P27-Northamptonshire,16,88.9%,2,11.1%
P28-Northumbria,51,86.4%,8,13.6%
P29-NorthWales,34,91.9%,3,8.1%
P30-NorthYorkshire,42,85.7%,7,14.3%
P31-Nottinghamshire,51,85.0%,9,15.0%
P32-SouthWales,79,80.6%,19,19.4%
P33-SouthYorkshire,68,93.2%,5,6.8%
P34-Staffordshire,32,86.5%,5,13.5%
P35-Suffolk,9,81.8%,2,18.2%
P36-Surrey,17,81.0%,4,19.0%
P37-Sussex,46,83.6%,9,16.4%
P38-ThamesValley,73,88.0%,10,12.0%
P39-Warwickshire,10,71.4%,4,28.6%
P40-WestMercia,29,80.6%,7,19.4%
P41-WestMidlands,116,81.1%,27,18.9%
P42-WestYorkshire,159,81.1%,37,18.9%
P43-Wiltshire,16,76.2%,5,23.8%
