,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,89,74.8%,30,25.2%,"10,803",78.7%,"2,918",21.3%,"1,179",70.7%,489,29.3%,"1,197",84.1%,226,15.9%,315,76.5%,97,23.5%,"7,334",92.3%,612,7.7%,895,86.7%,137,13.3%,"1,851",84.0%,353,16.0%,"4,007",93.7%,270,6.3%,"3,245",84.7%,584,15.3%,747,86.2%,120,13.8%,"7,547",85.8%,"1,250",14.2%,838,100.0%
Avon and Somerset,0,-,0,-,257,77.6%,74,22.4%,53,79.1%,14,20.9%,39,83.0%,8,17.0%,9,100.0%,0,0.0%,224,96.1%,9,3.9%,13,76.5%,4,23.5%,73,88.0%,10,12.0%,91,95.8%,4,4.2%,78,89.7%,9,10.3%,22,84.6%,4,15.4%,209,87.8%,29,12.2%,29,100.0%
Bedfordshire,1,100.0%,0,0.0%,81,80.2%,20,19.8%,8,72.7%,3,27.3%,10,100.0%,0,0.0%,0,0,0,0,72,92.3%,6,7.7%,2,100.0%,0,0.0%,10,76.9%,3,23.1%,33,97.1%,1,2.9%,17,89.5%,2,10.5%,6,75.0%,2,25.0%,84,78.5%,23,21.5%,18,100.0%
Cambridgeshire,2,100.0%,0,0.0%,122,80.8%,29,19.2%,9,75.0%,3,25.0%,18,81.8%,4,18.2%,5,71.4%,2,28.6%,84,91.3%,8,8.7%,5,100.0%,0,0.0%,27,93.1%,2,6.9%,36,97.3%,1,2.7%,30,81.1%,7,18.9%,16,94.1%,1,5.9%,94,93.1%,7,6.9%,13,100.0%
Cheshire,2,100.0%,0,0.0%,290,86.3%,46,13.7%,24,66.7%,12,33.3%,32,88.9%,4,11.1%,10,76.9%,3,23.1%,177,94.1%,11,5.9%,19,90.5%,2,9.5%,38,84.4%,7,15.6%,71,98.6%,1,1.4%,113,88.3%,15,11.7%,18,100.0%,0,0.0%,192,91.0%,19,9.0%,12,100.0%
Cleveland,0,-,0,-,148,80.9%,35,19.1%,11,84.6%,2,15.4%,24,85.7%,4,14.3%,4,66.7%,2,33.3%,201,94.4%,12,5.6%,7,87.5%,1,12.5%,38,73.1%,14,26.9%,54,88.5%,7,11.5%,58,86.6%,9,13.4%,20,76.9%,6,23.1%,82,91.1%,8,8.9%,3,100.0%
Cumbria,0,-,0,-,100,87.0%,15,13.0%,6,100.0%,0,0.0%,7,77.8%,2,22.2%,1,50.0%,1,50.0%,91,94.8%,5,5.2%,10,100.0%,0,0.0%,25,92.6%,2,7.4%,23,100.0%,0,0.0%,37,86.0%,6,14.0%,11,73.3%,4,26.7%,109,95.6%,5,4.4%,1,100.0%
Derbyshire,1,100.0%,0,0.0%,181,80.1%,45,19.9%,6,100.0%,0,0.0%,15,78.9%,4,21.1%,2,66.7%,1,33.3%,122,97.6%,3,2.4%,7,100.0%,0,0.0%,42,87.5%,6,12.5%,48,96.0%,2,4.0%,51,92.7%,4,7.3%,14,100.0%,0,0.0%,93,87.7%,13,12.3%,9,100.0%
Devon and Cornwall,2,66.7%,1,33.3%,184,83.3%,37,16.7%,13,86.7%,2,13.3%,22,100.0%,0,0.0%,1,100.0%,0,0.0%,104,94.5%,6,5.5%,8,100.0%,0,0.0%,35,87.5%,5,12.5%,65,98.5%,1,1.5%,78,89.7%,9,10.3%,33,86.8%,5,13.2%,212,92.6%,17,7.4%,7,100.0%
Dorset,0,-,0,-,106,83.5%,21,16.5%,9,75.0%,3,25.0%,8,80.0%,2,20.0%,2,100.0%,0,0.0%,68,97.1%,2,2.9%,10,83.3%,2,16.7%,18,90.0%,2,10.0%,36,97.3%,1,2.7%,35,89.7%,4,10.3%,10,90.9%,1,9.1%,101,89.4%,12,10.6%,11,100.0%
Durham,1,50.0%,1,50.0%,108,81.2%,25,18.8%,8,80.0%,2,20.0%,18,81.8%,4,18.2%,1,100.0%,0,0.0%,115,89.1%,14,10.9%,6,100.0%,0,0.0%,22,91.7%,2,8.3%,20,95.2%,1,4.8%,29,90.6%,3,9.4%,7,87.5%,1,12.5%,96,90.6%,10,9.4%,4,100.0%
Dyfed Powys,2,100.0%,0,0.0%,80,87.0%,12,13.0%,2,28.6%,5,71.4%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,40,97.6%,1,2.4%,2,100.0%,0,0.0%,14,82.4%,3,17.6%,45,95.7%,2,4.3%,16,94.1%,1,5.9%,5,71.4%,2,28.6%,65,82.3%,14,17.7%,0,-
Essex,1,100.0%,0,0.0%,303,82.1%,66,17.9%,49,79.0%,13,21.0%,30,93.8%,2,6.3%,2,100.0%,0,0.0%,127,93.4%,9,6.6%,20,87.0%,3,13.0%,54,88.5%,7,11.5%,97,98.0%,2,2.0%,60,89.6%,7,10.4%,23,88.5%,3,11.5%,191,89.7%,22,10.3%,16,100.0%
Gloucestershire,0,-,0,-,68,74.7%,23,25.3%,4,80.0%,1,20.0%,8,88.9%,1,11.1%,0,0,0,0,106,98.1%,2,1.9%,9,81.8%,2,18.2%,20,87.0%,3,13.0%,34,100.0%,0,0.0%,17,77.3%,5,22.7%,7,100.0%,0,0.0%,78,91.8%,7,8.2%,10,100.0%
