CPS outcomes by principal offence category south_wales,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.0%,0,0.0%
B Offences Against The Person,244,72.8%,91,27.2%
C Sexual Offences,21,72.4%,8,27.6%
D Burglary,67,81.7%,15,18.3%
E Robbery,30,96.8%,1,3.2%
F Theft And Handling,346,92.8%,27,7.2%
G Fraud And Forgery,17,94.4%,1,5.6%
H Criminal Damage,72,82.8%,15,17.2%
I Drugs Offences,193,93.7%,13,6.3%
J Public Order Offences,200,88.1%,27,11.9%
K All Other Offences (excluding Motoring),44,71.0%,18,29.0%
L Motoring Offences,502,91.8%,45,8.2%
Admin Finalisations,0,0.0%,13,100.0%
TOTAL,"1,738",86.4%,274,13.6%
