CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,3815,82.9%,789,17.1%
P01-Avon&Somerset,90,75.0%,30,25.0%
P02-Bedfordshire,29,87.9%,4,12.1%
P03-Cambridgeshire,19,82.6%,4,17.4%
P04-Cheshire,82,85.4%,14,14.6%
P06-Cleveland,25,78.1%,7,21.9%
P07-Cumbria,68,88.3%,9,11.7%
P08-Derbyshire,59,76.6%,18,23.4%
P09-Devon&Cornwall,83,83.0%,17,17.0%
P10-Dorset,24,75.0%,8,25.0%
P11-Durham,37,88.1%,5,11.9%
P12-DyfedPowys,11,91.7%,1,8.3%
P13-Essex,44,80.0%,11,20.0%
P14-Gloucestershire,13,65.0%,7,35.0%
P15-GreaterManchester,146,88.5%,19,11.5%
P16-Gwent,32,97.0%,1,3.0%
P17-Hampshire,125,81.7%,28,18.3%
P18-Hertfordshire,49,84.5%,9,15.5%
P19-Humberside,27,93.1%,2,6.9%
P20-Kent,82,83.7%,16,16.3%
P21-Lancashire,136,84.0%,26,16.0%
P22-Leicestershire,50,87.7%,7,12.3%
P23-Lincolnshire,43,95.6%,2,4.4%
P24-Merseyside,164,81.2%,38,18.8%
P25-Metropolitan&City,689,82.6%,145,17.4%
P26-Norfolk,38,76.0%,12,24.0%
P27-Northamptonshire,68,84.0%,13,16.0%
P28-Northumbria,328,85.4%,56,14.6%
P29-NorthWales,51,92.7%,4,7.3%
P30-NorthYorkshire,62,88.6%,8,11.4%
P31-Nottinghamshire,98,89.9%,11,10.1%
P32-SouthWales,58,77.3%,17,22.7%
P33-SouthYorkshire,123,83.1%,25,16.9%
P34-Staffordshire,51,89.5%,6,10.5%
P35-Suffolk,28,87.5%,4,12.5%
P36-Surrey,38,90.5%,4,9.5%
P37-Sussex,47,81.0%,11,19.0%
P38-ThamesValley,189,81.1%,44,18.9%
P39-Warwickshire,20,95.2%,1,4.8%
P40-WestMercia,64,83.1%,13,16.9%
P41-WestMidlands,204,85.4%,35,14.6%
P42-WestYorkshire,200,69.2%,89,30.8%
P43-Wiltshire,21,72.4%,8,27.6%
