,Percentage of farm businesses None identified,Percentage of farm businesses Markets some commodities on contract basis with agreed price,Percentage of farm businesses Uses selling groups and pools to market some or all of commodities,Percentage of farm businesses Purchases some inputs on contract basis with agreed price,Percentage of farm businesses Make use of 'options',Percentage of farm businesses Has animal health insurance ,Percentage of farm businesses Has crop damage insurance,Percentage of farm businesses Using bio-security measures to manage disease risk,Percentage of farm businesses Lock into a fixed exchange rate,,,,,
Dairy,71%,4%,7%,12%,3%,4%,,7%,8%,,,,,
LFA Grazing Livestock,78%,2%,4%,4%,,6%,,5%,9%,,,,,
Lowland Grazing Livestock,72%,5%,8%,5%,,10%,5%,9%,6%,,,,,
Cereals,61%,9%,10%,13%,17%,,5%,3%,13%,,,,,
General cropping,60%,10%,14%,10%,11%,,6%,,14%,,,,,
Pigs,61%,,,13%,,14%,,10%,,,,,,
Poultry,76%,8%,,10%,,,,10%,,,,,,
Mixed,58%,16%,14%,17%,4%,,6%,8%,8%,,,,,
Horticulture,94%,1%,,,,,,,,,,,,
Small,72%,6%,7%,8%,6%,4%,4%,5%,7%,,,,,
Medium,61%,8%,11%,11%,7%,4%,3%,5%,10%,,,,,
Large,65%,9%,10%,12%,8%,5%,3%,7%,12%,,,,,
North East and Yorkshire & Humber,71%,7%,8%,10%,2%,5%,4%,4%,12%,,,,,
North West,65%,10%,10%,14%,,8%,,7%,10%,,,,,
East Midlands,62%,8%,6%,14%,12%,6%,7%,5%,9%,,,,,
West Midlands,66%,9%,15%,12%,4%,,3%,12%,5%,,,,,
East England,60%,6%,7%,9%,15%,3%,2%,5%,16%,,,,,
South East,69%,13%,16%,11%,4%,5%,,9%,4%,,,,,
South West,81%,2%,4%,3%,4%,3%,2%,2%,6%,,,,,
Mainly DA,79%,,6%,6%,,5%,,,9%,,,,,
Mainly SDA,75%,5%,5%,8%,,7%,,5%,10%,,,,,
Non-LFA,67%,8%,9%,10%,7%,4%,4%,6%,9%,,,,,
LFA,77%,3%,6%,7%,3%,6%,,4%,10%,,,,,
Non LFA,67%,8%,9%,10%,7%,4%,4%,6%,9%,,,,,
SDA,75%,5%,5%,8%,,7%,,5%,10%,,,,,
Non SDA,68%,7%,9%,10%,7%,4%,4%,6%,9%,,,,,
Age of farmer Under 40,68%,10%,17%,13%,6%,,6%,,10%,,,,,
Age of farmer 40 to 54,63%,8%,11%,11%,9%,5%,3%,5%,11%,,,,,
Age of farmer 55 to 64,68%,7%,8%,11%,7%,4%,4%,7%,10%,,,,,
Age of farmer 65 and over,79%,5%,4%,5%,3%,5%,,5%,5%,,,,,
Age of youngest person with managerial input Under 40,63%,10%,13%,14%,7%,5%,6%,7%,11%,,,,,
Age of youngest person with managerial input 40 to 54,64%,9%,10%,11%,8%,4%,3%,5%,10%,,,,,
Age of youngest person with managerial input 55 to 64,72%,4%,6%,8%,7%,3%,3%,5%,8%,,,,,
Age of youngest person with managerial input 65 and over,79%,3%,,2%,,,,7%,6%,,,,,
Owner occupied,71%,6%,8%,9%,6%,4%,5%,5%,8%,,,,,
Tenanted,70%,6%,8%,10%,3%,5%,,8%,7%,,,,,
Mixed - mainly owner occupied,66%,7%,7%,9%,10%,4%,4%,5%,12%,,,,,
Mixed - mainly tenanted,64%,12%,12%,10%,6%,5%,3%,7%,8%,,,,,
Economic Performance Low,72%,7%,10%,8%,2%,6%,3%,8%,4%,,,,,
Economic Performance Medium,69%,7%,8%,10%,6%,4%,3%,6%,10%,,,,,
Economic Performance High,65%,8%,8%,10%,12%,3%,5%,4%,12%,,,,,
####LFA - includes those farms mainly in the DA and the SDA####,,,,,,,,,,,,,,
####SDA - includes those farms mainly in the SDA Non SDA - includes those farms mainly in the DA and Non-LFA farms####,,,,,,,,,,,,,,
####Figures in italics are based on a small sample so care should be taken when interpreting it.####,,,,,,,,,,,,,,
####Where a cell is blank these figures have been suppressed due to insufficient observations####,,,,,,,,,,,,,,
####Based on responses from 1357 farm businesses which undertook risk management practices in 2011/12####,,,,,,,,,,,,,,
####Respondents could select more than one option####,,,,,,,,,,,,,,
