Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Computer Maintenance,NP - Commissioned Content,OCLC (UK) LTD,,"25,500.00",WMS License Manager- Q2 july - september
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,,"795,150.00",National Guidance Alliance Apr16-Mar17 Q2
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Computer Software/License,NP-IT,COMPAREX UK LTD,,"38,054.40",Symantec email safeguard subscription license 36 months 
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP - Social Care Guidance and QA,SOCIAL CARE INSTITUTE FOR EXCELLENCE,,"502,441.20",NICE Collaborating Centre for Social Care quarter 2 16/17
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,,"70,323.00",Redundancy Costs 
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Computer Maintenance,NP - IM&T,SERVER LABS LTD,,"25,297.54",September AWS Usage + Business Support
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP-HTE Appraisals,UNIVERSITY OF SHEFFIELD,,"50,000.00","Supply of Decision Support Unit Year 5, Quarter 2"
Department of Health,National Institute For Health And Care Excellence,01/10/2016,"Books, Journals & Subscr",NP - National Core Content HEE,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,20530341,"120,941.57",Licences for access to different medical databases
Department of Health,National Institute For Health And Care Excellence,01/10/2016,"Books, Journals & Subscr",NP - National Core Content HEE,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,20530342,"120,941.57",Licences for access to different medical databases
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,,"120,834.13","Rail, hotel & flight costs for september 2016"
Department of Health,National Institute For Health And Care Excellence,01/10/2016,"Books, Journals & Subscr",NP - National Core Content HEE,PROQUEST LLC,20560785,"284,316.01",Elecrtonic & Print Content
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP - Medical Technologies Evaluation Programme,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,,"177,549.03",Service provision of external assessment centre 
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP-IT,INSPIRED NETWORKS,,"26,271.60",IT Support and Management contract 
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Secndd staff frm othr org,Interventional Procedures,UNIVERSITY OF LEICESTER,,"26,122.43",Committee Vice chairs costs from july 2016 to september 2016
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP-Finance,SOFTWARE (EUROPE) LTD,,"28,036.36",Annual license for online Expenses
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Rent,NP - Facilities - London,BRITISH COUNCIL,,"218,718.00",Rent paymeny for 10 Spring Gardens 29 Sept-24 Dec 16 
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Service Charge,NP - Facilities - London,BRITISH COUNCIL,,"24,980.99",Service Charge 01 Oct- 31 Dec 2016
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP-CP Guidelines,UNIVERSITY OF BRISTOL,,"37,500.00",Clinical guidelines Technical support unit quarter 2 16/17
Department of Health,National Institute For Health And Care Excellence,01/10/2016,Contr Other External,NP - Medical Technologies Evaluation Programme,CARDIFF & VALE ULHB,,"212,333.40",Quarter 2 Invoice - Medical technologies evaluation programme Year 3
