Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000214254,13.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2014,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000214334,8.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000214244,280.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000214254,144.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000214257,49.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2014,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000214334,65.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000214258,62.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,INCIDENTALS,BOARD,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000214244,14.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,INCIDENTALS,BOARD,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000214257,4.17
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000214244,143.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000214257,290.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,SUBSISTENCE ALLOWANCES,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000214258,7.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,FARES - PUBLIC TRANSPORT,BUSINESS DEVELOPMENT,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000214269,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,FARES - RAIL,BUSINESS DEVELOPMENT,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000213892,480.87
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,FARES - RAIL,BUSINESS DEVELOPMENT,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000214269,8.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,HOTEL ACCOMMODATION,BUSINESS DEVELOPMENT,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000213896,1.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,INCIDENTALS,BUSINESS DEVELOPMENT,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000214269,18.34
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2014,SUBSISTENCE ALLOWANCES,BUSINESS DEVELOPMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000214269,16.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,FARES - AIR,CHIEF EXECUTIVE,TRAVEL&EVENTS-AIR,REDFERN TRAVEL LTD,0000213892,182.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000213892,921.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,HOTEL ACCOMMODATION,CHIEF EXECUTIVE,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000213896,78.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000214136,26.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2014,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,THE HOSTESS,0000214383,"2,812.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000214136,11.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,HOTEL ACCOMMODATION,CORPORATE AFFAIRS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000213896,143.51
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000213718,217.93
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000213719,437.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/08/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000213965,427.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/09/2014,PUBLICATIONS,CORPORATE AFFAIRS,OPRTNL GOODS&SERV-DEVLPNG MTRL,COMPANY BARCLAYCARD,0000214125,13.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/08/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,KEY PERSONNEL SOLUTIONS L,0000213440,"1,375.45"
