DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-25,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011700448,279190.83,CORE SERVICE CHARGE,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-28,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Animal Feed     ,TRADING STANDARDS INSTITUTE (GRANTS),1011700474,225000,Feed Off. Conts 2016/17 Prog delivery (inland/ports). Feed Official Controls funding 2016/17: To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2016/17.,SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-12,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011700340,149333,MAY 16 FUND VAL 2013,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-06,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - CILOR,Security & Estates,LONDON BOROUGH OF CAMDEN,1011700288,105468,A/C 68351658 PROP REF 01120601250013,WC1H 8EQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-08,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,PUBLIC HEALTH ENGLAND,2012700018,93026.36,NRL - MICROBIOLOGY,SP4 0JG,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700026,69649.85,PROJECT CODE FS102066A,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-29,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Contaminants HoD,C E F A S,2012700026,69649.85,PROJECT CODE FS102066A,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-27,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chemical Risk Assessment Unit,FERA SCIENCE LIMITED,1011700469,55557.94,13 APR - JUN 16,YO41 1LZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,1011700264,54073.87,PROFECT FS102087,W1W 7SQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2016-07-01,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Chief Scientist,UNIVERSITY OF SOUTHAMPTON,1011700250,50000,PO 424050 COMPLETION OF LITERATURE,SO17 1BJ,PROGRAMME
