internal phrase,,,,,,,,,,
14/Nov/11 to 20/Nov/11,,,,,,,,,,
"  Subsite [directgov central] ",,,,,,,,,,
internal phrase,,,,,,,,,,
#,Search Term,Number of Searches,,,,,,,,
1,jobs,"4,303",,,,,,,,
2,income support,"1,835",,,,,,,,
3,sorn,"1,526",,,,,,,,
4,dla,"1,105",,,,,,,,
5,theory test,"1,068",,,,,,,,
6,driving test,997,,,,,,,,
7,housing benefit,969,,,,,,,,
8,attendance allowance,919,,,,,,,,
9,redundancy,909,,,,,,,,
10,esa,909,,,,,,,,
11,dvla,862,,,,,,,,
12,carers allowance,854,,,,,,,,
13,maternity,850,,,,,,,,
14,tax disc,809,,,,,,,,
15,child benefit,799,,,,,,,,
16,car tax,793,,,,,,,,
17,pension credit,786,,,,,,,,
18,cv,783,,,,,,,,
19,student finance,761,,,,,,,,
20,minimum wage,734,,,,,,,,
21,crisis loan,727,,,,,,,,
22,winter fuel payment,693,,,,,,,,
23,budgeting loan,682,,,,,,,,
24,working tax credit,666,,,,,,,,
25,tax credits,654,,,,,,,,
26,jsa,647,,,,,,,,
27,job seekers allowance,629,,,,,,,,
28,council tax,612,,,,,,,,
29,winter fuel allowance,600,,,,,,,,
30,passport,599,,,,,,,,
31,[None],593,,,,,,,,
32,benefits,590,,,,,,,,
33,all jobs,571,,,,,,,,
34,working tax credits,557,,,,,,,,
35,heating allowance,551,,,,,,,,
36,job,507,,,,,,,,
37,job search,494,,,,,,,,
38,national insurance,492,,,,,,,,
39,community care grant,483,,,,,,,,
40,csa,482,,,,,,,,
41,change of address,466,,,,,,,,
42,mot,465,,,,,,,,
43,divorce,464,,,,,,,,
44,v62,461,,,,,,,,
45,maternity leave,460,,,,,,,,
46,road tax,458,,,,,,,,
47,ssp,448,,,,,,,,
48,disability living allowance,447,,,,,,,,
49,jobseekers allowance,440,,,,,,,,
50,tax,439,,,,,,,,
51,child tax credit,436,,,,,,,,
52,social fund,434,,,,,,,,
53,loans,419,,,,,,,,
54,pensions,414,,,,,,,,
55,sick pay,412,,,,,,,,
56,driving licence,400,,,,,,,,
57,incapacity benefit,398,,,,,,,,
58,maternity allowance,396,,,,,,,,
59,grants,390,,,,,,,,
60,winter fuel payments,382,,,,,,,,
61,winter fuel,381,,,,,,,,
62,taxdisc,369,,,,,,,,
63,practical test,369,,,,,,,,
64,maternity pay,356,,,,,,,,
65,crb,353,,,,,,,,
66,forms,329,,,,,,,,
67,bank holidays,313,,,,,,,,
68,state pension,303,,,,,,,,
69,job seekers,296,,,,,,,,
70,smp,296,,,,,,,,
71,jobseekers,288,,,,,,,,
72,self employed,286,,,,,,,,
73,pension,284,,,,,,,,
74,apprenticeships,272,,,,,,,,
75,v317,272,,,,,,,,
76,employment and support allowance,268,,,,,,,,
77,paternity leave,267,,,,,,,,
78,theory,267,,,,,,,,
79,child tax credits,263,,,,,,,,
80,self employment,258,,,,,,,,
81,national insurance number,257,,,,,,,,
82,driving,255,,,,,,,,
83,cold weather payment,250,,,,,,,,
84,budgeting loans,248,,,,,,,,
85,cold weather payments,247,,,,,,,,
86,c,245,,,,,,,,
87,v14,241,,,,,,,,
88,holiday entitlement,238,,,,,,,,
89,statutory sick pay,237,,,,,,,,
90,power of attorney,236,,,,,,,,
91,d1,233,,,,,,,,
92,v5c,232,,,,,,,,
93,bus pass,231,,,,,,,,
94,practical driving test,227,,,,,,,,
95,passports,227,,,,,,,,
96,cleaner,224,,,,,,,,
97,probate,221,,,,,,,,
98,change address,220,,,,,,,,
99,vehicle enquiry,220,,,,,,,,
100,blue badge,212,,,,,,,,
101,crisis loans,211,,,,,,,,
102,book theory test,210,,,,,,,,
103,ESA,208,,,,,,,,
104,budget loan,205,,,,,,,,
105,employment support allowance,204,,,,,,,,
106,book driving test,201,,,,,,,,
107,next step,198,,,,,,,,
108,housing,195,,,,,,,,
109,tax credit,194,,,,,,,,
110,warehouse,193,,,,,,,,
111,pension forecast,193,,,,,,,,
112,holiday pay,192,,,,,,,,
113,disability,190,,,,,,,,
114,dsa,187,,,,,,,,
115,provisional,186,,,,,,,,
116,retail,185,,,,,,,,
117,ema,181,,,,,,,,
118,driving license,177,,,,,,,,
119,benefits calculator,176,,,,,,,,
120,gl24,175,,,,,,,,
121,council tax benefit,174,,,,,,,,
122,vacancies,174,,,,,,,,
123,death,173,,,,,,,,
124,loan,171,,,,,,,,
125,paternity,171,,,,,,,,
126,log in,170,,,,,,,,
127,vehicle check,170,,,,,,,,
128,job vacancies,170,,,,,,,,
129,maternity grant,169,,,,,,,,
130,template letters,167,,,,,,,,
131,carers,166,,,,,,,,
132,holidays,165,,,,,,,,
133,provisional licence,165,,,,,,,,
134,birth certificate,162,,,,,,,,
135,job centre,162,,,,,,,,
136,lha,161,,,,,,,,
137,widows pension,161,,,,,,,,
138,pension credits,160,,,,,,,,
139,housing benefits,154,,,,,,,,
140,parental leave,152,,,,,,,,
141,d1 form,150,,,,,,,,
142,phone number,149,,,,,,,,
143,benefit calculator,148,,,,,,,,
144,v10,147,,,,,,,,
145,access to work,146,,,,,,,,
146,calculator,145,,,,,,,,
147,insurance,143,,,,,,,,
148,national minimum wage,143,,,,,,,,
149,br19,142,,,,,,,,
150,childcare,142,,,,,,,,
151,sure start maternity grant,141,,,,,,,,
152,log book,141,,,,,,,,
153,v5,141,,,,,,,,
154,student loan,136,,,,,,,,
155,gateway,134,,,,,,,,
156,vat,134,,,,,,,,
157,cleaning,134,,,,,,,,
158,book practical test,134,,,,,,,,
159,data protection,134,,,,,,,,
160,vic,133,,,,,,,,
161,volunteering,133,,,,,,,,
162,child support,132,,,,,,,,
163,christmas bonus,131,,,,,,,,
164,pregnancy,131,,,,,,,,
165,holiday,130,,,,,,,,
166,health and safety,129,,,,,,,,
167,data protection act,129,,,,,,,,
168,jobcentre plus,129,,,,,,,,
169,job centre plus,128,,,,,,,,
170,Disability living allowance,128,,,,,,,,
171,debt,127,,,,,,,,
172,rapid reclaim,126,,,,,,,,
173,lasting power of attorney,126,,,,,,,,
174,training,126,,,,,,,,
175,retirement age,126,,,,,,,,
176,redundancy calculator,125,,,,,,,,
177,sure start,122,,,,,,,,
178,winter,121,,,,,,,,
179,pay council tax,118,,,,,,,,
180,employment,117,,,,,,,,
181,Winter Fuel Payments,116,,,,,,,,
182,fuel allowance,116,,,,,,,,
183,benefit fraud,115,,,,,,,,
184,student finance calculator,114,,,,,,,,
185,bereavement,114,,,,,,,,
186,dwp,114,,,,,,,,
187,advertise a job,114,,,,,,,,
188,social services,114,,,,,,,,
189,p,114,,,,,,,,
190,tupe,114,,,,,,,,
191,benefits adviser,113,,,,,,,,
192,p46,113,,,,,,,,
193,jobsearch,113,,,,,,,,
194,complaints,113,,,,,,,,
195,income tax,112,,,,,,,,
196,legal aid,112,,,,,,,,
197,contact number,111,,,,,,,,
198,contact,110,,,,,,,,
199,working time regulations,109,,,,,,,,
200,statutory maternity pay,108,,,,,,,,
201,apprenticeship,108,,,,,,,,
202,free school meals,107,,,,,,,,
203,working hours,106,,,,,,,,
204,mobility allowance,106,,,,,,,,
205,child support agency,106,,,,,,,,
206,mot check,106,,,,,,,,
207,hgv,106,,,,,,,,
208,flexible working,105,,,,,,,,
209,benefits advisor,105,,,,,,,,
210,d,105,,,,,,,,
211,d798,103,,,,,,,,
212,sickness benefit,103,,,,,,,,
213,social fund loan,103,,,,,,,,
214,security,102,,,,,,,,
215,login,101,,,,,,,,
216,student loans,101,,,,,,,,
217,grant,101,,,,,,,,
218,student,101,,,,,,,,
219,lost driving licence,100,,,,,,,,
220,fraud,100,,,,,,,,
221,court of protection,99,,,,,,,,
222,unemployment benefit,99,,,,,,,,
223,disability allowance,98,,,,,,,,
224,paternity pay,98,,,,,,,,
225,construction,97,,,,,,,,
226,jury service,97,,,,,,,,
227,incapacity,97,,,,,,,,
228,human rights,95,,,,,,,,
229,employment law,95,,,,,,,,
230,adoption,94,,,,,,,,
231,mot history,94,,,,,,,,
232,state pension forecast,94,,,,,,,,
233,signing on,93,,,,,,,,
234,sickness,93,,,,,,,,
235,Winter fuel,92,,,,,,,,
236,heating,92,,,,,,,,
