CPS outcomes by principal offence category Kent,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,50.00%,1,50.00%
B Offences Against The Person,209,76.00%,66,24.00%
C Sexual Offences,17,58.60%,12,41.40%
D Burglary,50,79.40%,13,20.60%
E Robbery,8,80.00%,2,20.00%
F Theft And Handling,295,91.60%,27,8.40%
G Fraud And Forgery,30,93.80%,2,6.30%
H Criminal Damage,81,91.00%,8,9.00%
I Drugs Offences,116,92.10%,10,7.90%
J Public Order Offences,114,85.10%,20,14.90%
K All Other Offences (excluding Motoring),49,79.00%,13,21.00%
L Motoring Offences,563,92.10%,48,7.90%
Admin Finalisations,0,0.00%,27,100.00%
TOTAL,"1,533",86.00%,249,14.00%
