Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Project Management Services,01/07/2016,5100097309,"10,800.00",AD2 LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/07/2016,5100095518,"11,025.00",AECOM LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/07/2016,5100096449,"10,290.00",AECOM LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Planning Support Services,01/07/2016,5100096458,"9,750.00",AECOM LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Cycling Support Services,01/07/2016,5100096495,"6,296.38",AECOM LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Signage Costs,01/07/2016,5100096685,495.00,ASTRA SIGNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Driver Intervention Course Delivery Costs,01/07/2016,5100097233,"1,561.98",B DAVIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Print & Media,01/07/2016,5100096758,"3,000.00",BJL GROUP LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Programme and Project Management Services,01/07/2016,5100097310,"12,600.00",BLACC CONSULTING LLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100096910,745.00,BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097296,725.00,BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097297,"1,841.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097298,"1,841.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097299,"1,841.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097300,"1,841.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097301,"1,841.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097302,"1,841.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097303,"1,841.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097304,"1,841.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Training,01/07/2016,5100097305,"1,176.98",BOLTON COMMUNITY TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - LRT Vehicles,01/07/2016,5100097189,"209,500.00",BOMBARDIER TRANSPORTATION UK LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - LRT Vehicles,01/07/2016,5100097190,"523,750.00",BOMBARDIER TRANSPORTATION UK LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,IS Support and Licences,01/07/2016,5100096717,"1,756.70",BT PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,CCTV Support Services,01/07/2016,5100097239,"6,490.92",BT REDCARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Driver Intervention Course Delivery Costs,01/07/2016,5100096830,"4,410.00",BURY MBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Print & Media,01/07/2016,5100096434,"1,600.00",CESTRIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Print & Media,01/07/2016,5100096435,571.00,CESTRIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Print & Media,01/07/2016,5100097160,926.00,CHAPEL PRESS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Computer and Communications Equipment,01/07/2016,5100096469,632.00,CHARGE YOUR CAR LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Computer and Communications Equipment,01/07/2016,5100096687,"1,975.00",CHARGE YOUR CAR LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Traffic and Transportation Surveys,01/07/2016,5100097090,595.00,CTS TRAFFIC & TRANSPORTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Cycle Training Scheme,01/07/2016,5100097290,900.00,CYCLE EXPERIENCE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,Cyclescheme,01/07/2016,5100097198,567.07,CYCLESCHEME LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/07/2016,5100097151,"11,099.00",D.H.Welton & Co. Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Security Services,01/07/2016,5100096841,566.42,FIRST MANCHESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Fixtures & Fittings,01/07/2016,5100096809,"31,234.62",GMATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Engineering Support Services,01/07/2016,5100096021,720.00,GO TRAFFIC MANAGEMENT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Engineering Support Services,01/07/2016,5100096446,720.00,GO TRAFFIC MANAGEMENT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Engineering Support Services,01/07/2016,5100096518,720.00,GO TRAFFIC MANAGEMENT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Engineering Support Services,01/07/2016,5100096734,720.00,GO TRAFFIC MANAGEMENT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Concessionary Reimbursement,01/07/2016,1900048179,519.00,H SHAKERI T/A EUROLYNX TAXIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Print & Media,01/07/2016,5100096431,650.00,INTREPIDFISH  LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/07/2016,5100096419,"2,016.00",JAMIESON CONTRACTING (NORTH WEST) L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
