CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,5191,83.9%,998,16.1%
P01-Avon&Somerset,142,83.5%,28,16.5%
P02-Bedfordshire,40,78.4%,11,21.6%
P03-Cambridgeshire,85,91.4%,8,8.6%
P04-Cheshire,83,84.7%,15,15.3%
P06-Cleveland,131,84.5%,24,15.5%
P07-Cumbria,75,81.5%,17,18.5%
P08-Derbyshire,42,79.2%,11,20.8%
P09-Devon&Cornwall,149,85.1%,26,14.9%
P10-Dorset,33,78.6%,9,21.4%
P11-Durham,74,92.5%,6,7.5%
P12-DyfedPowys,57,90.5%,6,9.5%
P13-Essex,133,95.0%,7,5.0%
P14-Gloucestershire,28,100.0%,0,0.0%
P15-GreaterManchester,297,84.9%,53,15.1%
P16-Gwent,60,92.3%,5,7.7%
P17-Hampshire,236,85.2%,41,14.8%
P18-Hertfordshire,63,80.8%,15,19.2%
P19-Humberside,96,91.4%,9,8.6%
P20-Kent,138,92.0%,12,8.0%
P21-Lancashire,288,90.6%,30,9.4%
P22-Leicestershire,87,71.9%,34,28.1%
P23-Lincolnshire,86,88.7%,11,11.3%
P24-Merseyside,660,74.6%,225,25.4%
P25-Metropolitan&City,198,81.1%,46,18.9%
P26-Norfolk,109,95.6%,5,4.4%
P27-Northamptonshire,50,87.7%,7,12.3%
P28-Northumbria,200,82.0%,44,18.0%
P29-NorthWales,92,89.3%,11,10.7%
P30-NorthYorkshire,109,90.1%,12,9.9%
P31-Nottinghamshire,95,86.4%,15,13.6%
P32-SouthWales,245,89.4%,29,10.6%
P33-SouthYorkshire,110,88.7%,14,11.3%
P34-Staffordshire,98,80.3%,24,19.7%
P35-Suffolk,104,98.1%,2,1.9%
P36-Surrey,52,94.5%,3,5.5%
P37-Sussex,163,91.6%,15,8.4%
P38-ThamesValley,45,73.8%,16,26.2%
P39-Warwickshire,28,84.8%,5,15.2%
P40-WestMercia,85,79.4%,22,20.6%
P41-WestMidlands,121,81.8%,27,18.2%
P42-WestYorkshire,171,65.5%,90,34.5%
P43-Wiltshire,33,80.5%,8,19.5%
