Transparency data above £500 for period ending January 2012,,,,,,,
Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,VTS,04/01/2012,Support services,VT CENTRAL SERVICES,*LOGICA CMG UK LTD,2100086639,916.46
Communities & Local Government,VTS,06/01/2012,Office Supplies,Central Services,X M A LTD,2100086703,225.54
Communities & Local Government,VTS,06/01/2012,Office Supplies,VT CENTRAL SERVICES,X M A LTD,2100086703,683.54
Communities & Local Government,VTS,06/01/2012,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100086704,197.86
Communities & Local Government,VTS,06/01/2012,Office Supplies,Central Services,BANNER BUSINESS SUPPLIES LTD,2100086704,13.67
Communities & Local Government,VTS,06/01/2012,Office Supplies,Central Services,BANNER BUSINESS SUPPLIES LTD,2100086704,592.87
Communities & Local Government,VTS,06/01/2012,Office Supplies,VT CENTRAL SERVICES,BANNER BUSINESS SUPPLIES LTD,2100086704,148.42
Communities & Local Government,VTS,06/01/2012,Office Supplies,VT CENTRAL SERVICES,BANNER BUSINESS SUPPLIES LTD,2100086704,140.75
Communities & Local Government,VTS,06/01/2012,Training,Training & Development,SUMMERS TRAINING CONSULTANTS LTD,2100086700,"1,084.75"
Communities & Local Government,VTS,06/01/2012,Temporary Accommodation,Operational,KENT COUNTY COUNCIL,2100086693,588.72
Communities & Local Government,VTS,06/01/2012,Temporary Accommodation,Operational,KENT COUNTY COUNCIL,2100086694,888.72
Communities & Local Government,VTS,06/01/2012,Temporary Accommodation,Operational,KENT COUNTY COUNCIL,2100086695,918.72
Communities & Local Government,VTS,11/01/2012,Domestic Services,Estates,CLD SERVICES LTD,2100086757,429.00
Communities & Local Government,VTS,11/01/2012,Domestic Services,Estates,CLD SERVICES LTD,2100086757,429.00
Communities & Local Government,VTS,11/01/2012,IT Maintenance,Information Technology,NCC SERVICES LIMITED,2100086764,954.00
Communities & Local Government,VTS,11/01/2012,Post,VT CENTRAL SERVICES,NEOPOST LTD,2100086763,"2,500.00"
Communities & Local Government,VTS,11/01/2012,Support services,VT CENTRAL SERVICES,DCLG,2100086761,"8,200.00"
Communities & Local Government,VTS,13/01/2012,Cmmunication Telecom Costs,Information Technology,CABLE & WIRELESS,2100086766,"12,284.10"
Communities & Local Government,VTS,13/01/2012,IT SUPPORT,Information Technology,VALUATION OFFICE AGENCY,2100086769,"2,626.08"
Communities & Local Government,VTS,13/01/2012,IT SUPPORT,Information Technology,VALUATION OFFICE AGENCY,2100086769,"16,187.26"
