Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount,Plain English Description
MOJ,NOMS,29/06/2012,Contracted-out Catering Services,Holme House,ESS SUPPORT SERVICES WORLDWIDE,4493343,36989.15,Catering services supplied by an external provider
MOJ,NOMS,18/06/2012,Contracted-out Catering Services,Hewell,ARAMARK LTD,4489384,27772.45,Catering services supplied by an external provider
MOJ,NOMS,06/06/2012,Contracted-out Catering Services,Woodhill,ARAMARK LTD,4489371,25747.66,Catering services supplied by an external provider
MOJ,NOMS,11/06/2012,"Prisoner Compensation over £5,000",Wandsworth,TREASURY SOLICITORS,4495094,52800.00,Compensation payments and legal costs for prisoner litigation
MOJ,NOMS,21/06/2012,Contracted-out Computer Services,MoJ ICT,MINISTRY OF JUSTICE,4489739,5935140.28,Computer services supplied by an external provider
MOJ,NOMS,21/06/2012,Contracted-out Computer Services,MoJ ICT,MINISTRY OF JUSTICE,4489738,4425324.53,Computer services supplied by an external provider
MOJ,NOMS,27/06/2012,Contracted-out Computer Services,NOMIS Programme,STERIA LTD,4514963,324625.00,Computer services supplied by an external provider
MOJ,NOMS,14/06/2012,Consultancy,Procurement Group,DRIVERS JONAS DELOITTE,4494169,32656.80,Consultancy services supplied by an external supplier
MOJ,NOMS,14/06/2012,Consultancy,Procurement Group,DRIVERS JONAS DELOITTE,4494481,29905.19,Consultancy services supplied by an external supplier
MOJ,NOMS,11/06/2012,Consultancy,Procurement Group,DRIVERS JONAS DELOITTE,4494213,26719.20,Consultancy services supplied by an external supplier
MOJ,NOMS,19/06/2012,Consultancy,Procurement Group,DRIVERS JONAS DELOITTE,4502037,26719.20,Consultancy services supplied by an external supplier
MOJ,NOMS,19/06/2012,Consultancy,Procurement Group,DRIVERS JONAS DELOITTE,,-26719.20,Consultancy services supplied by an external supplier
MOJ,NOMS,21/06/2012,Contract IT Maintenance,MoJ ICT,MINISTRY OF JUSTICE,4490024,5088507.87,Costs of  IT maintenance and support
MOJ,NOMS,21/06/2012,Contract IT Maintenance,MoJ ICT,MINISTRY OF JUSTICE,4490023,4815827.86,Costs of  IT maintenance and support
MOJ,NOMS,21/06/2012,Contract IT Maintenance,MoJ ICT,MINISTRY OF JUSTICE,4490022,2633449.91,Costs of  IT maintenance and support
MOJ,NOMS,21/06/2012,Contract IT Maintenance,MoJ ICT,MINISTRY OF JUSTICE,4490021,1551347.45,Costs of  IT maintenance and support
MOJ,NOMS,29/06/2012,Contract IT Maintenance,MoJ ICT,STERIA LTD,4438367,406178.79,Costs of  IT maintenance and support
MOJ,NOMS,29/06/2012,Contract IT Maintenance,MoJ ICT,STERIA LTD,4521925,406178.79,Costs of  IT maintenance and support
MOJ,NOMS,28/06/2012,Contract IT Maintenance,MoJ ICT,STERIA LTD,4515714,308315.10,Costs of  IT maintenance and support
MOJ,NOMS,29/06/2012,Contract IT Maintenance,MoJ ICT,STERIA LTD,4491000,273636.73,Costs of  IT maintenance and support
MOJ,NOMS,29/06/2012,Contract IT Maintenance,MoJ ICT,STERIA LTD,4521766,273636.73,Costs of  IT maintenance and support
MOJ,NOMS,27/06/2012,Contract IT Maintenance,NOMS ICT,HP ENTERPRISE SERVICES UK LTD,4504775,81106.15,Costs of  IT maintenance and support
MOJ,NOMS,22/06/2012,Contract IT Maintenance,Procurement Group,HP ENTERPRISE SERVICES UK LTD,4495098,72921.70,Costs of  IT maintenance and support
MOJ,NOMS,07/06/2012,Contract IT Maintenance,HOPS Payroll Charge,LOGICA CMG (UK) LIMITED,4490435,69357.83,Costs of  IT maintenance and support
MOJ,NOMS,14/06/2012,Contract IT Maintenance,NOMIS Programme,HOME OFFICE,4469605,54519.78,Costs of  IT maintenance and support
MOJ,NOMS,25/06/2012,Contract IT Maintenance,HOPS Payroll Charge,LOGICA CMG (UK) LIMITED,4509536,41863.59,Costs of  IT maintenance and support
MOJ,NOMS,27/06/2012,Contract IT Maintenance,NOMS ICT,HP ENTERPRISE SERVICES UK LTD,4519686,35143.58,Costs of  IT maintenance and support
MOJ,NOMS,06/06/2012,Contract IT Maintenance,NOMS ICT,HP ENTERPRISE SERVICES UK LTD,4489401,27007.08,Costs of  IT maintenance and support
MOJ,NOMS,29/06/2012,Contract IT Maintenance,MoJ ICT,STERIA LTD,4521926,-273636.73,Costs of  IT maintenance and support
MOJ,NOMS,29/06/2012,Contract IT Maintenance,MoJ ICT,STERIA LTD,4521767,-406178.79,Costs of  IT maintenance and support
MOJ,NOMS,14/06/2012,External Telecom Charges,High Security Prisons Group,AIRWAVE SOLUTIONS LIMITED,4502199,25336.53,Costs of external telecom charges
MOJ,NOMS,08/06/2012,Counselling & Advisory Costs,Hull,THE FOUNDATION TRAINING COMPANY,4442762,75000.00,Provision of medical services in prison. The amount is claimed back from the local Primary Trust.
MOJ,NOMS,20/06/2012,Counselling & Advisory Costs,Brixton,R A P T,4486032,46330.76,Provision of medical services in prison. The amount is claimed back from the local Primary Trust.
MOJ,NOMS,08/06/2012,Counselling & Advisory Costs,Hull,THE FOUNDATION TRAINING COMPANY,4450431,37500.00,Provision of medical services in prison. The amount is claimed back from the local Primary Trust.
MOJ,NOMS,08/06/2012,Counselling & Advisory Costs,Hull,THE FOUNDATION TRAINING COMPANY,4484455,-75000.00,Provision of medical services in prison. The amount is claimed back from the local Primary Trust.
MOJ,NOMS,18/06/2012,Contracted-out Education,Hindley,THE MANCHESTER COLLEGE,4446292,77134.64,Education services supplied by an external provider
MOJ,NOMS,18/06/2012,Contracted-out Education,Dover,THE MANCHESTER COLLEGE,4504541,29722.35,Education services supplied by an external provider
MOJ,NOMS,20/06/2012,Electricity,Wymott,EDF ENERGY,4509611,80074.50,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Lindholme,EDF ENERGY,4509768,76076.54,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Belmarsh,EDF ENERGY,4509616,50639.76,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Frankland,EDF ENERGY,4509648,47745.32,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Acklington,EDF ENERGY,4509585,47080.89,Electricity utility costs
MOJ,NOMS,21/06/2012,Electricity,Manchester,EDF ENERGY,4511062,46726.42,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Highdown,EDF ENERGY,4509612,45473.11,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Swaleside,EDF ENERGY,4509622,43821.36,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Birmingham,EDF ENERGY,4509734,42494.53,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Wandsworth,EDF ENERGY,4509551,41838.78,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Liverpool,EDF ENERGY,4509766,41763.64,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Sheppey Clustered Services,EDF ENERGY,4509735,39739.24,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Ranby,EDF ENERGY,4509658,38174.06,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Full Sutton,EDF ENERGY,4509575,34342.18,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Hewell,EDF ENERGY,4509731,33658.26,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Risley,EDF ENERGY,4509664,33575.63,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Wormwood Scrubs,EDF ENERGY,4509595,33448.64,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Holme House,EDF ENERGY,4509589,32903.55,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Wakefield,EDF ENERGY,4509689,32467.93,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Highpoint,EDF ENERGY,4509600,32379.55,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Mount (The),EDF ENERGY,4509656,32062.82,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Leeds,EDF ENERGY,4509550,30694.14,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Nottingham,EDF ENERGY,4509587,30554.14,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Littlehey,EDF ENERGY,4509590,30089.41,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Long Lartin,EDF ENERGY,4509645,29571.74,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Hull,EDF ENERGY,4509719,29257.60,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Woodhill,EDF ENERGY,4509683,28848.58,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Wealstun,EDF ENERGY,4509745,28528.49,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Kirkham,EDF ENERGY,4509765,28099.27,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Durham,EDF ENERGY,4509744,27684.75,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Feltham,EDF ENERGY,4509586,27280.45,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Dartmoor,EDF ENERGY,4509559,27098.28,Electricity utility costs
MOJ,NOMS,13/06/2012,Electricity,Hindley,EDF ENERGY,4489281,26553.35,Electricity utility costs
MOJ,NOMS,20/06/2012,Electricity,Rochester,EDF ENERGY,4509583,26264.93,Electricity utility costs
MOJ,NOMS,27/06/2012,Electricity,Isis,EDF ENERGY,4519606,26234.35,Electricity utility costs
MOJ,NOMS,26/06/2012,Electricity,Gartree,EDF ENERGY,4516308,25746.27,Electricity utility costs
MOJ,NOMS,21/06/2012,Electricity,Whitemoor,EDF ENERGY,4511072,25049.89,Electricity utility costs
MOJ,NOMS,13/06/2012,Electricity,Hindley,EDF ENERGY,4489279,-27190.08,Electricity utility costs
MOJ,NOMS,25/06/2012,Contracted-out Electronic Monitoring,Electronic Monitoring,G4S CARE & JUSTICE SERVICES LTD,4516123,51655.20,Electronic monitoring services supplied by an external provider
MOJ,NOMS,28/06/2012,Contracted-out Electronic Monitoring,Electronic Monitoring,SERCO LTD,4503877,4417360.22,Electronic monitoring services supplied by an external provider
MOJ,NOMS,21/06/2012,Contracted-out Electronic Monitoring,Electronic Monitoring,SERCO LTD,4496608,4399707.40,Electronic monitoring services supplied by an external provider
MOJ,NOMS,15/06/2012,Contracted-out Electronic Monitoring,Electronic Monitoring,G4S CARE & JUSTICE SERVICES LTD,4501907,5243830.86,Electronic monitoring services supplied by an external provider
MOJ,NOMS,08/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4489490,1341027.60,Enhancement to buildings
MOJ,NOMS,14/06/2012,WIP - Acquisitions,Estates Capacity,INTERSERVE CONSTRUCTION LTD,4500827,779859.31,Enhancement to buildings
MOJ,NOMS,27/06/2012,WIP - Acquisitions,NOMIS Programme,STERIA LTD,4518760,678498.00,Enhancement to buildings
MOJ,NOMS,08/06/2012,WIP - Acquisitions,Estates Capacity,INTERSERVE CONSTRUCTION LTD,4488924,378493.84,Enhancement to buildings
MOJ,NOMS,01/06/2012,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4486920,329383.20,Enhancement to buildings
MOJ,NOMS,18/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4504308,326109.60,Enhancement to buildings
MOJ,NOMS,27/06/2012,WIP - Acquisitions,Estates Capacity,ISG CONSTRUCTION LTD,4490376,320738.40,Enhancement to buildings
MOJ,NOMS,15/06/2012,WIP - Acquisitions,Estates Capacity,SHEPHERD CONSTRUCTION LTD,4502579,315235.76,Enhancement to buildings
MOJ,NOMS,20/06/2012,WIP - Acquisitions,Estates Capacity,WILLMOTT DIXON CONSTRUCTION LTD,4508694,307233.95,Enhancement to buildings
MOJ,NOMS,15/06/2012,WIP - Acquisitions,Estates Capacity,KIER NORTHERN,4503208,274497.35,Enhancement to buildings
MOJ,NOMS,01/06/2012,WIP - Acquisitions,Estates Capacity,WATES CONSTRUCTION LTD,4458951,259392.00,Enhancement to buildings
MOJ,NOMS,29/06/2012,WIP - Acquisitions,Estates Capacity,BRIDGEND CUSTODIAL SERVICES LTD,4484358,247280.40,Enhancement to buildings
MOJ,NOMS,18/06/2012,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4504516,245509.20,Enhancement to buildings
MOJ,NOMS,13/06/2012,WIP - Acquisitions,Estates Capacity,ISG CONSTRUCTION LTD,4499284,200838.00,Enhancement to buildings
MOJ,NOMS,11/06/2012,WIP - Acquisitions,Estates Capacity,GALLIFORD TRY CONSTRUCTION LTD,4493541,194301.42,Enhancement to buildings
MOJ,NOMS,22/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4511660,186000.00,Enhancement to buildings
MOJ,NOMS,18/06/2012,WIP - Acquisitions,Estates Capacity,GALLIFORD TRY CONSTRUCTION LTD,4502524,164420.40,Enhancement to buildings
MOJ,NOMS,19/06/2012,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4484706,146953.20,Enhancement to buildings
MOJ,NOMS,14/06/2012,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4500027,132000.00,Enhancement to buildings
MOJ,NOMS,20/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4489554,124837.20,Enhancement to buildings
MOJ,NOMS,19/06/2012,WIP - Acquisitions,Estates Capacity,INTERSERVE CONSTRUCTION LTD,4506118,121905.82,Enhancement to buildings
MOJ,NOMS,28/06/2012,WIP - Acquisitions,Estates Capacity,GLEESON CONSTRUCTION SERVICES LTD,4499579,120000.00,Enhancement to buildings
MOJ,NOMS,08/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4489553,111513.60,Enhancement to buildings
MOJ,NOMS,20/06/2012,WIP - Acquisitions,Estates Capacity,LORNE STEWART PLC,4509493,110121.60,Enhancement to buildings
MOJ,NOMS,13/06/2012,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4491437,106302.00,Enhancement to buildings
MOJ,NOMS,21/06/2012,WIP - Acquisitions,Estates Capacity,GALLIFORD TRY CONSTRUCTION LTD,4458183,96462.90,Enhancement to buildings
MOJ,NOMS,29/06/2012,WIP - Acquisitions,Estates Capacity,WATES CONSTRUCTION LTD,4521209,83163.60,Enhancement to buildings
MOJ,NOMS,19/06/2012,WIP - Acquisitions,Estates Capacity,INTERSERVE CONSTRUCTION LTD,4506793,80518.36,Enhancement to buildings
MOJ,NOMS,20/06/2012,WIP - Acquisitions,Estates Capacity,WILLMOTT DIXON CONSTRUCTION LTD,4508693,75705.01,Enhancement to buildings
MOJ,NOMS,20/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4457562,66708.00,Enhancement to buildings
MOJ,NOMS,12/06/2012,WIP - Acquisitions,Estates Capacity,KIER NORTHERN,4496632,64758.00,Enhancement to buildings
MOJ,NOMS,15/06/2012,WIP - Acquisitions,Estates Capacity,INTERSERVE CONSTRUCTION LTD,4461367,63516.11,Enhancement to buildings
MOJ,NOMS,20/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4496007,61914.00,Enhancement to buildings
MOJ,NOMS,27/06/2012,WIP - Acquisitions,Estates Capacity,LORNE STEWART PLC,4519443,55440.34,Enhancement to buildings
MOJ,NOMS,26/06/2012,Buildings - Acquisitions,Wales Prisons Estate Management Group (WPEMG),WB GRIFFITHS & SONS LTD,4513592,47374.19,Enhancement to buildings
MOJ,NOMS,12/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4496757,38193.60,Enhancement to buildings
MOJ,NOMS,26/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4511661,36036.73,Enhancement to buildings
MOJ,NOMS,20/06/2012,WIP - Acquisitions,Estates Capacity,GALLIFORD TRY CONSTRUCTION LTD,4508894,32608.80,Enhancement to buildings
MOJ,NOMS,13/06/2012,WIP - Acquisitions,Estates Capacity,KIER CONSTRUCTION LTD,4437303,30762.00,Enhancement to buildings
MOJ,NOMS,11/06/2012,WIP - Acquisitions,Estates Capacity,COFATHEC ENERGY SERVICES UK LTD,4396465,29047.50,Enhancement to buildings
MOJ,NOMS,13/06/2012,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4500028,27295.67,Enhancement to buildings
MOJ,NOMS,11/06/2012,WIP - Acquisitions,Estates Capacity,COFATHEC ENERGY SERVICES UK LTD,4474912,-29047.50,Enhancement to buildings
MOJ,NOMS,21/06/2012,Legal Representation,Insurance / Loan Contracts,TREASURY SOLICITORS,4511070,46504.94,Expenditure on legal representation
MOJ,NOMS,21/06/2012,Professional Advice,MOJ Shared Services NOMS Delivery,TREASURY SOLICITORS,4511058,1212730.96,Expenditure on professional advice
MOJ,NOMS,08/06/2012,Structural works / maintenance - Fees & professional services,Estates Capacity,WATES CONSTRUCTION LTD,4493149,46462.67,Fees for professional services for major maintenance on prison estate
MOJ,NOMS,25/06/2012,Structural works / maintenance - Fees & professional services,Estates Capacity,URS INFRASTRUCTURE & ENVIRONMENT UK LTD,4514052,45575.99,Fees for professional services for major maintenance on prison estate
MOJ,NOMS,14/06/2012,Professional works advice / services,Brixton,MITIE JUSTICE LTD,4492386,30995.88,Fees for professional services for major maintenance on prison estate
MOJ,NOMS,29/06/2012,Professional works advice / services,Brixton,MITIE JUSTICE LTD,4521928,30995.88,Fees for professional services for major maintenance on prison estate
MOJ,NOMS,28/06/2012,Structural works / maintenance - Fees & professional services,Estates Capacity,AEDAS ARCHITECTS LTD,4519194,30890.71,Fees for professional services for major maintenance on prison estate
MOJ,NOMS,29/06/2012,Other Fuels,Sudbury,HARVEST ENERGY LTD,4498328,48051.29,Fuel utility costs
MOJ,NOMS,08/06/2012,Other Fuels,Wayland,COAL 4 ENERGY LTD,4491540,27759.85,Fuel utility costs
MOJ,NOMS,21/06/2012,Other Fuels,Transport Group,HARVEST ENERGY LTD,4510696,26257.31,Fuel utility costs
