,,,
Prompt Payment Report - 2017/18,,,
UK Atomic Energy Authority (NDPB),,,
Reporting Month:,01 October - 31 October (P7),,
Prompt Payment Reporting,5 Day,10 Day,30 Day
,,,
No. of invoices received,1863,1863,1863
No. of invoices paid within specified working days or less,1056,1648,1753
No. of Invoices paid over specified working days,807,215,110
No. of disputed invoices*,0,0,0
% of invoices paid within terms,57%,88%,94%
,,,
,,,
Note:,,,
,,,
Disputed invoices are not included in statistics,,,
The following payment types are excluded from the return:,,,
Payments to Staff (e.g. salary or T&S costs),,,
Foreign Currency Payments,,,
Any Grant Payments,,,
,,,
,,,
