Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,02/09/2011,Capital Expenditure,Information Management,ACCENTURE,600065380,42417.72,788629066
Dept of Health,MHRA,05/09/2011,Overseas Travel & Subsistence,Vigilance and Risk Management of Medicines,FCM TRAVEL SOLUTIONS,600065585,2894.48,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Vigilance and Risk Management of Medicines,FCM TRAVEL SOLUTIONS,600065585,83.90,662428530
Dept of Health,MHRA,05/09/2011,Overseas Travel & Subsistence,Policy,FCM TRAVEL SOLUTIONS,600065585,429.81,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Policy,FCM TRAVEL SOLUTIONS,600065585,9.00,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Operations & Finance,FCM TRAVEL SOLUTIONS,600065585,92118.62,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Operations & Finance,FCM TRAVEL SOLUTIONS,600065585,76.90,662428530
Dept of Health,MHRA,05/09/2011,Overseas Travel & Subsistence,Medical Devices,FCM TRAVEL SOLUTIONS,600065585,5001.03,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Medical Devices,FCM TRAVEL SOLUTIONS,600065585,1137.12,662428530
Dept of Health,MHRA,05/09/2011,Training inc T&S,Medical Devices,FCM TRAVEL SOLUTIONS,600065585,159.75,662428530
Dept of Health,MHRA,05/09/2011,Overseas Travel & Subsistence,Licensing,FCM TRAVEL SOLUTIONS,600065585,1190.40,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Licensing,FCM TRAVEL SOLUTIONS,600065585,218.60,662428530
Dept of Health,MHRA,05/09/2011,Overseas Travel & Subsistence,"Inspection, Enforcement & Standards",FCM TRAVEL SOLUTIONS,600065585,66841.88,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,"Inspection, Enforcement & Standards",FCM TRAVEL SOLUTIONS,600065585,13663.95,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Human Resources,FCM TRAVEL SOLUTIONS,600065585,-50.90,662428530
Dept of Health,MHRA,05/09/2011,Overseas Travel & Subsistence,Directorate,FCM TRAVEL SOLUTIONS,600065585,375.20,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Directorate,FCM TRAVEL SOLUTIONS,600065585,9.00,662428530
Dept of Health,MHRA,05/09/2011,UK Travel & Subsistence,Communications,FCM TRAVEL SOLUTIONS,600065585,78.50,662428530
Dept of Health,MHRA,09/09/2011,Solicitors,Policy,DEPARTMENT FOR WORK & PENSIONS,600065582,330717.90,888815554
Dept of Health,MHRA,09/09/2011,Service Charge,Operations & Finance,ZURICH ASSURANCE LTD,600065465,15912.92,107831677
Dept of Health,MHRA,09/09/2011,Premises Rental,Operations & Finance,ZURICH ASSURANCE LTD,600065465,30000.00,107831677
Dept of Health,MHRA,16/09/2011,Third Party IT Contracts,Information Management,ACCENTURE,600065627,96083.09,788629066
Dept of Health,MHRA,16/09/2011,Capital Expenditure,Information Management,ACCENTURE,600065628,62234.40,788629066
Dept of Health,MHRA,16/09/2011,Computing Operation Costs,Information Management,ACCENTURE,600065629,662355.61,788629066
Dept of Health,MHRA,16/09/2011,Capital Expenditure,Information Management,ACCENTURE,600065631,144837.60,788629066
Dept of Health,MHRA,16/09/2011,Capital Expenditure,Information Management,ACCENTURE,600065769,28807.70,788629066
Dept of Health,MHRA,16/09/2011,Premises Rental,Operations & Finance,BNP PARIBAS REAL ESTATE,600065638,70264.50,
Dept of Health,MHRA,16/09/2011,Building Maintenance & Utilities,Operations & Finance,BNP PARIBAS REAL ESTATE,600065639,3353.42,
Dept of Health,MHRA,16/09/2011,Service Charge,Operations & Finance,BNP PARIBAS REAL ESTATE,600065639,21948.95,
Dept of Health,MHRA,16/09/2011,Telecommunications,Information Management,VODAFONE (UNIFIED COMMUNICATIONS GROUP),600065356,46578.40,569953277
Dept of Health,MHRA,22/09/2011,IT Purchases,Information Management,ACCENTURE,600065626,162075.48,788629066
