Energy and nutrient intakes derived from food & drink eaten out by ethnic origin of household reference person Average per person per day (a) Asian & Asian British(h),Code ,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
,8,Energy,,kcal,281,283,269,240,235,248,273,228,265,264,219,211,222
,9,,,MJ,1.2,1.2,1.1,1.0,1.0,1.0,1.1,1.0,1.1,1.1,0.9,0.9,0.9
,8,Energy from all sources excluding alcohol,,kcal,272,277,265,235,231,245,270,225,264,259,215,205,217
,1,Protein,,g,9.8,10.2,9.9,9.2,8.9,9.6,10.4,8.5,10.6,10.2,8.8,8.4,8.9
,3,Fat,,g,13,13,13,12,11,12,12,11,13,13,11,10,10
,4,Fatty acids:,Saturates,g,4.1,4.2,3.9,3.5,3.4,3.7,3.3,3.3,3.9,3.7,3.1,2.9,2.9
,5,Fatty acids:,Mono-unsaturates,g,5.3,5.5,5.3,4.9,4.8,5.1,5.2,4.6,5.7,5.4,4.6,4.2,4.3
,6,Fatty acids:,Poly-unsaturates,g,2.7,2.9,2.7,2.5,2.4,2.6,2.8,2.3,2.8,2.8,2.3,2.2,2.3
,47,Cholesterol,,mg,36,39,38,34,34,37,34,32,41,39,33,31,31
,7,Carbohydrate (b),,g,31,31,29,25,25,26,32,25,27,27,22,22,24
,31,,Total sugars,g,12,12,11,8,8,8,8,8,7,9,6,7,6
,32,,Non-milk extrinsic sugars,g,9,9,8,5,6,6,5,6,5,6,4,5,4
,24,,Starch,g,19,19,19,17,17,18,24,16,20,19,16,15,18
,35,Fibre (c),,g,2.0,2.1,2.0,1.9,1.8,2.0,2.2,1.7,2.3,2.1,1.8,1.5,1.8
,33,Alcohol,,g,1.3,0.8,0.5,0.6,0.6,0.5,0.5,0.4,0.2,0.7,0.5,0.8,0.6
,10,Calcium,,mg,86,84,80,73,70,74,88,68,75,78,64,65,69
,11,Iron,,mg,1.3,1.4,1.3,1.2,1.2,1.3,1.6,1.1,1.4,1.4,1.2,1.1,1.2
,39,Zinc,,mg,1.1,1.2,1.1,1.1,1.0,1.1,1.1,1.0,1.2,1.1,1.0,0.9,1.0
,37,Magnesium,,mg,32,31,29,27,26,28,29,25,30,30,25,23,25
,23,Sodium (d),,g,0.35,0.37,0.35,0.32,0.31,0.34,0.40,0.31,0.37,0.37,0.31,0.29,0.32
,36,Potassium,,g,0.43,0.42,0.42,0.37,0.36,0.39,0.38,0.35,0.44,0.40,0.34,0.31,0.33
,15,Thiamin,,mg,0.25,0.25,0.24,0.22,0.22,0.24,0.23,0.21,0.27,0.24,0.21,0.18,0.20
,16,Riboflavin,,mg,0.16,0.16,0.15,0.14,0.13,0.14,0.14,0.12,0.15,0.15,0.13,0.12,0.12
,19,Niacin Equivalent,,mg,4.6,4.6,4.3,4.1,4.0,4.2,4.7,3.8,4.7,4.6,3.9,3.8,4.1
,40,Vitamin B6,,mg,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3
,41,Vitamin B12,,?g,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.5
,22,Folate,,?g,47,46,44,41,40,43,42,38,48,43,38,34,36
,20,Vitamin C,,mg,11,11,10,9,9,11,8,9,12,10,9,8,8
,12,Vitamin A:,Retinol,?g,51,48,47,42,42,48,37,39,52,44,42,35,37
