CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,5965,94.3%,360,5.7%
P01-Avon&Somerset,152,95.0%,8,5.0%
P02-Bedfordshire,50,94.3%,3,5.7%
P03-Cambridgeshire,67,98.5%,1,1.5%
P04-Cheshire,74,98.7%,1,1.3%
P06-Cleveland,88,95.7%,4,4.3%
P07-Cumbria,100,100.0%,0,0.0%
P08-Derbyshire,97,96.0%,4,4.0%
P09-Devon&Cornwall,134,89.9%,15,10.1%
P10-Dorset,47,100.0%,0,0.0%
P11-Durham,37,97.4%,1,2.6%
P12-DyfedPowys,93,91.2%,9,8.8%
P13-Essex,156,95.7%,7,4.3%
P14-Gloucestershire,38,97.4%,1,2.6%
P15-GreaterManchester,415,95.8%,18,4.2%
P16-Gwent,75,100.0%,0,0.0%
P17-Hampshire,150,93.2%,11,6.8%
P18-Hertfordshire,111,96.5%,4,3.5%
P19-Humberside,76,92.7%,6,7.3%
P20-Kent,119,90.8%,12,9.2%
P21-Lancashire,150,99.3%,1,0.7%
P22-Leicestershire,53,93.0%,4,7.0%
P23-Lincolnshire,57,98.3%,1,1.7%
P24-Merseyside,397,90.4%,42,9.6%
P25-Metropolitan&City,1269,94.5%,74,5.5%
P26-Norfolk,89,91.8%,8,8.2%
P27-Northamptonshire,45,97.8%,1,2.2%
P28-Northumbria,184,96.3%,7,3.7%
P29-NorthWales,62,93.9%,4,6.1%
P30-NorthYorkshire,42,93.3%,3,6.7%
P31-Nottinghamshire,107,92.2%,9,7.8%
P32-SouthWales,241,92.7%,19,7.3%
P33-SouthYorkshire,148,96.7%,5,3.3%
P34-Staffordshire,45,86.5%,7,13.5%
P35-Suffolk,43,93.5%,3,6.5%
P36-Surrey,53,93.0%,4,7.0%
P37-Sussex,102,92.7%,8,7.3%
P38-ThamesValley,185,95.4%,9,4.6%
P39-Warwickshire,25,100.0%,0,0.0%
P40-WestMercia,61,95.3%,3,4.7%
P41-WestMidlands,266,95.7%,12,4.3%
P42-WestYorkshire,232,88.9%,29,11.1%
P43-Wiltshire,30,93.8%,2,6.3%
