Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,ISLE OF WIGHT COUNCIL,10754683,"935,000.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,10768075,"5,112,836.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,10768078,"553,451.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PORTSMOUTH HOSPITALS NHS TRUST,10799701,"302,595.46"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10799705,"362,029.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Non NHS Payables <1Yr,BALANCE SHEET,ISLE OF WIGHT COUNCIL,10799727,"29,140.71"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALISBURY NHS FOUNDATION TRUST,10799802,"34,018.00"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,NHS Local Payables Adj,BALANCE SHEET,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,10799941,80
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,10799941,"27,974.30"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Non Contract,PATIENT TRANSPORT,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,10799941,657.7
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Non NHS Payables <1Yr,BALANCE SHEET,ISLE OF WIGHT COUNCIL,10878499,"32,270.11"
Department of Health,NHS Isle Of Wight CCG,29/02/2016,Clinical&Medical-Independent Sector,WINTER PRESSURES,AGE UK ISLE OF WIGHT,10896004,"43,935.00"
