Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,01/12/2010,"Property, Plant and Equipment",Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8001089           ,135616.83
Department of Health,Care Quality Commission,01/12/2010,Maintenance / FM,Finance and Corporate Services Directorate,NB Real Estate,EFT8001100           ,23787.73
Department of Health,Care Quality Commission,01/12/2010,Rent,Finance and Corporate Services Directorate,NB Real Estate,EFT8001100           ,55767.56
Department of Health,Care Quality Commission,01/12/2010,Training & Development,Organisational Development and Human Resources Directorate,Specialist Computer Centres plc,EFT8001108           ,45989.5
Department of Health,Care Quality Commission,03/12/2010,IT Annual Licences and Support,Finance and Corporate Services Directorate,Computacenter UK Limited,EFT8001137           ,404872.29
Department of Health,Care Quality Commission,06/12/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001171           ,64660.35
Department of Health,Care Quality Commission,06/12/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001171           ,15494.8
Department of Health,Care Quality Commission,06/12/2010,Agency,Governance and Legal,Carlisle Managed Solutions,EFT8001171           ,1002.32
Department of Health,Care Quality Commission,06/12/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001171           ,2281.04
Department of Health,Care Quality Commission,06/12/2010,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001171           ,30732.92
Department of Health,Care Quality Commission,06/12/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001171           ,7079.51
Department of Health,Care Quality Commission,06/12/2010,Agency,Registration,Carlisle Managed Solutions,EFT8001171           ,12366.16
Department of Health,Care Quality Commission,06/12/2010,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001171           ,2712.5
Department of Health,Care Quality Commission,06/12/2010,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001171           ,17475.31
Department of Health,Care Quality Commission,08/12/2010,IT Telecommunications,Finance and Corporate Services Directorate,Cable & Wireless,EFT8001200           ,23545.33
Department of Health,Care Quality Commission,08/12/2010,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT8001212           ,159113.83
Department of Health,Care Quality Commission,08/12/2010,Rates,Commission Wide,Islington Council,EFT8001218           ,29142
Department of Health,Care Quality Commission,10/12/2010,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8001262           ,63357.28
Department of Health,Care Quality Commission,10/12/2010,Agency,Finance and Corporate Services Directorate,Carlisle Managed Solutions,EFT8001262           ,16928.24
Department of Health,Care Quality Commission,10/12/2010,Agency,Governance and Legal,Carlisle Managed Solutions,EFT8001262           ,945.58
Department of Health,Care Quality Commission,10/12/2010,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8001262           ,1763.63
Department of Health,Care Quality Commission,10/12/2010,Agency,Operations Delivery,Carlisle Managed Solutions,EFT8001262           ,26037.94
Department of Health,Care Quality Commission,10/12/2010,Agency,Organisational Development and Human Resources Directorate,Carlisle Managed Solutions,EFT8001262           ,12987.01
Department of Health,Care Quality Commission,10/12/2010,Agency,Registration,Carlisle Managed Solutions,EFT8001262           ,27461.37
Department of Health,Care Quality Commission,10/12/2010,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8001262           ,904.16
Department of Health,Care Quality Commission,10/12/2010,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8001262           ,19163.95
Department of Health,Care Quality Commission,10/12/2010,Rent,Commission Wide,Rockdell Property Management,EFT8001278           ,436088.25
Department of Health,Care Quality Commission,10/12/2010,Maintenance / FM,Finance and Corporate Services Directorate,Rockdell Property Management,EFT8001280           ,148061.58
Department of Health,Care Quality Commission,13/12/2010,Contracted Lawyers / Legal Fees,Governance and Legal,Bevan Brittan LLP,EFT8001290           ,46795.16
Department of Health,Care Quality Commission,13/12/2010,Maintenance / FM,Finance and Corporate Services Directorate,Danmerc Limited,EFT8001297           ,55068.73
Department of Health,Care Quality Commission,13/12/2010,Rent,Commission Wide,Danmerc Limited,EFT8001298           ,147065.94
Department of Health,Care Quality Commission,13/12/2010,Maintenance / FM,Finance and Corporate Services Directorate,King Sturge LLP,EFT8001303           ,21105.06
Department of Health,Care Quality Commission,13/12/2010,Rent,Finance and Corporate Services Directorate,King Sturge LLP,EFT8001303           ,59778.13
Department of Health,Care Quality Commission,13/12/2010,Publishing & Branding,Strategic Marketing & Communications Directorate,Ptarmigan Design Ltd,EFT8001306           ,58750
Department of Health,Care Quality Commission,15/12/2010,ICAP,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001345           ,306358.43
Department of Health,Care Quality Commission,15/12/2010,IT Managed Service,Finance and Corporate Services Directorate,CSC Computer Science Ltd,EFT8001345           ,535584.96
