Organisation,Merchant,MCC,Date Posted,Settlement Amount,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ABB LIMITED,8911,22/09/2009,£517.50,Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ABB LIMITED,8911,08/10/2009,£977.50,Scientific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,AINSCOUGH TRAINING LTD,8299,02/10/2009,£845.25,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,AMAZON SVCS EU-UK,5942,09/10/2009,£603.72,Books ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,20/10/2009,£511.30,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,14/10/2009,£530.15,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,22/09/2009,£530.15,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,24/09/2009,£583.34,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,29/09/2009,£595.70,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,01/10/2009,£649.44,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,ANTALIS UK LTD,5111,30/09/2009,£968.19,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,BANNER BUSINESS SUPPLIES,5943,07/10/2009,£841.51,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,BLACKPOOL & FYLDE COLL,8220,08/10/2009,£690.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,CALL CENTRE ASSOCIATION,7399,20/10/2009,"£1,380.00",Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,CAPITA BUSINESS SERVS,7399,29/09/2009,£511.75,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,CAPITA BUSINESS SERVS,7399,01/10/2009,£511.75,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,CIPD ENTERPRISES,8999,02/10/2009,£569.25,Professional Membership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,CITY UNIVERSITY,8299,19/10/2009,£550.00,Training ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,CROWNE PLAZA LIVERPOOL,7011,16/10/2009,"£2,685.00",Venue Hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,22/09/2009,£920.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,05/10/2009,£920.00,Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,05/10/2009,"£1,840.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,05/10/2009,"£1,840.00",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,22/09/2009,"£1,975.13",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Executive,DLS,8999,22/09/2009,"£1,983.75",Training Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,
