Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Total Inv Amount
Department of Health,NORTH TYNESIDE PCT (COMM),01/28/11,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,40975,381639.53
Department of Health,NORTH TYNESIDE PCT (COMM),01/11/2011,GLOBAL SUM,PRIMARY CARE FINANCE,FREEMAN CLINICS LTD,53,91457
Department of Health,NORTH TYNESIDE PCT (COMM),01/11/2011,PREMISES - NOTIONAL RENTS,PRIMARY CARE FINANCE,FREEMAN CLINICS LTD,53,17065
Department of Health,NORTH TYNESIDE PCT (COMM),01/11/2011,QUALITY ASPIRATION,PRIMARY CARE FINANCE,FREEMAN CLINICS LTD,53,2478
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,122006,118210
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,122007,71240
Department of Health,NORTH TYNESIDE PCT (COMM),01/07/2011,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,143775,138683.18
Department of Health,NORTH TYNESIDE PCT (COMM),01/24/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,181428,34519.29
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,182333,1510810
Department of Health,NORTH TYNESIDE PCT (COMM),01/24/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,182397,37287.38
Department of Health,NORTH TYNESIDE PCT (COMM),01/28/11,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,NUFFIELD HEALTH,207864,29929
Department of Health,NORTH TYNESIDE PCT (COMM),01/24/11,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,207941,45303
Department of Health,NORTH TYNESIDE PCT (COMM),01/24/11,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,209100,43125
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,209936,51680
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,SERVICES FROM PCTS,PRIMARY CARE FINANCE,NORTH TYNESIDE PCT,209998,66170
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,210260,2288312
Department of Health,NORTH TYNESIDE PCT (COMM),01/24/11,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,210362,71614
Department of Health,NORTH TYNESIDE PCT (COMM),01/28/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS TRUST,28945,25371
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS TRUST,29128,61749
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS TRUST,29134,470821
Department of Health,NORTH TYNESIDE PCT (COMM),01/07/2011,SERVICES FROM PCTS,PRIMARY CARE FINANCE,SOUTH TYNESIDE PCT,3022,43710
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,35084912,3463578
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3937038,73757.05
Department of Health,NORTH TYNESIDE PCT (COMM),01/07/2011,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3937058,106947.58
Department of Health,NORTH TYNESIDE PCT (COMM),01/28/11,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3937380,60111
Department of Health,NORTH TYNESIDE PCT (COMM),01/07/2011,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000268114,36607
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000269050,36508
Department of Health,NORTH TYNESIDE PCT (COMM),01/24/11,SERVICES FROM NHS FOUNDATION TRUSTS,CENTRAL FINANCE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,50321,39424
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,50392,7838034
Department of Health,NORTH TYNESIDE PCT (COMM),01/07/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,509917,321859
Department of Health,NORTH TYNESIDE PCT (COMM),01/14/11,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,510049,343356
