Contract ID,Project ID,Project Name,Central Government Department,Responsible Government Body,Latest Business Case Assumed Contract Start Date,Latest Forecast Date for Contract Start,Current Approved Contract End/Expiry Date,"If existing, Original Contract Date","If existing, Latest Contract Revision Date",Prime ICT Supplier Name,Prime ICT Supplier Capability Type,Other Supplier Name 1,Other Supplier Capability Type 1,Other Supplier Name 2,Other Supplier Capability Type 2,Other Supplier Name 3,Other Supplier Capability Type 3,Other Supplier Name 4,Other Supplier Capability Type 4,Date of Current Business case,Status of Current Business case,Prime ICT Supplier - Whole Life Costs - CDEL (£'000),Prime ICT Supplier - Whole Life Costs - RDEL(£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - CDEL (£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - RDEL (£'000),Prime ICT Supplier - In Year 10/11 - CDEL (£'000),Prime ICT Supplier - In Year 10/11 - RDEL (£'000),Prime ICT Supplier - SR Period 11/12 - CDEL (£'000),Prime ICT Supplier - SR Period 11/12 - RDEL (£'000),Prime ICT Supplier - SR Period 12/13 - CDEL (£'000),Prime ICT Supplier - SR Period 12/13 - RDEL (£'000),Prime ICT Supplier - SR Period 13/14 - CDEL (£'000),Prime ICT Supplier - SR Period 13/14 - RDEL (£'000),Prime ICT Supplier - SR Period 14/15 - CDEL (£'000),Prime ICT Supplier - SR Period 14/15 - RDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs CDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs RDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - CDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - RDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - CDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - RDEL (£'000),Workstation / User devices - Included?,Workstation / User devices - % of Total spend,"COTS Corporate Applications (HR, Finance etc) - Included?","COTS Corporate Applications (HR, Finance etc) - % of Total",Business Applications Included?,Business Applications Included - % of Total,Networks - Included?,Networks - % of Total spend,Data Centres - Included?,Data Centres - % of Total spend,Email  - Included?,Email  - % of Total spend,"Operating System Platform (Windows, Linux etc) - Included?","Operating System Platform (Windows, Linux etc) - % of Total",Service Desks - Included?,Service Desks - % of Total spend,Contact Centres / Customer Relationship Management - Included?,Contact Centres / Customer Relationship Management - % of total,Telecommunications - Included?,Telecommunications - % of Total spend,Online Services  - Included?,Online Services  - % of Total spend,Other - % of Total spend,Date of SRO's last assessment,OGC review stage,Coalition Programme for Government
C001,P001,Autonomy,Attorney General's Office (LOD),Serious Fraud Office,,,18-Jun-14,,,Autonomy,Business Applications (i.e. Operational applications),HP,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,4320,1858,1616,148,1190,466,0,311,0,311,0,311,0,311,,1727,1514,22,,501,,301,,301,,301,,301,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Justice
C002,P002,Back-Office Shared Service ,Attorney General's Office (LOD),Crown Prosecution Service,01-Apr-11,01-Apr-11,01-Jun-11,,01-Jun-11,Dept of Work and Pensions,Online Services ,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,21-Jul-10,Estimate,,18000,,,,2000,,4000,,4000,,4000,,4000,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,5,,5,,,,,,,,Justice
C003,P003,Case Management System (CMS),Attorney General's Office (LOD),AGO - Treasury Solicitor,,,01-Aug-14,,,FWBS,Not Stated,Autonomy,Document/Records Management System,HP,Not Stated,In house,Service Desk and Support,Not Stated,Not Stated,07-Jun-10,,1454,401,836,0,618,114,0,71,0,71,0,72,0,73,566,197,526,0,40,69,0,31,0,32,0,32,0,33,No,,No,,Yes,31,No,,Yes,12,No,,No,,Yes,9,No,,No,,No,,48,24-Jun-10,,Business
C004,P004,COIN Migration Project,Cabinet Office,CO - Central,,,,,,SIS/SOC,Not Stated,GCHQ,Networks,Fujitsu,Workstation / User devices,Detica,Business Applications (i.e. Operational applications),Not Stated,Not Stated,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,20,Yes,15,Yes,20,Yes,15,No,0,Yes,10,Yes,5,Yes,15,No,0,No,0,No,0,,,,National Security
C005,P005,"Data Centre Consolidation, G-Cloud & Applications Store for Government (G-Cloud)",Cabinet Office,CO - Central,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,06-Aug-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Not Applicable,Deficit Reduction
C006,P006,Flex Decommissioning ,Cabinet Office,CO - Central,,,01-May-14,,,Fujitsu,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,17,No,,Yes,17,Yes,17,No,,Yes,16,Yes,17,Yes,16,No,,No,,No,,,,Gateway 4 Readiness for service,Deficit Reduction
C007,P007,Flex Indexation 2010-2011,Cabinet Office,CO - Central,,,21-May-11,,30-Jun-10,Fujitsu,Workstation / User devices,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,840,,168,,168,,168,,168,,168,,168,,,,,,,,,,,,,,,Yes,11,No,,No,,Yes,12,Yes,25,Yes,10,Yes,10,Yes,6,No,,No,,No,,26,,Not Applicable,Business
C008,P008,National Civil Alert System,Cabinet Office,CO - Central,,,,,,To be determined,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,28-Jul-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,15,Yes,5,Yes,5,No,,No,,Yes,10,No,,Yes,5,Yes,10,50,,,National Security
C009,P009,eAudit,Communities and Local Government,CLG - Audit Commission,01-Apr-11,01-Apr-11,,,,To be determined,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,18-May-10,,630,1928,0,,730,,,668,,315,,315,,315,100,,,30,,,,,,,,,,,No,,No,,Yes,90,No,,No,,No,,No,,No,,No,,No,,No,,10,20-Jul-10,,Communities and Local Government
C010,P010,Enhanced Local Government Accrued Reporting (ELGAR) Programme,Communities and Local Government,CLG - Central,,10-Dec-10,,,,To be determined,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,50,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,50,,,,Communities and Local Government
