Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Emlyn Hughes house,Water - other,20-Apr-2016,200029625,United Utilities Water Plc,716.73
Barrow Borough Council,Parks and open spaces,Grounds maintenance,20-Apr-2016,200029508,Tythe Barn Nurseries Ltd,"4,000.00"
Barrow Borough Council,Recycling,Recycling collection and processing,20-Apr-2016,200029584,Biffa Waste Services Ltd,"66,996.74"
Barrow Borough Council,Dock museum,Building cleaning,20-Apr-2016,200029535,Elior UK Ltd,"1,254.57"
Barrow Borough Council,A590 Seniors,Hire of halls,27-Apr-2016,200029684,A590 Youth Theatre Group,"-1,180.25"
Barrow Borough Council,Estates management,Solicitors fees,13-Apr-2016,200029440,Brown Barron Solicitors,851.00
Barrow Borough Council,Building control,Subscriptions,13-Apr-2016,200029458,District Surveyors Assoc Ltd,690.34
Barrow Borough Council,Barrow town hall,Professional fees,27-Apr-2016,200029712,The Riverside Group Ltd,"1,285.14"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,20-Apr-2016,200029619,AB Mitchell Developments,550.00
Barrow Borough Council,Market Hall & Offices,Incidental costs,13-Apr-2016,200029449,MW Flooring,620.00
Barrow Borough Council,Major works maintenance - HRA,Adaptations,20-Apr-2016,200029619,AB Mitchell Developments,"3,411.42"
Barrow Borough Council,Jenny Eclair - 31.3.16,Professional fees,13-Apr-2016,200029452,Avalon Promotions Ltd,"2,169.91"
Barrow Borough Council,Cylical maintenance - HRA,Gas works,13-Apr-2016,200029497,Sure Maintenance,"7,201.28"
Barrow Borough Council,Public conveniences,Electricity,20-Apr-2016,200029523,NPower,-570.29
Barrow Borough Council,Parish precepts,Parish precepts,20-Apr-2016,200029529,Askam & Ireleth Town Council,"25,337.01"
Barrow Borough Council,Information technology,Data Line Rental,20-Apr-2016,200029564,CAE Technology Services,"11,820.00"
Barrow Borough Council,Crematorium,Equipment purchase,20-Apr-2016,200029580,Yorkshire Purchasing Organisation,500.40
Barrow Borough Council,Northern Ballet - 16.3.16 & 8.4.16,Professional fees,13-Apr-2016,200029478,Fiona Forster,536.63
Barrow Borough Council,Development control,Professional fees,20-Apr-2016,200029653,The Conservation Studio,"6,070.00"
Barrow Borough Council,Craven house,Removal of refuse,27-Apr-2016,200029742,FCC Recycling (UK) Ltd,"1,661.52"
Barrow Borough Council,Phoenix Business Centre,Removal of refuse,27-Apr-2016,200029742,FCC Recycling (UK) Ltd,681.20
Barrow Borough Council,Forum shop,TIC - third party income,13-Apr-2016,200029441,Stagecoach,693.00
Barrow Borough Council,The park leisure centre,Professional fees,20-Apr-2016,200029551,Premier Commercial Cleaning Serv Ltd,779.10
Barrow Borough Council,Food safety,Professional fees,20-Apr-2016,200029575,NWIFCA,"1,457.50"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,20-Apr-2016,200029506,Keith Wilson Elec Con Ltd,"2,302.07"
Barrow Borough Council,Recycling,Recycling credits from contractor,20-Apr-2016,200029584,Biffa Waste Services Ltd,"-16,242.92"
Barrow Borough Council,Crematorium,Grounds maintenance,13-Apr-2016,200029429,Continental Landscapes Ltd,998.35
Barrow Borough Council,Information technology,Professional fees,20-Apr-2016,200029564,CAE Technology Services,"4,750.00"
Barrow Borough Council,Tenant demand maintenance - HRA,Gas works,13-Apr-2016,200029497,Sure Maintenance,"2,505.75"
Barrow Borough Council,Barrow town hall,Removal of refuse,27-Apr-2016,200029742,FCC Recycling (UK) Ltd,"2,425.50"
Barrow Borough Council,The park leisure centre,Electricity,27-Apr-2016,200029718,NPower,671.68
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,27-Apr-2016,200029724,AB Mitchell Developments,"1,583.34"
Barrow Borough Council,Off street car parking,Software maintenance,20-Apr-2016,200029572,Imperial Civil Enforcement Solutions,"15,050.02"
Barrow Borough Council,Recycling,Greenwaste recycling,20-Apr-2016,200029510,Sinkfall Recycling,501.60
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,13-Apr-2016,200029485,Diseno Associates Ltd,873.93
Barrow Borough Council,Off street car parking,Water - other,13-Apr-2016,200029422,United Utilities Water Plc,"1,621.64"
Barrow Borough Council,Homelessness,Professional fees,20-Apr-2016,200029573,The Riverside Group Ltd,641.76
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,27-Apr-2016,200029664,Hughes Brothers,"20,130.32"
Barrow Borough Council,Cost of collection,Court fees,13-Apr-2016,200029446,HMCS,720.00
Barrow Borough Council,A590 Seniors,Admissions,27-Apr-2016,200029684,A590 Youth Theatre Group,"3,589.50"
Barrow Borough Council,Registration of electors,Software maintenance,20-Apr-2016,200029524,SoftCat Ltd,"2,130.00"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,20-Apr-2016,200029656,Wrekin Windows,"12,067.68"
Barrow Borough Council,Voulez Vous - 2.4.16,Professional fees,13-Apr-2016,200029501,Thank ABBA For The Music Ltd,"4,488.00"
Barrow Borough Council,Dock museum,Electricity,27-Apr-2016,200029718,NPower,"2,009.67"
Barrow Borough Council,Emlyn Hughes house,Electricity,27-Apr-2016,200029718,NPower,809.54
Barrow Borough Council,General grants,Parish Council Tax Support Grant,20-Apr-2016,200029586,Dalton with Newton Town Council,"6,589.90"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,27-Apr-2016,200029724,AB Mitchell Developments,"3,449.45"
Barrow Borough Council,Barrow park,Grounds maintenance,20-Apr-2016,200029561,Morgans,500.00
Barrow Borough Council,Development control,Professional fees,20-Apr-2016,200029528,UDREP,"1,235.00"
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,20-Apr-2016,200029587,Redacted Information,"2,265.00"
Barrow Borough Council,Licensing,Professional fees,27-Apr-2016,200029722,DWF LLP,613.70
Barrow Borough Council,Universal Credit,Professional fees,13-Apr-2016,200029471,Barrow Citizens Advice Bureau,541.63
Barrow Borough Council,Cemeteries,Buildings repairs and maintenance,13-Apr-2016,200029493,Hughes Brothers,550.48
Barrow Borough Council,Tenant demand maintenance - HRA,Central overheads,27-Apr-2016,200029664,Hughes Brothers,"16,239.60"
Barrow Borough Council,Office support - admin,Photocopying charges,13-Apr-2016,200029467,Ricoh UK Ltd,"1,958.75"
Barrow Borough Council,Disabled Facilities Grant,Grants,13-Apr-2016,200029486,Dolphin Stairlifts Cumbria,"3,295.00"
Barrow Borough Council,Cost of collection,Professional fees,13-Apr-2016,200029483,Wilkin Chapman LLP,661.50
Barrow Borough Council,Voids maintenance - HRA,Void repairs,20-Apr-2016,200029658,Rexel UK Ltd,755.83
Barrow Borough Council,Street Lighting,Electricity,20-Apr-2016,200029523,NPower,"1,478.20"
