Department,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID,DFID,30/09/2015,Training - Course Fees ,Finance and Corporate Performance Division ,Kaplan Financial ,100008-104 ,£549.50,
DFID,DFID,30/09/2015,Training - Course Fees ,Finance and Corporate Performance Division ,Kaplan Financial ,100008-104 ,£549.50,
DFID,DFID,24/09/2015,Air fares ,Western Asia Division ,Corporate Travel Provider ,100011-110 ,£503.85,
DFID,DFID,14/09/2015,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,"£1,443.86",
DFID,DFID,14/09/2015,Air fares ,Western Asia Division ,Corporate Travel Provider ,100020-101 ,"£1,300.85",
DFID,DFID,18/09/2015,Secure Staff Accommodation ,Western Asia Division ,Foreign & Commonwealth Office ,100020-101 ,"£1,908.44",
DFID,DFID,14/09/2015,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-110 ,£604.87,
DFID,DFID,14/09/2015,Hotels - Accommodation only ,Policy Division ,Corporate Travel Provider ,100045-101 ,£536.90,
DFID,DFID,24/09/2015,Hotels - Accommodation only ,East and Central Africa ,Corporate Travel Provider ,100082-101 ,£566.71,
DFID,DFID,01/09/2015,Reproduction & Printing Materials ,Group Operations ,Banner Stationary Supplies,100106-101 ,£508.34,
DFID,DFID,30/09/2015,Reproduction & Printing Materials ,Group Operations ,Banner Stationary Supplies,100106-101 ,£508.32,
DFID,DFID,14/09/2015,Air fares ,Economic Development Division ,Corporate Travel Provider ,100111-101 ,£900.36,
DFID,DFID,14/09/2015,Air fares ,Economic Development Division ,Corporate Travel Provider ,100111-101 ,"£1,103.66",
DFID,DFID,24/09/2015,Air fares ,Economic Development Division ,Corporate Travel Provider ,100111-101 ,£674.86,
DFID,DFID,24/09/2015,Air fares ,Economic Development Division ,Corporate Travel Provider ,100111-101 ,£997.56,
DFID,DFID,24/09/2015,Air fares ,Economic Development Division ,Corporate Travel Provider ,100111-101 ,£901.36,
DFID,DFID,24/09/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£699.12,
DFID,DFID,24/09/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£565.00,
DFID,DFID,01/09/2015,Hotels - Accommodation only ,Internal Audit ,Travelodge,100121-101 ,£845.44,
DFID,DFID,01/09/2015,Hotels - Accommodation only ,Internal Audit ,IBIS Hotels,100121-101 ,£676.37,
DFID,DFID,14/09/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£639.08,
