QMCO - Cancelled Operations - Q3 2012-13,,,,,,,,,,
,,,,,,,,,,
Basis,Year,Period Name,SHA Code,SHA Name,Org Code,Org Name,Total theatres,Day case theatres,Cancelled operations,Breaches of standard
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,5QH,GLOUCESTERSHIRE PCT,1,1,0,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,NCR,ISIGHT,1,1,27,2
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,NHM,SUFFOLK COMMUNITY HEALTHCARE,1,1,0,0
PROV,2012-13,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,NNQ01,BRAINTREE COMMUNITY HOSPITAL,2,2,3,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,NT497,BMI GISBURNE PARK HOSPITAL,2,0,0,0
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,NTP16,WILL ADAMS NHS TREATMENT CENTRE,3,3,8,3
PROV,2012-13,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,NTP23,ECCLESHILL NHS TREATMENT CENTRE,3,3,5,1
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,NTP35,THE PHOENIX CENTRE,0,0,0,0
PROV,2012-13,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,NTPAE,THE CROFT SHIFA HEALTH CENTRE,1,1,41,2
PROV,2012-13,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,1,0,0,0
PROV,2012-13,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,6,2,36,6
PROV,2012-13,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,R1H,BARTS HEALTH NHS TRUST,53,9,267,2
PROV,2012-13,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,13,2,82,1
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RA3,WESTON AREA HEALTH NHS TRUST,6,2,10,0
PROV,2012-13,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,8,3,38,0
