Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129404,1000,LIONS CLUB OF PENRITH,LIO003,Communities Manager,2079,Grants and contributions,CONTRIBUTION MAY DAY,EDEVPR,Economic Development and Promotion,02009,Economic promotion
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129405,500,LIONS CLUB OF PENRITH,LIO003,Communities Manager,2042,Community engagement development,CONTRIBUTION PRINTING MAY DAY,COMDEV,Community Development & Engagement,01056,Consultation
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129406,2000,ALSTON TOWN HALL TRUSTEES,ALS003,Financial Services Manager,2079,Grants and contributions,ALSTON TH TRUSTEES VHG 2012/13,COMDEV,Community Development & Engagement,01129,Village Hall Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129458,791.29,AZTEX SOLUTION LTD,AZT002,Information Technology Manager,2061,Computer equipment,LCD MONITORS,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129462,940,WICKSTEED LEISURE LTD,WIC001,Engineering Manager,1080,GM External Contractors,MORLAND PLAY AREA,PARKOS,Parks and Open Spaces,02143,Play Areas
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129463,1963,WICKSTEED LEISURE LTD,WIC001,Engineering Manager,1080,GM External Contractors,BARROWMOOR ROAD PLAY AREA APPLEBY,PARKOS,Parks and Open Spaces,02143,Play Areas
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129495,5502,BORDERLOOS,BOR003,Environmental Services,1008,Toilet Provision,HIRE OF TOILET UNIT,APFAIR,Appleby Fair,03036,Appleby Fair
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129496,6548,CLICK NETHERFIELD LTD,CLI008,Communities Manager,2025,Museum exhibits,SHOWCASES,MUSEUM,Museum,02085,Temp Exhibitions
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129504,1785,WATERFORD TECHNOLOGIES LTD,WAT028,Information Technology Manager,2066,Software – purchase,MAILMETER ANNUAL SUPPORT 13/14,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129512,4305,IT BUS LIMITED,ITB001,Information Technology Manager,2067,Software – maintenance,MCAFEE TOTAL PROTECTION I YEAR GOLD,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129358,1103,BISHOPS PRINTERS LTD,BIS001,Communities Manager,2037,Printing and stationary,ALL ABOUT EDEN,COMMSV,Communications Services,01055,Council Magazine  was BV Perfce Plan
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129391,3335.85,PRINT IMAGE NETWORK LTD,PRI011,Financial Services Manager,6003,Balance Sheet entry BS,EDEN BALLOT BOOKS,HOLD A/C'S,Holding Accounts,10305,Cumbria CC Elections
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129394,4400,GARRIGILL VILLAGE HALL,GAR003,Communities Manager,6003,Balance Sheet entry BS,RIF/40%,COMDEV,Community Development & Engagement,10401,Rural Infrastructure Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129398,2800,C W COX & SONS (KENDAL)  LTD,COX001,Environmental Services,5505,Capital grants,FINAL P'MENT,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129399,5000,C & C TRADING,C&C001,Environmental Services,5524,Decent Homes Grants, NENTHEAD ALSTON,DIREGR,1996 Discretionary Renovation Grants,06034,1996 Discretionary Renovation Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129400,879.74,HANDICARE,FRE002,Environmental Services,5505,Capital grants, SHAP,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129403,17210.44,ENTERPRISE MANAGED SERVICES LTD,TFE001,Environmental Services,3100,Street Cleaning Contract,M-SC 14,APFAIR,Appleby Fair,03036,Appleby Fair
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129407,500,KIRKBY STEPHEN WALKERS ARE WELCOME,KIR043,Communities Manager,2079,Grants and contributions,GRANT FUNDING,TOUPRO,Tourism Promotion,02056,Eden Tourism
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129409,32245.6,ENTERPRISE MANAGED SERVICES LTD,TFE001,Engineering Manager,1089,GM INSPECTIONS & MAINTENANCE,M-GM 14,CLCHYD,Closed Church Yards,02246,War Memorials
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129464,902.1,UNITED UTILITIES WATER PLC,UNI024,Environmental Services,2045,Professional fees,FS/WT ANALYSIS APRIL 2013,OENHEA,Other Environmental Health,03040,Sampling Swimming Pools
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/06/2013,129468,15000,EDEN ARTS TRUST,EDE013,Communities Manager,2079,Grants and contributions,EDC GRANT13/14,ARTLEI,Arts and Leisure,02104,EAT -core accy funding
