Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,03/01/2012,Research (VAT rec),Knowledge Analysis & Intelligence,TNS-BMRB,5100084563,"£82,118.40",Fieldwork and reporting for a survey of customers’ experience of dealing with HMRC and the tax system.,W5 1UA,,,,
HMRC,HMRC,03/01/2012,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100084641,"£67,709.04",Monthly charges for service and maintenance of the HMRC fleet,P06 4RP,,,,
HMRC,HMRC,03/01/2012,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100084641,"£33,416.46",Monthly charges for service and maintenance of the HMRC fleet,P06 4RP,,,,
HMRC,HMRC,03/01/2012,Gov Bank Serv Charge,Finance & Internal Audit,RBSG Tier 1 Charges for NS&I,5100084647,"£140,831.56",Government Banking Service: Quarterly Bank Charges,EC2M 4XJ,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Borough of Telford & Wrekin,5100084667,"£61,067.00",A tax on business premises levied to finance local authorities.,TF3 4LP,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Salford City Council,5100084685,"£129,034.00",A tax on business premises levied to finance local authorities.,M27 5AW,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Salford City Council,5100084686,"£52,826.00",A tax on business premises levied to finance local authorities.,M27 5AW,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Birmingham City Council,5100084707,"£33,099.00",A tax on business premises levied to finance local authorities.,B4 7AB,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Bournemouth Borough Council,5100084717,"£31,239.00",A tax on business premises levied to finance local authorities.,BH2 6EB,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Bradford Council,5100084719,"£35,073.00",A tax on business premises levied to finance local authorities.,BD1 1HX,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Bradford Council,5100084720,"£54,558.00",A tax on business premises levied to finance local authorities.,BD1 1HX,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Bristol City Council,5100084734,"£32,908.00",A tax on business premises levied to finance local authorities.,BS99 1ZG,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Cardiff County Council,5100084738,"£90,308.00",A tax on business premises levied to finance local authorities.,CF10 3WD,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Sefton Mbc,5100084767,"£37,022.00",A tax on business premises levied to finance local authorities.,L20 3FD,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Sefton Mbc,5100084768,"£38,321.00",A tax on business premises levied to finance local authorities.,L20 3FD,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Sheffield City Council,5100084769,"£37,671.00",A tax on business premises levied to finance local authorities.,S1 1UY,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,City of  Westminster,5100084778,"£114,434.00",A tax on business premises levied to finance local authorities.,SW1E 6QY,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,City of  Westminster,5100084780,"£162,807.00",A tax on business premises levied to finance local authorities.,SW1E 6QY,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,City of  Westminster,5100084782,"£41,903.00",A tax on business premises levied to finance local authorities.,SW1E 6QY,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Coventry City Council,5100084785,"£52,826.00",A tax on business premises levied to finance local authorities.,CV1 5RR,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,South Lanarkshire Council,5100084794,"£93,095.00",A tax on business premises levied to finance local authorities.,ML3 0XJ,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,South Lanarkshire Council,5100084797,"£29,184.20",A tax on business premises levied to finance local authorities.,ML3 0XJ,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Southend Borough Council,5100084800,"£51,527.00",A tax on business premises levied to finance local authorities.,SS2 6AN,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Sunderland City Council,5100084821,"£74,043.00",A tax on business premises levied to finance local authorities.,SR5 9BJ,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Dundee City Council,5100084829,"£28,113.00",A tax on business premises levied to finance local authorities.,DD1 3YN,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Glasgow City Council,5100084838,"£36,805.00",A tax on business premises levied to finance local authorities.,G1 1JE,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Glasgow City Council,5100084839,"£30,310.00",A tax on business premises levied to finance local authorities.,G1 1JE,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Leicester City Council,5100084863,"£25,114.00",A tax on business premises levied to finance local authorities.,LE1 6HL,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Liverpool City Council,5100084870,"£48,063.00",A tax on business premises levied to finance local authorities.,L69 2DX,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Liverpool City Council,5100084871,"£25,547.00",A tax on business premises levied to finance local authorities.,L69 2DX,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Liverpool City Council,5100084872,"£33,558.00",A tax on business premises levied to finance local authorities.,L69 2DX,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Liverpool City Council,5100084873,"£103,920.00",A tax on business premises levied to finance local authorities.,L69 2DX,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,London Borough of Camden,5100084879,"£243,677.00",A tax on business premises levied to finance local authorities.,WC1H 8NH,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,West Lindsey District Council,5100084883,"£28,795.00",A tax on business premises levied to finance local authorities.,NG34 4GL,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,West Lothian Council,5100084888,"£39,165.00",A tax on business premises levied to finance local authorities.,EH48 1TT,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Manchester City Council,5100084903,"£51,094.00",A tax on business premises levied to finance local authorities.,M60 2JR,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Woking Borough  Council,5100084904,"£42,846.00",A tax on business premises levied to finance local authorities.,GU21 6YL,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Worthing Borough Council,5100084911,"£74,972.00",A tax on business premises levied to finance local authorities.,BN11 1JN,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Newcastle City Council,5100084918,"£337,307.00",A tax on business premises levied to finance local authorities.,NE99 1UP,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,North Lanarkshire Council,5100084932,"£64,734.00",A tax on business premises levied to finance local authorities.,ML1 1SH,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,City Of London,5100084943,"£81,346.00",A tax on business premises levied to finance local authorities.,EC2P 2EJ,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,City Of London,5100084944,"£50,727.00",A tax on business premises levied to finance local authorities.,EC2P 2EJ,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Leeds City Council,5100084950,"£37,888.00",A tax on business premises levied to finance local authorities.,LS2 8JR,,,,
HMRC,HMRC,03/01/2012,Business Rates,Estates & Support Services,Council Of The Borough,5100084953,"£29,661.00",A tax on business premises levied to finance local authorities.,NE27 9AF,,,,
