,Percentage of respondents satisfied with Ease of Contact 12 months to September 2014,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2014,Percentage of respondents satisfied with Ease of Contact 12 months to September 2013,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2013,Percentage of respondents satisfied with Ease of Contact 12 months to September 2012,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2012,Percentage of respondents satisfied with Ease of Contact 12 months to September 2011,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2011,Percentage of respondents satisfied with Actions 12 months to September 2014,Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2014,Percentage of respondents satisfied with Actions 12 months to September 2013,Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2013,Percentage of respondents satisfied with Actions 12 months to September 2012,Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2012,Percentage of respondents satisfied with Actions 12 months to September 2011,Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2011,Percentage of respondents satisfied with Follow up 12 months to September 2014,Confidence interval Percentage of respondents satisfied with Follow up 12 months to September 2014,Percentage of respondents satisfied with Follow up 12 months to September 2013,Confidence interval Percentage of respondents satisfied with Follow up 12 months to September 2013,Percentage of respondents satisfied with Follow up 12 months to September 2012,Confidence interval Percentage of respondents satisfied with Follow up 12 months to September 2012,Percentage of respondents satisfied with Follow up 12 months to September 2011,Confidence interval Percentage of respondents satisfied with Follow up 12 months to September 2011,Percentage of respondents satisfied with Treatment 12 months to September 2014,Confidence interval Percentage of respondents satisfied with Treatment 12 months to September 2014,Percentage of respondents satisfied with Treatment 12 months to September 2013,Confidence interval Percentage of respondents satisfied with Treatment 12 months to September 2013,Percentage of respondents satisfied with Treatment 12 months to September 2012,Confidence interval Percentage of respondents satisfied with Treatment 12 months to September 2012,Percentage of respondents satisfied with Treatment 12 months to September 2011,Confidence interval Percentage of respondents satisfied with Treatment 12 months to September 2011
England and Wales,95.33252814,0.14242621,95.64684534,0.142068899,95.09776075,0.151001702,95.04667182,0.148560479,82.42031708,0.203942775,82.49201683,0.20635121,81.43072452,0.210997809,81.06755263,0.204888719,76.84852135,0.227990765,76.83136922,0.231360761,74.87414722,0.237995366,74.14520423,0.23170843,93.88081062,0.129220924,93.666404,0.13281676,93.36075075,0.135972733,93.34946908,0.131446583
Avon and Somerset,96.52135059,0.852628029,96.89323524,0.765292828,96.33604002,0.808010477,96.36325199,0.792467731,82.58629191,1.344963587,82.76714675,1.310262741,81.05632604,1.282772909,82.54820117,1.173570275,82.22872798,1.343756147,82.94953738,1.31014376,80.82671633,1.320356848,82.46142629,1.204626218,93.87650777,0.874653842,94.96856712,0.783932565,94.75351923,0.741007479,95.81160749,0.62659712
Bedfordshire,88.86090753,0.898659917,87.62104713,0.91690857,89.30838427,1.445804719,91.52656511,1.461403147,75.77146394,0.298009213,76.60906792,0.281028692,74.04252079,1.61666348,74.51696198,1.643202978,76.13911586,0.304064101,70.82572373,0.257123266,65.50370311,1.786505044,65.57362483,1.843685053,93.43138022,0.085570267,91.2805336,0.080495176,91.72611258,0.982996477,92.96534621,0.955836371
Cambridgeshire,95.20738522,1.043745254,95.97722532,0.944319916,95.56097276,1.06256411,95.41253539,1.074926633,90.00919387,1.197336754,88.66041555,1.244789085,85.33845455,1.457802429,84.83242672,1.440844606,78.83220913,1.620953039,84.56570258,1.422823538,80.83343759,1.640978418,80.86410736,1.608813431,95.72297699,0.810754376,96.05763129,0.758185947,95.75574556,0.775500781,94.28358375,0.911597262
Cheshire,93.08930003,2.010677257,95.4249156,1.351618546,95.1199334,1.55413638,95.00734167,1.367653291,84.82407552,2.310841551,86.12726694,1.806991096,82.7346403,2.029130782,84.38937296,1.815930091,75.38663953,3.024865969,81.94178034,2.292533283,76.19600926,2.440767439,79.8861654,2.025691134,94.72848752,1.448693112,95.98906235,1.039916593,95.10697129,1.183696333,93.86166501,1.206883367
City of London,96.44522145,2.811090437,93.90463338,3.861496666,94.12831931,3.533920685,98.03921569,1.573473864,86.08527132,3.806064647,81.2716281,7.024844192,86.87526074,4.027870509,85.50287356,6.184895071,88.19121447,3.592143119,88.06509946,4.129031322,76.4869281,16.89452331,92.6961927,2.626166834,95.82375479,2.240896085,92.97924298,3.362925879,94.42829457,2.726356945,97.65151515,1.526599407
Cleveland,95.70023661,1.201022635,96.96870153,0.998713959,96.21010812,1.125226216,96.01078289,1.133640073,81.44751438,1.740040146,82.71030163,1.636676002,80.65003154,1.660210155,81.78020379,1.643233225,72.03875041,2.020001846,72.62525016,1.913589259,71.20872133,1.924631897,73.41743682,1.890639548,91.6748691,1.256152642,92.28271596,1.188068149,91.36045751,1.188409997,92.13806588,1.143007769
Cumbria,89.38279961,3.166145521,98.76302124,1.189707079,98.43549543,1.349523409,96.21092212,1.862206142,90.22782474,2.584127386,89.45519266,2.584840545,90.33341961,2.503008019,86.11539438,2.795010472,86.87500802,2.845914339,85.68878957,2.992103155,83.33039544,3.244113266,81.0526536,3.334388931,95.77890129,1.696494684,96.30607282,1.576352986,95.48052361,1.802905891,95.59293171,1.632349679
Derbyshire,94.40272014,1.249760615,95.1279274,1.053616023,93.84978884,1.254336424,95.4242952,1.328433014,80.80343475,1.702176326,83.74829756,1.59103146,81.8810986,1.749596678,82.21173781,1.772049157,76.82402329,1.827230007,80.31325449,1.708982185,80.52990538,1.812826807,79.01405034,1.89684282,94.2219204,1.012496118,95.3227121,0.915310215,94.94145433,1.006969539,94.53978651,1.062159891
Devon and Cornwall,94.68990744,1.174787961,94.44314352,1.171293752,95.6079488,1.038934985,95.43593,1.154767833,82.16558157,1.560627734,81.96029793,1.62055691,82.11964112,1.659059421,85.72575947,1.544119919,79.7664913,1.724105434,78.94708298,1.822437693,78.9144672,1.807052403,80.65777788,1.783884672,94.88277574,0.857801878,94.45702573,1.002090756,93.90972341,1.040263182,94.60904529,1.004519037
Dorset,94.26368799,1.23724852,95.05221751,1.162948486,94.58647902,1.13094317,95.39210607,1.146000725,81.41742977,1.494479569,79.20107451,1.589020277,80.46961561,1.493915027,80.43729832,1.60916757,73.25959099,1.732087534,69.25391093,1.841912452,69.31898601,1.767070071,68.30383183,1.946345077,93.08725161,0.997836776,93.03929045,1.01143693,92.58623452,0.999756875,92.9406248,1.074685458
Durham,96.9247494,1.282579716,98.72570265,0.707161533,98.36878414,0.912469382,95.23256244,1.419372704,90.70409339,1.636934075,88.11786484,1.604264391,86.4617862,1.910874145,85.14821082,1.743885788,85.49639457,1.98977659,84.48742476,1.804689904,77.74322553,2.322281876,75.03030339,2.113083393,96.53567858,1.022844091,96.9323139,0.870017533,93.38164305,1.397635791,93.16692525,1.248240314
Dyfed-Powys,96.3986653,1.643980358,94.22666881,2.866175797,94.83957746,2.358411013,96.23878537,1.761833051,93.10741788,1.997485111,84.77834934,3.886503488,85.67230186,3.068918072,80.02102363,3.055449829,82.63809068,3.19868566,80.87166026,4.341716394,82.72851492,3.354112194,78.08220869,3.235308353,96.40581232,1.575639003,91.84629547,2.943219022,96.21002643,1.737912352,93.35583164,1.879293361
Essex,93.73991672,1.355559168,94.15072602,1.292357532,93.15055315,1.324931359,94.34953531,1.313656508,82.51865202,1.579406774,83.38407823,1.569142841,83.9654019,1.460198058,84.91604014,1.489811796,77.14253894,1.790067309,76.18887193,1.839001174,74.71036756,1.742400948,75.05233708,1.75987309,91.70197822,1.169295101,93.3001537,1.076160983,93.08789479,1.035662481,93.17196688,1.101561731
Gloucestershire,92.45597854,1.533987855,93.16179028,1.505474025,93.22384293,1.503391671,93.03534823,1.396242983,80.16668872,1.779547158,78.48521301,1.815446411,80.58204221,1.720790804,77.42033708,1.758966754,71.95752608,2.008513668,69.61045787,2.018312117,70.06723799,1.99080913,67.81694452,1.980862318,93.19416008,1.196111889,92.06622973,1.252243135,91.73516135,1.233096093,91.14074471,1.20681013
Greater Manchester,94.21581801,0.636224743,94.43271206,0.690765765,94.94767485,0.644155238,94.92112143,0.66736247,78.24068703,0.928153761,79.85657811,0.97441475,80.03310289,0.934532465,78.55467188,0.936609896,76.70638749,0.958761191,76.6600414,1.032477666,77.74851593,0.976243999,75.36058662,0.99073265,93.169744,0.55558529,93.34864886,0.601133478,94.26521518,0.544994819,93.07460536,0.588335901
Gwent,93.85957393,1.214314067,92.73660609,1.527610845,95.37241191,1.430512231,95.10852633,1.26679756,75.96670643,1.665471439,76.15352172,1.849199782,80.83476917,1.766592625,78.59750853,1.726564622,65.16255125,1.871251665,67.95787212,2.047524771,67.55832855,2.118574708,66.10713645,2.052588693,90.69062456,1.154956301,91.17098301,1.24613496,90.69914153,1.335529262,91.7095502,1.185634486
Hampshire,96.42581432,0.687044326,95.43246046,0.728018669,94.66338838,0.738298171,94.45484146,0.682695948,84.48531424,1.015318905,83.06816246,0.997829962,78.35152675,1.049528897,78.81962519,0.903683418,78.64437857,1.172264407,77.8060387,1.124828569,70.84721412,1.173298624,69.92734629,1.034571483,94.0643029,0.655343526,93.88795176,0.625398691,92.33198706,0.669640911,92.49042247,0.57098548
Hertfordshire,97.60067435,0.793261138,97.03102868,0.824437368,96.09832141,1.012498791,93.71669393,1.414046206,86.53823756,1.417996106,84.65798291,1.429497033,84.32005504,1.495758076,84.44926547,1.614319574,80.92714499,1.627728104,79.4006796,1.60830654,77.422478,1.744371924,75.39844776,1.934508396,95.50198009,0.865589693,94.9412305,0.868663455,95.3802045,0.859440007,94.8435278,0.968658761
Humberside,96.50663249,0.973991893,96.17888179,0.88367145,95.72119564,0.971873911,95.6674932,0.898469435,79.28996893,1.707276255,78.87862357,1.453915148,80.95538406,1.417042805,76.91735153,1.394546433,73.51909408,1.873834226,74.27474872,1.581119237,72.14493262,1.637278383,72.0402775,1.496293713,94.61368578,0.956609972,93.9119115,0.847069815,94.35699938,0.8363288,93.23115595,0.83592664
