Unit,Merchant Name,Date Posted,Billing Amount,Description
DFT,WWW.FINANCIALMODELLING,09/08/2012,"£2,280.00",Training course for 1 person for 2 days
DFT,CIVIL SERVICE LEARNING,15/08/2012,£819.60,Vocational training course for 1 person for 3 days
DFT,CIVIL SERVICE LEARNING,13/08/2012,£790.80,Vocational training course for 1 person for 5 days
DFT,EXIMEDIA UK LTD,23/08/2012,"£1,000.00",Office supplies
DFT,EXIMEDIA UK LTD,23/08/2012,"£1,000.00",Office supplies
DFT,AMB TRAVEL,27/08/2012,£504.70,Vehicle hire
DFT,CIVIL SERVICE LEARNING,01/08/2012,£879.60,Training course for 1 staff member over 1.5 days.
DFT,EXPEDIA CO UK,21/08/2012,£688.04,Hotel accommodation for two members of staff over 2 nights
DFT,SX CO CRICKET CLUB,15/08/2012,£990.00,Staff training event for 26 people over 1 day
DFT,GOVNET COMMUNICATI,15/08/2012,£594.00,Training course for one staff member over 1 day
DFT,POSTURITE (UK) LTD,07/08/2012,"£1,174.75",Specialist Disability Furniture & Equipment (Chair & mouse)
DFT,POSTURITE (UK) LTD,10/08/2012,£829.82,Specialist Disability Furniture (Chair)
DFT,THE MANCHESTER COLLEGE,15/08/2012,£975.00,Staff Training 1x staff member - Distance Learning
DFT,POSTURITE (UK) LTD,17/08/2012,£853.58,Specialist Disability Furniture (Chair)
DFT,OSMOND GROUP LTD,21/08/2012,£938.83,"Specialist Disability Furniture & Equipment (Chair, mouse & keyboard)"
DFT,OSMOND GROUP LTD,23/08/2012,£945.90,Specialist Disability Furniture (Chair)
DFT,OSMOND GROUP LTD,27/08/2012,£813.60,Specialist Disability Furniture (Chair)
DFT,IMPERIAL COLLEGE-EVENT,22/08/2012,"£1,400.00",Training - NEBOSH National Certificate
DFT,E OF ENGLAND AMB,23/08/2012,£552.00,Qualified Accountants Training Event 7th/8th November for one person
DFT,KAPLAN FINANCIAL LTD,29/08/2012,"£1,245.25",Training course for one person for 10 days
DFT,KAPLAN FINANCIAL LTD,29/08/2012,"£1,126.25",Training course for one person for 7 days
DFT,OLSON ELECTRONICS LTD,01/08/2012,"£2,535.36",8 Power Distribution Units and equipment
DFT,OLSON ELECTRONICS LTD,15/08/2012,"£1,190.64",4 Power Distribution units and equipment
DFT,PAYPAL  HUBEVENTSLT,17/08/2012,£528.00,1 day training for course for staff member
DFT,WWW.PRINCE2TRAINING.CO,17/08/2012,£731.85,Project Managementt Training course for 1 staff member for 3 days 
DFT,GOVNET COMMUNICATI,27/08/2012,£510.00,1 day training for course for staff member
DFT,INCOME OFFICE (2),09/08/2012,"£1,200.00",Flight data recorder trail forensic equipment for sea wreckage retrieval
DFT,CITY UNIVERSITY,15/08/2012,"£3,000.00",Training course for one member of AAIB staff for a year
DFT,HELIAIR LTD,16/08/2012,£626.40,Pilot training to maintain specialism for one member of staff for a day
DFT,CONCENTRIX TECHNO,16/08/2012,"£1,350.00",IT Back up license renewal for a year
DFT,FEDERAL EXPRESS EUROPE,21/08/2012,£698.93,Duty and Tax for import Flight data recorder forensic goods
