Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NORTH TYNESIDE PCT (COMM),01/06/2012,HEALTHCARE - NHS TRUSTS,CENTRAL FINANCE,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,1000022082,"1,207,000.00",
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,RENT,CENTRAL FINANCE,KILLINGWORTH HEALTH CENTRE,1050,"25,698.92",
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,PREMISES - ACTUAL RENTS,PRIMARY CARE FINANCE,KILLINGWORTH HEALTH CENTRE,1050,642.48,
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,123210,"64,900.00",
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,123212,"162,180.00",
Department of Health,NORTH TYNESIDE PCT (COMM),19/06/2012,RATES,CENTRAL FINANCE,NORTH TYNESIDE COUNCIL,1476001503120 11 APR 12,"49,975.31",
Department of Health,NORTH TYNESIDE PCT (COMM),08/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,196299,"1,249,853.00",
Department of Health,NORTH TYNESIDE PCT (COMM),12/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,196496,"25,000.00",
Department of Health,NORTH TYNESIDE PCT (COMM),22/06/2012,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,BONDCARE NILERACE LTD,201339,"64,646.40",
Department of Health,NORTH TYNESIDE PCT (COMM),22/06/2012,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,BONDCARE NILERACE LTD,201340,"64,646.40",
Department of Health,NORTH TYNESIDE PCT (COMM),26/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,BONDCARE NILERACE LTD,201341,"140,925.20",
Department of Health,NORTH TYNESIDE PCT (COMM),26/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,BONDCARE NILERACE LTD,201342,"140,925.20",
Department of Health,NORTH TYNESIDE PCT (COMM),01/06/2012,IM&T - MAINTENANCE,CENTRAL FINANCE,EGTON MEDICAL INFORMATION SYSTEMS,217384,"50,520.16",
Department of Health,NORTH TYNESIDE PCT (COMM),01/06/2012,HEALTHCARE FROM INDEPENDENT SECTOR,CENTRAL FINANCE,RIVERSIDE HEALTHCARE LTD TA CHESWOLD PARK HOSPITAL,3030,"46,721.62",
Department of Health,NORTH TYNESIDE PCT (COMM),26/06/2012,HEALTHCARE FROM INDEPENDENT SECTOR,CENTRAL FINANCE,RIVERSIDE HEALTHCARE LTD TA CHESWOLD PARK HOSPITAL,3067,"51,940.80",
Department of Health,NORTH TYNESIDE PCT (COMM),26/06/2012,HEALTHCARE FROM INDEPENDENT SECTOR,CENTRAL FINANCE,RIVERSIDE HEALTHCARE LTD TA CHESWOLD PARK HOSPITAL,3078,"25,970.40"
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,34695,"463,671.00"
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,34696,"90,506.00"
Department of Health,NORTH TYNESIDE PCT (COMM),01/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,35100727,"102,498.00"
Department of Health,NORTH TYNESIDE PCT (COMM),08/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,35101821,"5,792,258.00"
Department of Health,NORTH TYNESIDE PCT (COMM),26/06/2012,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,CONNECT PHYSICAL HEALTH CENTRES LTD,35779,"27,528.75"
Department of Health,NORTH TYNESIDE PCT (COMM),01/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3943957,"28,445.66"
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3944421,"21,939.93"
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3944421,"4,963.15"
Department of Health,NORTH TYNESIDE PCT (COMM),01/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000316005,"128,613.00"
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,430022267,"37,882.80"
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,430022350,"3,405,148.17"
Department of Health,NORTH TYNESIDE PCT (COMM),15/06/2012,HEALTHCARE - FOUNDATION TRUSTS,CENTRAL FINANCE,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,439002033,"-28,158.00"
