Unique Reference Number,Transaction Date,Merchant Category Code Description,Location,Merchant Category Group Description,Amount,Supplier
FCOGPC2016010001,01/01/2016,AUTOMOBILE PARKING LOTS AND GARAGES,USA,General Retail and Wholesale,"1,054.40",SUTTER STOCKTON GARAGE
FCOGPC2016010002,02/01/2016,DEPARTMENT STORES,GBR,General Retail and Wholesale,904,WWW.JOHNLEWIS.COM
FCOGPC2016010003,03/01/2016,"ARCHITECTURAL, ENGINEERING, AND SURVEYING SERVICES",JOR,Professional Services,668.14,ENGINEERING DIMENSION
FCOGPC2016010004,03/01/2016,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",JOR,"Office Stationery, equipment and supplies",698.97,AMMAR ALZUQILI LIBRARY
FCOGPC2016010005,04/01/2016,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),NGA,Professional Services,526.91,FEMBS INVESTMENT LTD
FCOGPC2016010006,04/01/2016,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,CYP,Automotive Fuel,545.94,PETROLINA (HOLDINGS) P
FCOGPC2016010007,04/01/2016,"FREEZER, LOCKER MEAT PROVISIONERS",CAN,General Retail and Wholesale,590.51,SASLOVE'S MEAT MARKET
FCOGPC2016010008,04/01/2016,"FLORIST SUPPLIES,NURSERY STOCK & FLOWERS",USA,Estate and garden Services,625.4,IN DANISA'S FRESH FLO
FCOGPC2016010009,04/01/2016,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",ESP,"Office Stationery, equipment and supplies",639.68,BAETICA
FCOGPC2016010010,04/01/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",GBR,General Retail and Wholesale,692.76,DIPLOMATIC MISSION SUP
FCOGPC2016010011,04/01/2016,HOUSEHOLD APPLIANCE STORES,USA,General Retail and Wholesale,695.14,PC RICHARD AND SON
FCOGPC2016010012,04/01/2016,"GROCERY STORES, SUPERMARKETS",ZAF,General Retail and Wholesale,696.04,PNP HYPER FAERIE
FCOGPC2016010013,04/01/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,ECU,Training and Educational,699.63,BRITISH SCHOOL OF LANG
FCOGPC2016010014,04/01/2016,"ALTERATIONS, MENDING, SEAMSTRESSES, TAILORS",BGD,General Retail and Wholesale,719.18,CHOYONIKA TAILORS
FCOGPC2016010015,04/01/2016,DUTY FREE STORES,DNK,General Retail and Wholesale,746.66,PETER JUSTESEN COMPANY
FCOGPC2016010016,04/01/2016,CHILDREN'S AND INFANT'S WEAR STORES,ITA,General Retail and Wholesale,750.88,AD'L ABITI DA LAVORO
FCOGPC2016010017,04/01/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,769.99,CIVIL SERVICE LEARNING
FCOGPC2016010018,04/01/2016,MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES,URY,Miscellaneous Industrial/Commercial Supplies,788.7,CERRAJERIA ABELENDA HN
FCOGPC2016010019,04/01/2016,TRAVEL AGENCIES,ISR,Travel Agencies,889.57,TAXI
FCOGPC2016010020,04/01/2016,ADVERTISING SERVICES,LUX,Print and advertising,919.29,PAYPAL KAEINTERNAT
FCOGPC2016010021,04/01/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,GBR,Training and Educational,965,CAMBRIDGE PROFESSI
FCOGPC2016010022,04/01/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",BHR,Utilities and Non Automotive Fuel,995.69,OCEAN WATER & ICE FACT
FCOGPC2016010023,04/01/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,GBR,Training and Educational,"1,000",CAMBRIDGE PROFESSI
FCOGPC2016010024,04/01/2016,MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES,URY,Miscellaneous Industrial/Commercial Supplies,"1,034.65",CERRAJERIA ABELENDA HN
