,Number of farms in sample,Agriculture: Crop output (excluding subsidies) £ per Farm,Agriculture: Livestock output (excluding subsidies and payments to agriculture) £ per Farm,Agriculture: Subsidies and payments to agriculture £ per Farm,Agriculture: Miscellaneous output (including agricultural work done on other farms) £ per Farm,Agriculture: crop specific costs £ per Farm,Agriculture: livestock specific costs £ per Farm,Agriculture: Contract costs £ per Farm,Agriculture: Casual labour £ per Farm,Agriculture: Miscellaneous variable costs (including agricultural work done on other farms) £ per Farm,Agriculture: Regular labour £ per Farm,Agriculture: Machinery costs £ per Farm,Agriculture: Depreciation of glasshouses & permanent crops £ per Farm,Agriculture: General farming costs £ per Farm,Agriculture: Land and property costs £ per Farm,Agriculture: Miscellaneous fixed costs (including for work done on other farms) £ per Farm,Agriculture share of farm business income £ per Farm,Agri-environment and Other Payments: Total Output £ per Farm,Agri-environment and Other Payments: Variable costs £ per Farm,Agri-environment and Other Payments: Labour costs £ per Farm,Agri-environment and Other Payments: Machinery costs £ per Farm,Agri-environment and Other Payments: General farming costs (including share of interest) £ per Farm,Agri-environment and Other Payments: Land and property costs £ per Farm,Agri-environment share of farm business income £ per Farm,Diversification out of Agriculture: Total Output £ per Farm,Diversification out of Agriculture: Variable costs £ per Farm,Diversification out of Agriculture: Labour costs £ per Farm,Diversification out of Agriculture: Machinery costs and capital costs £ per Farm,Diversification out of Agriculture: General farming costs (including share of interest) £ per Farm,Diversification out of Agriculture: Land and property costs £ per Farm,Diversification out of Agriculture: Diversified share of farm business income £ per Farm,Single Payment Scheme: Total Output £ per Farm,Single Payment Scheme: Variable Costs £ per Farm,Single Payment Scheme: Fixed Costs £ per Farm,Single Payment Scheme: SPS share of farm business income £ per Farm,Farm Business: Total Output £ per Farm,Farm Business: Variable costs £ per Farm,Farm Business: Fixed costs £ per Farm,Farm Business: Profit/(loss) on sale of fixed assets £ per Farm
2012/13 Part-Time ,20,"60,300","1,100",0,"8,000","22,900",600,"7,100",900,3,"2,500","11,000",27,"6,100","3,600","2,200","12,600","2,500",97,100,60,88,96,"2,100","4,100",11,100,43,200,300,"3,400","12,200",2,700,"11,500","88,200","31,600","27,000",-2
2013/14 Part-Time ,20,"57,800","2,000",0,"8,700","27,200","1,400","7,300","1,300",10,"1,900","13,800",22,"6,600","5,400","2,600","1,200","3,300",300,81,47,800,200,"1,900","7,200",11,100,600,300,"1,900","4,300","13,800",8,"1,100","12,600","92,900","37,400","35,500",200
2012/13 Small ,29,"163,600","8,000",0,"3,800","56,100","5,000","11,600","1,900",48,"5,200","37,500",200,"17,700","15,100","2,200","23,600","3,700",100,3,13,400,200,"3,000","15,700",31,"2,600",800,"3,000","2,700","6,600","25,100",11,"1,800","23,200","219,800","74,900","89,300",800
2013/14 Small ,31,"171,200","3,700",0,"8,400","62,000","3,400","15,300","1,600",100,"9,300","38,100",900,"18,100","19,100","3,400","13,200","2,700",200,0,22,41,200,"2,200","14,700",17,"1,500",400,"2,500","2,500","7,800","25,700",16,"2,100","23,600","226,300","82,700","98,200","1,400"
2012/13 Medium,26,"274,600","18,500",39,"21,400","93,100","12,200","18,000","6,100",100,"16,700","57,300",200,"24,900","29,900","12,300","44,900","6,200",54,200,66,100,500,"5,300","20,900",19,"3,500",900,900,"2,400","13,100","35,300",8,"3,000","32,300","376,900","129,600","152,900","1,200"
2013/14 Medium ,19,"257,200","9,000",0,"18,800","94,600","7,600","19,900","5,600",16,"15,900","56,500",300,"25,200","25,600","11,600","24,000","5,700",77,200,63,100,300,"4,900","27,300",300,"3,000",700,600,"2,800","19,800","35,300",11,"2,400","32,900","353,200","128,100","145,300","1,900"
2012/13 Large ,87,"717,200","33,700",200,"49,100","248,800","17,400","38,500","36,900","1,600","96,700","132,900",-400,"58,000","64,600","36,300","71,800","15,400",300,200,300,500,"1,800","12,200","38,200",400,"3,000","1,500","3,200","5,300","24,800","68,400",27,"4,600","63,800","922,200","344,000","408,500","2,800"
2013/14 Large ,91,"676,800","40,300",200,"63,000","242,800","21,600","31,600","35,000","2,500","94,100","145,300",300,"57,000","73,300","42,700","34,600","15,500",200,700,500,300,"1,600","12,200","38,600",200,"4,600","2,400","2,900","7,000","21,500","70,600",9,"5,800","64,900","905,100","334,000","438,500",600
2012/13 All Sizes,162,"311,200","15,400",50,"20,600","107,900","8,700","19,100","12,100",500,"31,800","60,900",-27,"27,300","28,700","13,500","38,200","7,100",200,100,100,300,700,"5,700","20,000",100,"2,300",800,"2,000","2,800","12,000","35,700",13,"2,500","33,200","410,100","148,500","173,700","1,200"
2013/14 All Sizes,161,"287,100","14,000",64,"25,000","105,600","8,400","18,000","11,200",700,"31,100","62,600",400,"26,200","30,600","15,200","17,100","6,800",200,200,200,400,600,"5,300","20,900",100,"2,200","1,100","1,600","3,600","12,400","35,800",11,"2,800","32,900","389,700","144,200","178,700",900
Totals and percentages may differ due to rounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Too few observations in the sample to give reliable estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
