"Spend over �25,000 - Publication template",,,,,,,,,,,,,
,,,,,,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,VAT registration number,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,167603," 27,537.73 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,167644," 28,568.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),03/02/2011,Estates,Capital Project - Wath,C R Gibbs & Sons (Sheffield) Ltd,168076," 25,952.36 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/02/2011,Drug Services,PCT Wide,Rotherham GP Practice,168159," 65,834.79 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/02/2011,Health Services from Non NHS bodies,Healthcare,Bluebell Wood Children's Hospice,168260," 105,000.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),01/02/2011,Health Services from Non NHS bodies,Healthcare,Rotherham Mind,168263," 221,625.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),03/02/2011,Healthcare Contract,Primary Care RCHS,Wentworth North Primary Care Ltd,168761," 29,210.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),21/02/2011,Cont Care,Local Partnership,Metropolitan Borough of Rotherham,168781," 54,700.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/02/2011,Healthcare Contract,Hospital & Community Services,Sheffield Health & Social Care NHS Foundation Trust,168954," 41,508.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),09/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,169032," 47,147.50 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),07/02/2011,Alcohol Services,Hospital & Community Services,Lifeline Project Ltd,169146," 75,197.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),07/02/2011,Cont Care,Local Partnership,Metropolitan Borough of Rotherham,169330," 593,784.50 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Primary Care RCHS,Clinical Services Ltd,169985," 71,431.62 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Primary Care RCHS,Clinical Services Ltd,170227," 133,861.62 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Primary Care RCHS,Clinical Services Ltd,170227," 101,656.56 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Hospital & Community Services,Doncaster Primary Care Trust,170283," 43,872.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Drug Services,Hospital & Community Services,Rotherham Doncaster and South Humber Mental Health NHS FND Trust,170334," 40,475.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,170364," 33,026.04 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),14/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,170372," 40,000.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),21/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,171051," 94,828.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),21/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,171053," 105,395.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),21/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,171055," 180,000.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),21/02/2011,Healthcare Contract,Hospital & Community Services,The Rotherham NHS Foundation Trust,171057," 71,969.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),24/02/2011,Healthcare Contract,Hospital & Community Services,Barnsley Hospital NHS Foundation Trust,171069," 40,151.28 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),24/02/2011,Healthcare Contract,Hospital & Community Services,Sheffield Primary Care Trust,171151," 66,860.00 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),18/02/2011,Opthalmic,PCT Wide,"Vision Plus - College Street, Rotherham",171208," 49,627.62 ",,,,,,
NHS ROTHERHAM (PCT),NHS ROTHERHAM (PCT),23/02/2011,Cont Care,Local Partnership,Metropolitan Borough of Rotherham,171308," 45,477.60 ",,,,,,
