Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/02/2011,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003144062,"39,239.57"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/02/2011,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003144062,"6,866.92"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,28/02/2011,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003146061,"39,239.57"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,28/02/2011,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003146061,"7,847.91"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,28/02/2011,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,263258,"43,549.97"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/02/2011,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,12191/01,"25,028.08"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,28/02/2011,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,12292/02,"25,028.08"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,28/02/2011,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/2348832,"28,600.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"503,448.68"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"503,448.68"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"386,094.68"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"386,094.68"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"154,907.29"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"154,907.29"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"129,089.40"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"129,089.40"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"82,635.66"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"72,306.20"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"27,083.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"27,083.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"27,083.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"5,416.72"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,-0.01
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-4,739.63"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-5,416.72"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-27,083.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-27,083.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-27,083.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-82,635.66"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-129,089.40"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-154,907.29"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-386,094.68"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07005/CERT14,"-503,448.68"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07007/CERT5,"28,272.04"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07007/CERT5,"28,272.04"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07007/CERT5,"4,947.61"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07007/CERT5,"4,947.61"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07007/CERT5,"-4,947.61"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 07007/CERT5,"-28,272.04"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,347910,"34,565.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,347914,"30,981.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,347916,"34,498.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,MMM MEDICAL EQUIPMENT UK LTD,12417,"37,845.55"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,MMM MEDICAL EQUIPMENT UK LTD,12417,"7,803.21"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,MMM MEDICAL EQUIPMENT UK LTD,12417,"1,170.48"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,MMM MEDICAL EQUIPMENT UK LTD,12417,-234.1
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/02/2011,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,MMM MEDICAL EQUIPMENT UK LTD,12417,"-1,170.48"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/02/2011,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,800768,"64,926.70"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/02/2011,DRUGS,PHARMACY,NHS BUSINESS SERVICES AUTHORITY,PHS1000026426,"31,604.48"
