Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Prepymnts <1Yr-Other Payments,BALANCE SHEET,PINNACLE HEALTH PARTNERSHIP LLP,12839386,"17,563.02"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Welfare Foods,PRESCRIBING,PINNACLE HEALTH PARTNERSHIP LLP,12839386,"36,026.04"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CARE UK CLINICAL SERVICES LTD,12839664,"39,893.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,FHSPayables,BALANCE SHEET,WESSEX LOCAL MEDICAL COMMITTEE LTD,12844841,"49,979.65"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12909950,"424,750.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PORTSMOUTH HOSPITALS NHS TRUST,12909980,"386,239.58"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,External Consultancy Fees,NON RECURRENT PROGRAMMES,KPMG LLP,12916627,"145,146.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,"8,338.22"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,"38,873.66"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,"2,671.38"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,"2,551.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,"14,310.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,"3,624.84"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS NES Premium,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,"7,590.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,750
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,12935990,"67,484.23"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Non NHS Payables <1Yr,BALANCE SHEET,TICCS,12956998,"51,535.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Non NHS Payables <1Yr,BALANCE SHEET,ADRC SOUTHAMPTON LTD,12957320,"50,000.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Oth Pybls <1Yr-Other,BALANCE SHEET,ISLE OF WIGHT COUNCIL,12957698,"64,251.64"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,12963297,"8,236.06"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,12963297,"47,889.91"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,12963297,"1,594.54"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,12963297,"45,150.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS NES Premium,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,12963297,"5,040.83"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,12963297,"1,291.67"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS DES Case FindingPats Dem,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,12963297,"2,222.60"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,12963297,"80,998.24"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Income tax <1Yr,BALANCE SHEET,HMRC,13034959,"38,818.93"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,13034959,335
Department of Health,NHS Isle Of Wight CCG,30/06/2016,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,13034959,"27,060.64"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,13034959,"19,560.42"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,13034959,"-1,284.10"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT UNIT,13110492,"85,605.00"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,13122265,"89,147.24"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,Sterile Products,PRESCRIBING,AMCARE LTD,13122495,"40,490.95"
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,13135707,750
Department of Health,NHS Isle Of Wight CCG,30/06/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,13135707,"35,461.77"
