Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Sum of Amount,GL Code
,,,,,,,,
Department of Health,Black Country Partnership NHS Foundation Trust,03-09-2015,CONSULTANCY SERVS,Miscellaneous,KPMG LLP,0030068857,75357,6D3063N66599
Department of Health,Black Country Partnership NHS Foundation Trust,11-09-2015,AP DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,0010001812,52751.09,2T8005N58099
Department of Health,Black Country Partnership NHS Foundation Trust,18-09-2015,RECHARGES,Premises & fixed plant,DUDLEY & WALSALL NHS MENTAL,0010001810,34750,2V3065N68699
Department of Health,Black Country Partnership NHS Foundation Trust,22-09-2015,FACILITIES MANAGEMENT SERVICES,Premises & fixed plant,NORLAND MANAGED SERVICES LIMTED,0030070518,49580.14,7A0181N40799
Department of Health,Black Country Partnership NHS Foundation Trust,22-09-2015,ENG MAINT - EXT CONTRACTS,Premises & fixed plant,FAITHFUL & GOULD CONSTRUCTION EXPERTISE,0030071216,48361,7A0181N67599
Department of Health,Black Country Partnership NHS Foundation Trust,22-09-2015,TELEPHONE - RENTAL,Establishment,VIRGIN MEDIA BUSINESS,0030070745,30364.8,6D3075N84099
Department of Health,Black Country Partnership NHS Foundation Trust,22-09-2015,ADD-03-BDG-STEPDOWN LD LANGLEY,Buildings Excluding Dwellings-,INTEGRATED HEALTH PROJECTS,0030071412,242547.45,9ABSHAA23395
Department of Health,Black Country Partnership NHS Foundation Trust,22-09-2015,ADD-14-BDG-QUAYSIDE PROJECT,Buildings Excluding Dwellings-,OPENSPACE DESIGN AND BUILD LTD,0030070666,41160.84,9ABSQUA11695
Department of Health,Black Country Partnership NHS Foundation Trust,22-09-2015,VAT RECOVERABLE,VAT receivable,INTEGRATED HEALTH PROJECTS,0030071412,48509.49,9ABSA3A31095
Department of Health,Black Country Partnership NHS Foundation Trust,22-09-2015,PFI Interest Payable,Interest Payable,BLACK COUNTRY PPP HEALTH SERVICE,0030070593,42653.82,9ACEM1M12799
Department of Health,Black Country Partnership NHS Foundation Trust,24-09-2015,RESIDENTIAL HOME FEES,Purchase of Healthcare from No,NHS WOLVERHAMPTON CCG,0010001591,152000,7A8081N40099
Department of Health,Black Country Partnership NHS Foundation Trust,24-09-2015,PFI Interest Payable,Interest Payable,BLACK COUNTRY PPP HEALTH SERVICE,0030073673,42653.82,9ACEM1M12799
Department of Health,Black Country Partnership NHS Foundation Trust,24-09-2015,OUT OF AREA POND LANE INCOME,Income from Activities - Prima,NHS WOLVERHAMPTON CCG,0010001479,50400,9AINSLI20299
Department of Health,Black Country Partnership NHS Foundation Trust,24-09-2015,INCOME FROM FEES AND CHARGES,Miscellaneous,NHS WOLVERHAMPTON CCG,0010001628,100000,W10105N41399
