Entity,GL Date,Merchant name,Amount,Description
APHA,08/09/2016,Carmarthen Camera Centre,581.99,Replacement of camera required to photograph carcasses as evidence for legal cases.
APHA,13/09/2016,Enterprise,746.41,26 days' car hire for Animal Health Officer engaged on Project work in South West England.
DEFRA,08/06/2016,FINANCIAL TIMES,702,Annual subscription for News amd External Communications
KEW,02/09/2016,"LONDON  WC2X,  ",572.46,"Flight to Ethiopia to attend a project board meeting for my Ethiopian yam conservation project (Conservation of yams and yam biocultural knowledge in West & Southwest Ethiopia) using the Barclaycard.

The funds for the ticket are from my Ethiopian yam conservation project, which is 100% funded  by the Ernest Goodman Family Foundation.
"
KEW,07/09/2016,"HONOLULU, HI 96814",516.81, Cost of hotel accommodation in Hawaii whilst representing Kew attending the IUCN World Conservation Congress.
KEW,09/09/2016,"LONDON EC1V,  ",549,2. Proportion London – shop fittings purpose selected to improve shop floor capacity of fastest selling products 
KEW,13/09/2016,"INTERNET,  ",537.6,3. Shed – new outdoor shed for increased capacity of key volume products 
KEW,28/09/2016,"CIRENCESTER,  ",1683.6,1. Rapid racking – racking/shelving for stock room (previously minimal/none) Meaning capacity improvement and replenishment efficiency
VMD,01/09/2016,"THE RITZ-CARLTON, JAKARTA",640.09,4 nights hotel accommodation for one staff 
VMD,02/09/2016,MANAGEMENT FORUM,649,DELEGATE REGISTRATION - PHARMACOEPIDMIOLOGY
VMD,02/09/2016,AMAZON.CO.UK,746.79,8 SEATER GARDEN BENCH & TABLE (X4)
VMD,13/09/2016,TERRAPINN HOLDINGS LTD,1220.99,"DELEGATE REGISTRATION - WORLD VETERINARY VACCINE CONGRESS, OCTOBER 2016"
RPA,06/09/2016,GRAPHIC AD,2004,2 x screens for showcases (R313788)
RPA,06/09/2016,GRAPHIC AD,2004,2 x screens for showcases (R313788)
RPA,16/09/2016,YOUR ORDER  R313870,713.52,30 x webcams (R313870)
RPA,23/08/2016,WWW.UK.INSIGHT.COM,1365.89,Maintenance and support for ActivIdentity Activid Securelogin SSO
RPA,23/08/2016,Amazon UK Marketplace,657.89,10 x Fonerange 128 Rugged Mobile phone [NMT restock]
JNCC,02/09/2016,North Sea Open Science Conference,629.78,"North Sea Open Conference Interdisciplinary Science in Support of Marine Management, Ostend, Belgium 7-10 November Registration X 2 "
JNCC,09/09/2016,Park Inn by Radisson,1447.6,"Hundred and Eighth meeting of the Joint Nature Conservation Committee held on 22 September 2016 at Monkstone House, Peterborough.  Accommodation & breakfast for x 2 guests, x 3 staff, x 5 committee members. Dinner for x9 staff, x 13 committee members, x 2 guests on 21 September 2016"
JNCC,14/09/2016,Hewlett Packard Inc UK Limited,960,Hewlett Packard EliteBook 840 G3 Notebook 
JNCC,27/09/2016,Microsoft Store,1049,Microsoft Surface Pro 4 Laptop 256GB/Intel corei5
JNCC,28/09/2016,The Challenge of Science,1440,The challenge of Science and Leadership course x 2 staff members
JNCC,30/09/2016,"Underwater National Dive Centre
",714.78,Servicing of JNCC's  Dive equipment 
CEFAS,28/08/2016,TRAVEL REPUBLIC LTD,543.61,Accommodation for one person for five nights to attend a meeting for EU Data Collection Framework Regional Coordination Meeting North Atlantic in Lisbon
CEFAS,31/08/2016,AMERICAN AIRLINES,749.95,Return economy flight for one person from London to Charlotte to attend the 'Vibrio pathogenicity and monitoring tools: global perspectives' conference. Cost covered by the European Commission. 
CEFAS,31/08/2016,BRITISH A,968.35,Return economy plus flight for one person from London to Washington to attend the Vibrio vulnificus and trade discussions with the USA. Cost covered by the European Commission. 
CEFAS,01/09/2016,BRITISH A,1951.5,Return economy flight for two people from London to Singapore to attend aquaculture industry conference. 
CEFAS,02/09/2016,J B & H- FFAIR-CARENAG,1313.36,Customs clearance charges for shipping of equipment required to deliver science for the Commonwealth Marine Economies Programme. Cost recovered from Prosperity Fund project. 
CEFAS,02/09/2016,PSI.CZ,1778.08,Purchase of a fluorimeter used to measure photosynthesis in seaweed. Cost fully recovered from commercial contract. 
CEFAS,06/09/2016,THE SQUARE,1192.9,Accommodation for one person for seven nights to attend an International Council for the Exploration of the Sea working group on widely distributed stocks in Copenhagen. Cost covered by a Defra project. 
CEFAS,06/09/2016,LUCKFORD LEISURE,650,Accommodation for one person for 14 nights to attend River Frome Tagging survey. Costs covered by a Defra project. 
CEFAS,06/09/2016,THE SQUARE,1192.9,"Accommodation for one person for seven nights to attend an International Council for the Exploration of the Sea working group on widely distributed stocks, in Copenhagen. Cost covered by a Defra project. "
CEFAS,08/09/2016,12 DEGREES HOLDINGS LT,1010.21,Car hire for 15 days in Grenada to deliver science for the Commonwealth Marine Economies Programme. Cost recovered from Prosperity Fund project. 
CEFAS,08/09/2016,BRITISH A,615.29,Return economy flight for one person from Kuwait to London for Environmental Monitoring Information System of Kuwait project. Cost fully recovered from commercial contract. 
CEFAS,08/09/2016,BRITISH A,1269.7,Return economy flight for two people from Kuwait to London for Environmental Monitoring Information System of Kuwait project. Cost fully recovered from commercial contract. 
CEFAS,08/09/2016,MARITIM HOTELS,577.82,Accommodation for one person for five nights to attend the ECSA 56 - Coastal systems in transition Conference in Bremen 
CEFAS,08/09/2016,WWW.TRAVELUP.CO.UK,1030.61,Return flight for one person from London to Washington (economy) and Washington to London (economy plus) to attend the Vibrio vulnificus and trade discussions with the USA. Cost covered by the European Commission. 
