Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,ACM-Basingstk Intgratd LD Team,Management - Basic Pay,12.08.2011,2207667769,4871.44,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Basingstk Intgratd LD Team,Management - Basic Pay,12.08.2011,2207667806,4658.27,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Basingstoke OT Team,Staff Travel  Expenses - General,03.08.2011,2207647632,995.62,R,AMAS LTD (CLIENTS ACCOUNT)
Hampshire County Council,ADULT SERVICES,ACM-CMHT-Staffing Eastleigh,Payments to Health Authorities,04.08.2011,2207651084,5541.42,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-CMHT-Staffing Romsey,Payments to Health Authorities,04.08.2011,2207651136,2398.59,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-FareGosp Intgrated LD Team,Car Leasing Business Rentals,10.08.2011,2900013503,2399.76,R,ING CAR LEASE UK LTD
Hampshire County Council,ADULT SERVICES,ACM-FareGosp Intgrated LD Team,Management - Basic Pay,04.08.2011,2207651392,4568.39,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-FareGosp Intgrated LD Team,Management - Basic Pay,04.08.2011,2207651403,4762.92,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-HQ CIT,Rent - General,18.08.2011,2207677972,1125.00,R,FENWICK 2 LIMITED
Hampshire County Council,ADULT SERVICES,ACM-LD-Contingency,Management - Basic Pay,08.08.2011,2207654600,6303.97,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-LD-Contingency,Management - Basic Pay,08.08.2011,2207654658,4475.50,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Mental Health Team-Fareham,Payments to Health Authorities,02.08.2011,2207644195,5296.50,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Mental Health Team-H/P,Administrative Staff - Basic Pay,08.08.2011,2207655265,2059.50,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Mental Health Team-H/P,Payments to Health Authorities,08.08.2011,2207655256,9433.71,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Mental Health-Winchester,Payments to Health Authorities,04.08.2011,2207650685,4031.91,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Mental Health-Winchester,Payments to Health Authorities,04.08.2011,2207650691,5080.41,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Mental Health-Winchester,Payments to Health Authorities,04.08.2011,2207650694,3896.91,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-Mental Health-Winchester,Payments to Health Authorities,04.08.2011,2207651179,7018.86,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-MH-Crisis Resolution Team-New Forest,Payments to Health Authorities,04.08.2011,2207651462,15056.74,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-MH-Hewat House CMHT-F/G,Administrative Staff - Basic Pay,02.08.2011,2207644128,5344.41,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-MH-Hewat House CMHT-F/G,Care Managers - Basic,02.08.2011,2207644408,5761.30,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-MH-Hewat House CMHT-F/G,Payments to Health Authorities,02.08.2011,2207644501,6782.76,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-MH-Osborn Centre CMHT-Fareham,Care Managers - Basic,02.08.2011,2207645577,6757.35,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-NF East Integrated LD Team,Management - Basic Pay,12.08.2011,2207667760,4224.30,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-NF East Integrated LD Team,Management - Basic Pay,12.08.2011,2207667779,4494.32,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-BasSupport,Staff Travel  Expenses - General,03.08.2011,2207647632,2787.75,R,AMAS LTD (CLIENTS ACCOUNT)
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-DeaneSupp,Staff Travel  Expenses - General,03.08.2011,2207647632,2389.50,R,AMAS LTD (CLIENTS ACCOUNT)
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-Eastleigh North Combined,Payments to Health Authorities,12.08.2011,2207669084,1898.25,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-EHCombinedS,Car Leasing Business Rentals,10.08.2011,2900013502,870.00,R,ING CAR LEASE UK LTD
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-HartCombined,Staff Travel  Expenses - General,31.08.2011,2207692471,1032.43,R,RUSHMOOR BOROUGH COUNCIL
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-Havant East Locality Team,Car Leasing Business Rentals,10.08.2011,2900013525,796.40,R,ING CAR LEASE UK LTD
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-Havant East Locality Team,Car Leasing Business Rentals,04.08.2011,2900013484,830.00,R,LOMBARD VEHICLE MANAGEMENT LTD
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-NF West Combined,Car Leasing Business Rentals,04.08.2011,2900013485,1799.82,R,LOMBARD VEHICLE MANAGEMENT LTD
Hampshire County Council,ADULT SERVICES,ACM-OP/PD-RushCombined,Staff Travel  Expenses - General,31.08.2011,2207692471,847.30,R,RUSHMOOR BOROUGH COUNCIL
Hampshire County Council,ADULT SERVICES,ACM-OP-QA Hospital,Car Leasing Business Rentals,10.08.2011,2900013518,1599.84,R,ING CAR LEASE UK LTD
Hampshire County Council,ADULT SERVICES,ACM-OP-SGHospital,Agency Staff - Basic Pay,08.08.2011,2207654544,824.88,R,MANPOWER UK LTD
Hampshire County Council,ADULT SERVICES,ACM-OP-SGHospital,Agency Staff - Basic Pay,16.08.2011,2207673696,738.96,R,MANPOWER UK LTD
