"Table B: Bilateral and multilateral results by sector (DFID Results framework, Operational Plan and Multilateral results)",,,,,,,,
Sector: Health,,,,,,,,
BILATERAL RESULTS,,,,,,,,
DFID Results Framework Indicators,,,,,,,,
Country/Region,Indicator,Indicator type **,Results achieved up to 2011-12 inclusive,Results achieved  up to 2012-13 inclusive,,,,
All,Number of insecticide-treated bed nets distributed with DFID support,Cumulative,"12,630,000","22,390,000",,,,
,Number of malaria specific deaths per 1000 persons per year,Modelled,N/A,N/A,,,,
,"Number of births delivered with the help of nurses, midwives or doctors through DFID support",Cumulative,"1,140,000","1,630,000",,,,
,Number of additional women using modern methods of family planning through DFID support*****,Variable,"3,250,000","4,810,000",,,,
,Number of maternal lives saved through DFID support,Modelled,"6,000","6,000",,,,
,Number of neonatal lives saved through DFID support,Modelled,"16,000","16,000",,,,
Operational Plan Indicators,,,,,,,,
Country/Region,Indicator *,Indicator type **,Results achieved (in 2011/12) ***,Results achieved (in 2012/13),,,,
Africa Regional,"• Number of unsafe abortions averted
• Ratio of consumer prices (public) of selected essential medicines in Southern African Development Community (SADC) against international standards","Cumulative
Final Year","80,000
0","220,000
2.7",,,,
DRC,"• Number of insecticide treated bed nets distributed (number of people reached)
• Number of births delivered with the help of nurses, midwives or doctors",,"..

..","..

..",,,,
Ethiopia,"• Number of births delivered with  the help of nurses, midwives or doctors through DFID funding (A)",Cumulative,"120,000",-,,,,
Ghana,"• Number of family planning users accessing family planning through DFID support
• Number of bed nets distributed with DFID support","Cumulative

Cumulative"," 340,000

2,350,000 ","80,000

2,000,000",,,,
Kenya,"• Additional number of births delivered with the help of nurses, midwives or doctors.",,-,-,,,,
Liberia,"• Maternal Mortality Ratio
• Infant mortality ratio",Standard,"..
..","..
..",,,,
Malawi,"• Number of births delivered with the help of nurses, midwives or doctors through DFID support
• Number of additional women using modern methods of family planning through DFID support","Cumulative

Cumulative","..

..","..

..",,,,
Mozambique,"• Number of births delivered with the help of nurses, midwives or doctors
• Number of pregnant women receiving anti-malarial drugs","Cumulative

Cumulative","30,000

4,000","..

10,000",,,,
Nigeria,"• Number of births delivered with skilled health personnel in targeted  sites in Northern Nigeria over Operational Plan period
• Number of insecticide treated malaria nets distributed with DFID support.","Cumulative

Cumulative","70,000

730,000","110,000

1,770,000",,,,
Rwanda,"• Number of births delivered with skilled health personnel through DFID funding 
• Number of bednets distributed with DFID support ",,"20,000

30,000","..

..",,,,
Sierra Leone,"• Maternal Mortality Ratio
• % and number of births delivered by skilled health personnel ","
Cumulative","..
30,000","..
60,000",,,,
Somalia,"• Number of female contraceptive users (aged 15-49 years old) for birth spacing each year
• Number of births delivered with the help of nurses, midwives or doctors with DFID support each year ",,"..

..","..

..",,,,
Southern Africa ****,"• Maternal Mortality Ratio (N) 
• Ratio of consumer prices (public) of selected essential medicines in SADC against  international standard prices ®","Final Year Ratio
Final Year","..
..","..
2.7",,,,
South Sudan,"• People reached with one or more malaria prevention or treatment intervention 
• Couple years of family planning Protection delivered
• People reached with life-saving health and nutrition support [Humanitarian result is an end of year snapshot, data on health based on service provision so people reached with one service are counted separately when in receipt of another service]",,"60,000

695
2,640,000","170,000

4,000
..",,,,
Tanzania,"• Contraceptive provision for Tanzanian women, giving them a choice over pregnancy (measured by Couple Years of Protection provided)
• Number of insecticide treated bednets distributed with DFID support","Cumulative

Cumulative","380,000

1,110,000","500,000

400,000",,,,
Uganda,"• Number of women using modern contraception (total - national) 
• Number of births attended by a skilled attendant (annual - national) ","Final Year
Cumulative","130,000
20,000","260,000
30,000",,,,
Zambia,"• Number of pregnant women and children under 5 sleeping under an insecticide treated bed net
• Number of additional women using modern methods of family planning through DFID support","Final Year

Final Year","380000

..","380,000

20,000",,,,
Zimbabwe,"• Maternal Mortality Ratio
• Couple Years of Protection delivered through DFID funding",,"..
590,000","..
..",,,,
Asia Regional,• Number of maternal deaths averted,,"2,000","1,000",,,,
Bangladesh,• Number of births attended by skilled personnel,Cumulative,"90,000","120,000",,,,
Burma,"• Number of unintended pregnancies averted through DFID funding
• Number of women and men who receive appropriate treatment to contain the spread of drug resistant malaria through DFID funding",,"..
180, 000","80,000
200,000",,,,
India,"• Number of births delivered with the help of nurses, midwives or doctors",Cumulative,"190,000","70,000",,,,
Nepal,• Additional number of unwanted pregnancies averted through DFID funding,Cumulative,"3,000",0,,,,
Vietnam,"• Percentage of female sex workers in project provinces reporting condom use with their clients (DFID share 56%)
• Proportion of injecting drug users using clean needles (DFID share 60%)
• (Cambodia) Percentage of births delivered by trained health personnel in health facility (DFID share 53%)",,"88%

86%

44%","85%

83%

72%",,,,
Pakistan,"• Number of additional births delivered with the help of nurses, midwives or doctors through DFID support (cumulative)",,0,0,,,,
OPTs,• Percentage (and number attributable to DFID support) of pregnant women attending at least four antenatal care visits at UNRWA health clinics.,,..,86%,,,,
,,,,,,,,
Footnotes ,,,,,,,,
"* These results relate to the headline priorities for our operational, regional and country programmes, as set out in the Department’s Operational",,,,,,,,
" Plans for each programme, first published in 2011. They are specific to the operational context to which they relate, and draw on the most ",,,,,,,,
"appropriate project, country, or regional level data for each indicator. As such, while Operational Plan indicators from different programmes may",,,,,,,,
"appear to report the same information, it may not be possible to combine results due to differences in the data and calculation methodologies.",,,,,,,,
** Cumulative indicators take the sum of the results achieved across the various years to measureperformance. Peak year indicators measure,,,,,,,,
performance by taking the maximum result achieved across all years; this is a prudent way to measure the number of unique individuals reached.,,,,,,,,
*** Key to data symbols: '-' = nil results,,,,,,,,
,"          '0' = results between 0-499, so round to 0 when rounding to the nearest 1000 is applied",,,,,,,
,          '..' = no results available yet,,,,,,,
,          'n/a' = not applicable,,,,,,,
**** Indicators labelled (N) refer to programmes within South Africa; indicators labelled (R) refer to southern Africa regional programmes.,,,,,,,,
***** Results achieved  through both bilateral and multilateral channels,,,,,,,,
MULTILATERAL RESULTS,,,,,,,,
Organisation,Indicator1,Latest Reporting Period,Latest Result2,Previous Result,Previous Reporting Period,DFID's contribution as a % of total core funding 3,,
GFATM 4,Number of HIV positive women provided with treatment to prevent transmission to their babies ,2012,"400,000","300,000",2011,12,,
GFATM 45,Number of insecticide treated bednets distributed ,2012,"80,000,000","70,000,000",2011,12,,
GFATM 4,Number of people provided with treatment for AIDS ,2012,"900,000","300,000",2011,12,,
GFATM 4,Number of tuberculosis cases detected and treated,2012,"1,100,000","900,000",2011,12,,
IDA 4,"People provided with a basic package of health, nutrition or population services ",average FY 2010- 2012,"19,000,000","13,000,000",average FY 2008-2010,11,,
UNFPA ,Number of female condoms procured ,2012,"17,459,000","6,207,000",2011,7,,
UNICEF 6,Number of vitamin A treatments procured,2012,"506,000,000","574,000,000",2011,4,,
UNITAID,Children benefitting from child-friendly HIV/ AIDS medicines ,2011,"65,000","350,000",2007-2010,22,,
UNITAID,Children supplied with tuberculosis treatments,2011,"183,600","915,000",2007-2010,22,,
GAVI 14,Number of children immunised against preventable disease ,2012,"46,000,000","37,300,000",2011,20,,
IDA 4,Number of children immunised ,average FY 2010- 2012,"135,000,000","85,000,000",average FY 2008-2010,11,,
,,,,,,,,
Footnotes ,,,,,,,,
"1. Sources for all indicators can be found at the back of the Annual Report, [Annex XX]",,,,,,,,
2. Where results are reported to the nearest million they have been presented in this way; otherwise results have been rounded down to nearest thousand. ,,,,,,,,
"3. The DFID burden share presented here are not suitable to calculate a DFID results attribution of multilateral results.  The results presented in this table are achieved through all funding streams that the multilateral receive, not just limited to core funding. ",,,,,,,,
4. Result delivered through multilaterals and its partners. ,,,,,,,,
"5. GFATM does not engage in direct procurement activities; instead these are managed under the full responsibility of grant recipients. However, GFATM provides mechanisms to promote and cost-effective procurement of health products.",,,,,,,,
