Entity,GL Date,Merchant name,Amount,Description
Defra,29/08/2014,DEFRA FOSSE HOUSE        YORK         ,£514.74,Chief Water Inspectors annual report launch - 45 external board level and day to day water company attendees - 21 July 2014
Defra,14/08/2014,LEXISNEXIS UK            LONDON       ,£681.31,Stones Justice Manual and CD-ROM 2013 set
RPA,20/08/2014,NET SECURITY TRAINING,£516.00,Certified Information Security Manager exam resit 
RPA,05/08/2014,DOLPHIN COMPUTER ACCESS,"£1,188.00",Two Dolphin Supernova Reader and Magnifier software licences
RPA,13/08/2014,SOFTWARE BOX LTD,£557.97,Three Camtasia licences - video editing for customer communications team
CCW,04/08/2014,ECLIPSE NETWORKING LIM   0148260282,£804.54,Monthly Broadband Charges for Network Connections - July-August 2014
VMD,08/08/2014,Target Conferences Ltd,£808.30,Registration and Accommodation for one person attending the Seventh International Conference on Antimicrobial Agents in Veterinary Medicine - Berlin 16-19 September 2014.
AHVLA,11/08/2014,WWW.FPMAILING.CO.UK      INTERNET     ,£524.00,Top up Chelmsford Franking Machine - August 2014
AHVLA,11/08/2014,WWW.NEOPOST.CO.UK        0845 8800000 ,£515.00,Top up Bury Franking Machine - August 2014
AHVLA,11/08/2014,WWW.NEOPOST.CO.UK        0845 8800000 ,"£1,030.00",Top up Truro Franking Machine - August 2014
AHVLA,11/08/2014,WWW.NEOPOST.CO.UK        0845 8800000 ,£800.00,Top up Preston Franking Machine - August 2014
AHVLA,11/08/2014,UK MAIL                  SLOUGH       ,£512.42,Transportation of Samples
AHVLA,11/08/2014,FRANCOTYP                DARTFORD     ,£524.00,Top up Newcastle Franking Machine - August 2014
AHVLA,13/08/2014,Amazon  Mktplce EU-UK    AMAZON.CO.UK ,£728.82,Nine Garmin Global Positioning System units for new Senior Veterinary Inspectors in the South West
AHVLA,04/08/2014,ENTERPRISE               01784 221300 ,£830.65,Car hire for field work - 1-31 July 2014 
AHVLA,04/08/2014,ENTERPRISE               01784 221300 ,£740.88,Car hire for field work - 1-31 July 2014 
AHVLA,04/08/2014,ENTERPRISE               01784 221300 ,£740.88,Car hire for field work - 1-31 July 2014 
AHVLA,04/08/2014,ENTERPRISE               01784 221300 ,£733.82,Car hire for field work - 1-31 July 2014 
AHVLA,04/08/2014,ENTERPRISE               01784 221300 ,£740.88,Car hire for field work - 1-31 July 2014 
AHVLA,04/08/2014,ENTERPRISE               01784 221300 ,£740.88,Car hire for field work - 1-31 July 2014 
FERA,10/06/2014,Solid Stuff Ltd,£913.92,Research and preparation for the Seed Task Force Meeting for the Public Engagement Team
FERA,10/07/2014,Digital Photo Solutions Ltd,£505.19,Five colour printer cartridges for the large format printer used for printing science posters and graphics
FERA,10/07/2014,NOVOTEL SOUTHAMPTON,"£1,280.00","Accommodation for eight people for one night to attend the  British Mass Spectrometry Society (BMSS) Conference in Southampton - 8 July 2014. Funded project, cost will be reimbursed."
FERA,10/07/2014,Threadgold farms,"£3,330.20","Bayer Tunnel Residue studies - Use of land for field trial sampling, and two weeks mobile home rental - 2 May-4 July 2014 and 20 June-4 July 2014 respectively - Funded project, cost will be reimbursed"
FERA,14/07/2014,Mega Fortris(UK) Limited,"£2,162.70","25 Dragon Seals (Tamper Proof Security Tags) for the Inspectors to use for high-security applications and transportation - funded project, cost will be reimbursed"
FERA,14/07/2014,Mega Fortris Uk Ltd,"£3,885.66","Cable security seals for use by the Inspectors - funded project, cost will be reimbursed"
FERA,14/07/2014,Plastor Ltd,£968.90,"96 stacking ventilated containers for the locating of samples in the walk-in freezers - funded project, cost will be reimbursed"
FERA,15/07/2014,WWW.PMGLTD.CO.UK,£693.60,Registration of one person to attend Unlocking the Benefits of Open Data in the Public Sector conference in London - 14 October 2014
FERA,16/07/2014,TALTechnologies,£957.70,"Ten software licences for a Winwedge Standard 3 Scanner for use in the laboratories at York, to directly capture weights and integrate them into a computer database without manual input"
FERA,16/07/2014,EB *CRISIS MANAGEMENT,£660.00,"Registration of two people attending a Crisis Management Conference in London, for the launch of the British Standard for Crisis Management by the UK Cabinet Office and British Standards Institute - 18 September 2014"
FERA,16/07/2014,NYS Travel Ltd,"£1,619.47","Return flights for one person from Leeds/Bradford to Maputo, Mozambique to undertake the Coconut Lethal Yellow Disease Study - 3-14 August 2014 - funded project, cost will be reimbursed"
FERA,17/07/2014,Croft Selections(R.Mould),"£1,230.00","30 Danish queen bees for the National Bee Unit - funded project, cost will be reimbursed"
FERA,17/07/2014,NYS CORPORATE,£901.93,"Return flights for one person from London Heathrow to Miami, USA to attend the Association of Official Agricultural Chemists (AOAC) annual meeting and Thermo Scientific conference - 6-10 and 11-16 September 2014 respectively - funded project, cost will be reimbursed"
FERA,23/07/2014,bioquote,£516.00,"48 DNA extraction kits and 25 separation tips for crop and food security - funded project, cost will be reimbursed"
