Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2013,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000204825,70.65
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2013,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000204826,10.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2013,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000204826,190.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000204937,181.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2013,STAFF EVENTS,CHIEF EXECUTIVE,FACILITIES - FOOD,THE HOSTESS,0000204411,2243.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2013,FARES - PUBLIC TRANSPORT,CHIEF EXECUTIVE,TRAVEL&EVENTS-TAXI,COMPANY BARCLAYCARD,0000204814,10.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2013,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000204814,42.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2013,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000204914,14.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/10/2013,24 HOUR SUBSISTENCE ALLOWANCE,CHIEF EXECUTIVE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000204922,4.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,HOTEL ACCOMMODATION,CHIEF EXECUTIVE,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000204937,87.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,FARES - AIR,CHIEF EXECUTIVE,TRAVEL&EVENTS-AIR,REDFERN TRAVEL LTD,0000204938,218.19
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000204938,748.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/10/2013,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000204972,56.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/09/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,TRAVEL&EVENTS-EVENT ORGNSTN,SOUTH TYNESIDE COUNCIL,0000204163,60.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000204383,235.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000204384,958.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,PROF SER LRNG&DEV-STAFF TRNING,BRAND VISTA LIMITED,0000204407,4836.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2013,24 HOUR SUBSISTENCE ALLOWANCE,CORPORATE AFFAIRS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000204748,68.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2013,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000204748,10.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000204866,431.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,HOTEL ACCOMMODATION,CORPORATE AFFAIRS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000204937,186.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2013,FARES - RAIL,CORPORATE AFFAIRS,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000204938,184.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2013,PUBLIC RELATIONS,CORPORATE AFFAIRS,PROF SER LRNG&DEV-STAFF TRNING,203097 - BRAND VISTA,34001310,1903.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000204508,691.13
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000204509,679.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000204510,407.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/10/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000204715,623.15
