Dept. Family,Entity,Date,Expense Type,Dept. Family,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Bath & North East Somerset,11/11/2010,CQUIN,INTERMEDIATE CARE & COMM DIREC,WEST WILTS-SLA,WILTSHIRE PRIMARY CARE TRUST,189722,"7,599.18"
Department of Health,NHS Bath & North East Somerset,11/11/2010,WWPCT PBR,INTERMEDIATE CARE & COMM DIREC,WEST WILTS-SLA,WILTSHIRE PRIMARY CARE TRUST,189722,"506,612.24"
Department of Health,NHS Bath & North East Somerset,23/11/2010,PMS,Out of Hours Service,Out of Hours Service,WILTSHIRE PRIMARY CARE TRUST,190103,"117,000.00"
Department of Health,NHS Bath & North East Somerset,16/11/2010,FP10'S,LEARNING DIS-PSYCHIATRY,LDS-MEDICAL,PRESCRIPTION PRICING AUTHORITY,189626,272.09
Department of Health,NHS Bath & North East Somerset,16/11/2010,FP10'S,OLDER PEOPLE-INT CARE & COMM,COMMISSIONING BUDGETS,PRESCRIPTION PRICING AUTHORITY,189626,"2,237.08"
Department of Health,NHS Bath & North East Somerset,16/11/2010,FP10'S,PAULTON HOSPITAL,PAULTON MEDICAL OUTPATIENTS,PRESCRIPTION PRICING AUTHORITY,189626,655.95
Department of Health,NHS Bath & North East Somerset,16/11/2010,FP10'S,CHILD HEALTH-MEDICAL,CHILD HEALTH MEDICAL,PRESCRIPTION PRICING AUTHORITY,189626,"27,721.55"
Department of Health,NHS Bath & North East Somerset,16/11/2010,FP10'S,ST MARTINS NURSING,ST.MARTIN'S NURSING WARD 1,PRESCRIPTION PRICING AUTHORITY,189626,29.46
Department of Health,NHS Bath & North East Somerset,30/11/2010,FP10'S,LEARNING DIS-PSYCHIATRY,LDS-MEDICAL,PRESCRIPTION PRICING AUTHORITY,190491,297.72
Department of Health,NHS Bath & North East Somerset,30/11/2010,FP10'S,OLDER PEOPLE-INT CARE & COMM,COMMISSIONING BUDGETS,PRESCRIPTION PRICING AUTHORITY,190491,"3,440.43"
Department of Health,NHS Bath & North East Somerset,30/11/2010,FP10'S,PAULTON HOSPITAL,NURSING MAIN WARD PAULTON,PRESCRIPTION PRICING AUTHORITY,190491,3.59
Department of Health,NHS Bath & North East Somerset,30/11/2010,FP10'S,PAULTON HOSPITAL,PAULTON MEDICAL OUTPATIENTS,PRESCRIPTION PRICING AUTHORITY,190491,799.73
Department of Health,NHS Bath & North East Somerset,30/11/2010,FP10'S,CHILD HEALTH-MEDICAL,CHILD HEALTH MEDICAL,PRESCRIPTION PRICING AUTHORITY,190491,"29,229.68"
Department of Health,NHS Bath & North East Somerset,30/11/2010,FP10'S,C A S H,ADULT HEALTH - CLINICS,PRESCRIPTION PRICING AUTHORITY,190491,56.2
Department of Health,NHS Bath & North East Somerset,11/11/2010,RESERVES-NICE DEVELOPMENTS,INTERMEDIATE CARE & COMM DIREC,RUH-SLA.,ROYAL UNITED HOSPITAL NHS TRST,189723,"177,167.00"
Department of Health,NHS Bath & North East Somerset,11/11/2010,RUH PBR,INTERMEDIATE CARE & COMM DIREC,RUH-SLA.,ROYAL UNITED HOSPITAL NHS TRST,189723,"5,711,044.00"
Department of Health,NHS Bath & North East Somerset,11/11/2010,CQUIN,INTERMEDIATE CARE & COMM DIREC,RUH-SLA.,ROYAL UNITED HOSPITAL NHS TRST,189723,"44,568.00"
Department of Health,NHS Bath & North East Somerset,02/11/2010,Pay recharged from other NHS,PUBLIC HEALTH DIRECTORATE,UNIT SUPPORT,DEPARTMENT OF HEALTH,189159,"31,572.22"
Department of Health,NHS Bath & North East Somerset,02/11/2010,ROYAL CORNWALL,INTERMEDIATE CARE & COMM DIREC,NON COSTED ACTIVITY-ECR,ROYAL CORNWALL HOSPITALS,188989,"26,404.55"
Department of Health,NHS Bath & North East Somerset,11/11/2010,NBT PBR,INTERMEDIATE CARE & COMM DIREC,NBT-SLA,NORTH BRISTOL NHS TRUST,189716,"390,313.00"
Department of Health,NHS Bath & North East Somerset,11/11/2010,CQUIN,INTERMEDIATE CARE & COMM DIREC,NBT-SLA,NORTH BRISTOL NHS TRUST,189716,"2,987.00"
