"Table 2. Total UK Net ODA: by Delivery Channel (Bilateral, Multilateral)1",,,,,,,,,,,,,,,,
"2009, 2012 and 2013",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,£ million
,,,2009,,,2012,,,2013,,,Change since 2009,,,Change since 2012,
,,,£m,% total ODA,,£m,% total ODA,,£m,% total ODA,,£m,%,,£m,%
,,,,,,,,,,,,,,,,
Total Bilateral ODA ,,,"4,804",65.80%,,"5,560",63.20%,,"6,745",58.80%,,"1,940",40.40%,,"1,185",21.30%
of which:,bilateral through multilateral,,"1,602",21.90%,,"1,879",21.30%,,"2,336",20.40%,,734,45.80%,,457,24.30%
,,,,,,,,,,,,,,,,
Total Multilateral ODA ,,,"2,497",34.20%,,"3,242",36.80%,,"4,717",41.20%,,"2,220",88.90%,,"1,475",45.50%
,,,,,,,,,,,,,,,,
TOTAL ODA,,,"7,301",100.00%,,"8,802",100.00%,,"11,462",100.00%,,"4,161",57.00%,,"2,660",30.20%
,,,,,,,,,,,,,,,,
1. Figures may not sum to totals due to roundings.,,,,,,,,,,,,,,,,
