CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,981,79.0%,261,21.0%
P01-Avon&Somerset,30,96.8%,1,3.2%
P02-Bedfordshire,17,94.4%,1,5.6%
P03-Cambridgeshire,9,100.0%,0,0.0%
P04-Cheshire,12,75.0%,4,25.0%
P06-Cleveland,9,90.0%,1,10.0%
P07-Cumbria,7,100.0%,0,0.0%
P08-Derbyshire,19,90.5%,2,9.5%
P09-Devon&Cornwall,9,81.8%,2,18.2%
P10-Dorset,1,100.0%,0,0.0%
P11-Durham,5,71.4%,2,28.6%
P12-DyfedPowys,0,0,0,0
P13-Essex,11,73.3%,4,26.7%
P14-Gloucestershire,0,0,0,0
P15-GreaterManchester,85,87.6%,12,12.4%
P16-Gwent,2,100.0%,0,0.0%
P17-Hampshire,13,92.9%,1,7.1%
P18-Hertfordshire,10,90.9%,1,9.1%
P19-Humberside,4,80.0%,1,20.0%
P20-Kent,15,88.2%,2,11.8%
P21-Lancashire,11,61.1%,7,38.9%
P22-Leicestershire,8,44.4%,10,55.6%
P23-Lincolnshire,3,100.0%,0,0.0%
P24-Merseyside,17,73.9%,6,26.1%
P25-Metropolitan&City,347,75.6%,112,24.4%
P26-Norfolk,6,85.7%,1,14.3%
P27-Northamptonshire,12,70.6%,5,29.4%
P28-Northumbria,29,93.5%,2,6.5%
P29-NorthWales,4,100.0%,0,0.0%
P30-NorthYorkshire,5,100.0%,0,0.0%
P31-Nottinghamshire,18,58.1%,13,41.9%
P32-SouthWales,27,77.1%,8,22.9%
P33-SouthYorkshire,11,78.6%,3,21.4%
P34-Staffordshire,16,88.9%,2,11.1%
P35-Suffolk,4,100.0%,0,0.0%
P36-Surrey,7,53.8%,6,46.2%
P37-Sussex,19,76.0%,6,24.0%
P38-ThamesValley,36,80.0%,9,20.0%
P39-Warwickshire,9,100.0%,0,0.0%
P40-WestMercia,4,80.0%,1,20.0%
P41-WestMidlands,67,72.0%,26,28.0%
P42-WestYorkshire,62,87.3%,9,12.7%
P43-Wiltshire,1,50.0%,1,50.0%
