Department Family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount in sterling £s
NHS,Gloucestershire PCT,02/07/2010,Healthcare - NHS Foundatiion Trusts,Dehosted Services,Royal Devon and Exeter NHS Foun Trust,198185,"29,992.94 "
NHS,Gloucestershire PCT,06/07/2010,Services From Local Authorities,Adult Pool Treatment budget,Gloucestershire County Council,198439,"60,000.00 "
NHS,Gloucestershire PCT,06/07/2010,Commercial Sector,Weight Management,University of Gloucestershire,198596,"63,000.00 "
NHS,Gloucestershire PCT,06/07/2010,Voluntary Sector,Winstons Wish,Winston's Wish,198410,"75,000.00 "
NHS,Gloucestershire PCT,06/07/2010,External Consultancy Fees,Programme Management,PricewaterhouseCoopers LLP,198599,"86,322.55 "
NHS,Gloucestershire PCT,09/07/2010,Fees - Structural Engineers,Capital Project Control,J & S Seddon (Painting) Limited,199182,"62,793.79 "
NHS,Gloucestershire PCT,09/07/2010,Drugs,HIV,90205 Glos Hospitals NHS Foundation Trust,198790,"83,299.92 "
NHS,Gloucestershire PCT,09/07/2010,Fees - Structural Engineers,Capital Project Control,Barnwood Construction Limited,199242,"87,333.34 "
NHS,Gloucestershire PCT,09/07/2010,Voluntary Sector,Adult Pool Treatment budget,Independence Trust,198907,Redacted
NHS,Gloucestershire PCT,13/07/2010,Commercial Sector,Tetbury,Tetbury Hospital Trust Limited,199325,Redacted
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Foundatiion Trusts,Sth Warwickshire Gen.Hospitals NHST,HA93804 South Warwickshire NHS F Trust,199637,"33,435.08 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Trusts,Worcestershire Acute Hospitals NHS Trust,Worcestershire Acute Hospital NHS,199639,"43,718.00 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Trusts,Hereford Hospitals NHST,HA95059 Hereford Hospitals NHS Trust,199633,"44,482.44 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - PCTs,Herefordshire PCT,HA81407 Herefordshire Primary Care Trust,199634,"51,805.50 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Trusts,Great Western Ambulance Service NHS Trust,HA91844 Great Western Amb Services NHS Trust,199629,"127,991.00 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Trusts,Oxford Radcliffe Hospitals NHST,HA95417 Oxford Radcliffe Hospitals NHS Trust,199636,"163,527.00 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Trusts,Great Western Ambulance Service NHS Trust,HA91844 Great Western Amb Services NHS Trust,199630,"318,850.00 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Foundatiion Trusts,Great Western Hospitals NHS Foundation Trust,HA95727 Great Western Hosp NHS Found. Trust,199632,"406,632.00 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Foundatiion Trusts,University Hospitals Bristol NHS Foundation Trust,HA90825 Uni Hosp Bristol NHS Foundation Trust,199638,"561,916.00 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Trusts,North Bristol NHST,HA91729 North Bristol NHS Trust,199635,"881,038.00 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - PCTs,S.W. Specialised Commissioning Group (Bristol PCT),HA83814 Bristol PCT,199627,"901,785.00 "
NHS,Gloucestershire PCT,14/07/2010,Healthcare - NHS Foundatiion Trusts,2Gether NHS Foundation Trust,HA90180 2gether NHS Foundation Trust,199625,"1,196,902.00 "
