CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,5596,93.7%,374,6.3%
P01-Avon&Somerset,165,95.4%,8,4.6%
P02-Bedfordshire,53,93.0%,4,7.0%
P03-Cambridgeshire,47,95.9%,2,4.1%
P04-Cheshire,69,90.8%,7,9.2%
P06-Cleveland,103,91.2%,10,8.8%
P07-Cumbria,68,98.6%,1,1.4%
P08-Derbyshire,82,92.1%,7,7.9%
P09-Devon&Cornwall,150,92.0%,13,8.0%
P10-Dorset,51,94.4%,3,5.6%
P11-Durham,37,100.0%,0,0.0%
P12-DyfedPowys,69,95.8%,3,4.2%
P13-Essex,120,98.4%,2,1.6%
P14-Gloucestershire,61,93.8%,4,6.2%
P15-GreaterManchester,335,91.5%,31,8.5%
P16-Gwent,55,98.2%,1,1.8%
P17-Hampshire,161,96.4%,6,3.6%
P18-Hertfordshire,74,97.4%,2,2.6%
P19-Humberside,92,95.8%,4,4.2%
P20-Kent,113,92.6%,9,7.4%
P21-Lancashire,141,95.9%,6,4.1%
P22-Leicestershire,40,97.6%,1,2.4%
P23-Lincolnshire,32,94.1%,2,5.9%
P24-Merseyside,352,92.4%,29,7.6%
P25-Metropolitan&City,1268,93.0%,96,7.0%
P26-Norfolk,53,96.4%,2,3.6%
P27-Northamptonshire,38,97.4%,1,2.6%
P28-Northumbria,175,94.1%,11,5.9%
P29-NorthWales,51,100.0%,0,0.0%
P30-NorthYorkshire,58,95.1%,3,4.9%
P31-Nottinghamshire,128,99.2%,1,0.8%
P32-SouthWales,223,94.9%,12,5.1%
P33-SouthYorkshire,120,93.8%,8,6.3%
P34-Staffordshire,59,90.8%,6,9.2%
P35-Suffolk,56,98.2%,1,1.8%
P36-Surrey,54,91.5%,5,8.5%
P37-Sussex,100,92.6%,8,7.4%
P38-ThamesValley,147,94.8%,8,5.2%
P39-Warwickshire,10,90.9%,1,9.1%
P40-WestMercia,73,98.6%,1,1.4%
P41-WestMidlands,254,94.8%,14,5.2%
P42-WestYorkshire,225,85.9%,37,14.1%
P43-Wiltshire,34,89.5%,4,10.5%
