RFI ,Summary,Status,Outcome,Refusal Reason(s)
7503,1) Unredacted copy of Shale Gas Rural Economy Imapcts. 2) Impacts of shale gas exploration in Nottinghamshire on council planners; local environment/ SSSI (Mission site); local house prices 3) borehole/ pipeline security 4)Defra Climate Change policy.,Closed,No Information Provided,"S35 - Formulation of Government policy, S40 - Personal information"
7479,Harrison Grant Solicitors have requested the correspondence which Defra has had with EC and the redacted sections of the Ministerial Submission which was attached to the Defendant's Summary Grounds of Resistance.,Closed,No Information Provided,"12 (5)(b) - Course of justice, fair trial, conduct of criminal or disciplinary enquiry , Reg 12(3) personal data"
7478,A list showing how much each LLFA was allocated under the grant system for providing technical advice on surface water drainage proposals advice.,Closed,All Information Provided,
7476,Waste Electrical and Electronic Equipment (WEEE)policy,Closed,All Information Provided,
7452,"Correspondence and records of meetings between the CEOs of named companies (Cuadrilla, INEOS, Igas, Third Energy, Celtique Energie, UKOOG)and their representatives and Defra Ministers from 01/06/14 to date.",Closed,Closed - Advice and assistance case,
7451,"request for correspondence, through Defra's eTendering Portal",Closed,Information Partially Provided,"S40 - Personal information, S42 - Legal professional privilege, S43 - Commercial interests"
7450,"Any emails in the inboxes of ministers private offices containing words: embarrassing, compromising, compromised or breech.",Closed,No Information Provided,S14(1) - Vexatious
7449,copies of all the responses to the consultation on GHG emissions (11th May 2011) as featured in this URLhttps://www.gov.uk/government/uploads/system/uploads/attachment_data/file/86569/20120620-ghg-consult-sumresp.pdf.,Closed,Information Partially Provided,"Reg 12(3) personal data, 12 (5)(e) - Commercial confidentiality , 12 (5)(f) - Protect interests of info provider"
7448,copies of ALL of the responses to the consultation. Source URL: https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/86569/20120620-ghg-consult-sumresp.pdf,Closed,Information Partially Provided,"12 (5)(e) - Commercial confidentiality , 12 (5)(f) - Protect interests of info provider, Reg 12(3) personal data"
7443,"The number of briefings Owen Paterson received off his Chief Scientific Advisor on climate change from October 2013 until July 2014, and the number of briefings that Liz Truss has received off her Chief Scientific Advisors on climate change from July 2014",Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7440,Unredacted copy of Shale Gas Rural Economy Impacts Report.,Closed,No Information Provided,S35 - Formulation of Government policy
7438,"student, University of York, conducting a research dissertation paper on biodiversity offsetting in the UK,enquire whether it would be possible to have access to the consultation responses to the “Biodiversity Offsetting in England Green Paper""",Closed,All Information Provided,
