Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier postcode,Supplier Type,Contract,Project Code,Expenditure
HMRC,HMRC,02/04/2012,Research (VAT rec),Business Customer Unit,The Futures Company,5100114736,"£46,368.00",Develop concepts test for hidden economy research,SE1 2QY,,,,
HMRC,HMRC,02/04/2012,Research (VAT rec),Knowledge Analysis & Intelligence,Market & Opinion Research Int,5100114738,"£29,040.00",Fieldwork and fieldwork materials in research on managing communication to aid Tax Credit customers’ transition to Universal Credit,SE1 1FY,,,,
HMRC,HMRC,03/04/2012,Samplng & Analytical,Specialist Investigations (SI),L G C Ltd,5100000316,"£99,448.80",Forensic Services,TW11 0LY,,,,
HMRC,HMRC,03/04/2012,Computer servers,Information Management Services,Specialist Computer Ctr,5100000353,"£708,670.22",600 x Fujitsu TX120 S3 LIS Servers purchased through Specialist Computer Centres,B11 2LE,,,,
HMRC,HMRC,03/04/2012,IT Config Services,Information Management Services,Specialist Computer Ctr,5100000353,"£3,780.00",600 x Fujitsu Storage charges for TX120 S3 LIS Servers purchased through Specialist Computer Centres,B11 2LE,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Dover District Council,5100000397,"£136,255.00",A tax on business premises levied to finance local authorities.,CT16 3PJ,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Newcastle City Council,5100000398,"£37,327.00",A tax on business premises levied to finance local authorities.,NE99 1UP,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Spelthorne Borough Council,5100000399,"£114,911.32",A tax on business premises levied to finance local authorities.,TW18 1UY,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Spelthorne Borough Council,5100000399,"£5,428.88",A tax on business premises levied to finance local authorities.,TW18 1UY,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Borough of Poole,5100000400,"£44,655.00",A tax on business premises levied to finance local authorities.,BH15 2YE,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Leeds City Council,5100000402,"£235,870.00",A tax on business premises levied to finance local authorities.,LS2 8JR,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Colchester Borough Council,5100000404,"£31,973.58",A tax on business premises levied to finance local authorities.,CO1 1FP,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Colchester Borough Council,5100000404,"£13,826.42",A tax on business premises levied to finance local authorities.,CO1 1FP,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Salford City Council,5100000405,"£558,760.00",A tax on business premises levied to finance local authorities.,M27 5AW,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,London Borough of Hillingdon,5100000406,"£133,840.00",A tax on business premises levied to finance local authorities.,UB8 1UW,,,,
HMRC,HMRC,03/04/2012,Business Rates,Estates & Support Services,Reading Borough Council,5100000407,"£99,386.00",A tax on business premises levied to finance local authorities.,RG1 7TD
HMRC,HMRC,03/04/2012,Court Fees,Debt Management & Banking,The Insolvency Service,5100000418,"£199,795.00",Court Fees,B2 4UP
HMRC,HMRC,03/04/2012,Research (VAT rec),Knowledge Analysis & Intelligence,IFF Research Ltd,5100000435,"£42,000.00",Survey of the impact of HMRC policy and operations on large businesses over time.,N1 6DD
HMRC,HMRC,03/04/2012,Research (VAT rec),Knowledge Analysis & Intelligence,IFF Research Ltd,5100000438,"£36,000.00",Survey of  large businesses’ experience of HMRC’s service provisions over time,N1 6DD
HMRC,HMRC,04/04/2012,Business Rates,Estates & Support Services,Blackburn and Darwen B C,5100000462,"£53,334.62",A tax on business premises levied to finance local authorities.,BB1 1WB
HMRC,HMRC,04/04/2012,Business Rates,Estates & Support Services,Blackburn and Darwen B C,5100000462,"£2,083.38",A tax on business premises levied to finance local authorities.,BB1 1WB
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000521,"£25,281.31",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle insurance,Commercial Directorate,Inchcape Fleet Solutions,5100000521,£370.00,Approved expenditure to register HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000643,"£32,138.40",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Non-IMS IT for CSR,People Function,World Careers Network Plc,5100000675,"£63,225.60",Service charge for use of the WCN recruitment system,SW19 8DR
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000681,"£27,487.50",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle insurance,Commercial Directorate,Inchcape Fleet Solutions,5100000681,£320.00,Approved expenditure to register HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000688,"£25,258.06",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle insurance,Commercial Directorate,Inchcape Fleet Solutions,5100000688,£320.00,Approved expenditure to register HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000745,"£32,433.20",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000746,"£28,165.20",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle insurance,Commercial Directorate,Inchcape Fleet Solutions,5100000746,£220.00,Approved expenditure to register HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000757,"£25,041.89",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle insurance,Commercial Directorate,Inchcape Fleet Solutions,5100000757,£185.00,Approved expenditure to register HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000759,"£25,339.74",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle insurance,Commercial Directorate,Inchcape Fleet Solutions,5100000759,£185.00,Approved expenditure to register HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Automobiles or cars,Commercial Directorate,Inchcape Fleet Solutions,5100000762,"£26,007.89",Approved capital expenditure to replace HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle insurance,Commercial Directorate,Inchcape Fleet Solutions,5100000762,£185.00,Approved expenditure to register HMRC vehicles,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle servicing ma,Criminal Investigations,Inchcape Fleet Solutions,5100000819,"£87,006.11",Vehicle Fleet Costs,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle leasing,Criminal Investigations,Inchcape Fleet Solutions,5100000819,"£35,342.24",Vehicle Fleet Costs,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle leasing,Criminal Investigations,Inchcape Fleet Solutions,5100000819,"£31,721.67",Vehicle Fleet Costs,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle leasing,Criminal Investigations,Inchcape Fleet Solutions,5100000819,"£19,385.24",Vehicle Fleet Costs,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle servicing ma,Criminal Investigations,Inchcape Fleet Solutions,5100000819,"£15,548.35",Vehicle Fleet Costs,P06 4RP
HMRC,HMRC,04/04/2012,Vehicle servicing ma,Criminal Investigations,Inchcape Fleet Solutions,5100000819,"£10,311.61",Vehicle Fleet Costs,P06 4RP
