Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,02/06/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106204117,Test contractor CD blanket order,SL6 1DP,"3,625.20",
Communities & Local Government,PINS,03/06/2014,Courier Services,Estates,ROYAL MAIL,,Large,,5106204154,Royal Mail Costs 29/5/14 ,S49 1HQ,"1,541.88",
Communities & Local Government,PINS,03/06/2014,Courier Services,Wales Director,ROYAL MAIL,,Large,,5106204156,Royal Mail Costs (Cymru),S49 1HQ,429.95,
Communities & Local Government,PINS,03/06/2014,Mobile phone costs,ICT Business Partner,ORANGE (AIRTIME/LINE RENTAL),,Large,,5106204160,a/c 72632785 service charges Apr 2014,S98 1DX,739.16,
Communities & Local Government,PINS,03/06/2014,Travel and Subsistence Account,Inspector Costs,OTS BACS VENDOR,,Not assigned,,2100020554,Inspector,,567.50,
Communities & Local Government,PINS,04/06/2014,Courier Services,Estates,CITY LINK,,Large,,5106204197,City Link Charges 3/6/14 ,CV3 4PA,"2,886.18",
Communities & Local Government,PINS,04/06/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106204182,C8543X - HP 43X Black Carts,NG11 7EP,170.88,
Communities & Local Government,PINS,04/06/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106204182,CC364XD - HP 64X Black Carts 2 Pk,NG11 7EP,416.17,
Communities & Local Government,PINS,04/06/2014,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106204182,CN045AE - HP 8600 Black Carts,NG11 7EP,"1,089.00",
Communities & Local Government,PINS,04/06/2014,Steady State Service Provision,Human Resources,CGI IT UK LIMITED,,Large,,5106204171,CGI 2014/15,CF31 9AP,"3,608.42",
Communities & Local Government,PINS,04/06/2014,Training,Human Resources,BEAMANS MANAGEMENT CONSULTANTS LTD,,Small,,5106204173,JEGS Training,WD18 1RH,730.00,
Communities & Local Government,PINS,05/06/2014,Advertising,Common Land,TMP (UK) LIMITED,,Large,,5106204195,Statutory Advertising - Common Land,W1T 7RQ,375.54,
Communities & Local Government,PINS,05/06/2014,Agency Staff,ICT Business Partner,CAPITA RESOURCING LTD,,Large,,5106204200,Services of a Web Developer for 119 days,SL6 1DP,"2,226.00",
Communities & Local Government,PINS,05/06/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106204211,SQL DBA contractor  blanket order,SL6 1DP,"1,962.00",
Communities & Local Government,PINS,05/06/2014,Agency Staff,ICT Application Support,CAPITA RESOURCING LTD,,Large,,5106204213,Dev contractor (rollout) ,SL6 1DP,"4,006.80",
Communities & Local Government,PINS,05/06/2014,IT - Software Maintenance,ICT Application Support,FABASOFT LTD,,Large,,5106204236,Fabasoft - Premier Support Annual fee,EC4M 7BA,"51,600.00",
Communities & Local Government,PINS,05/06/2014,IT - Software Maintenance,ICT Business Partner,INGERSOL RAND SECURITY TECHNOLOGIES,,Data Not Provided,,5106204183,Maintenance Agreement,WS1 4DL,"15,791.48",
Communities & Local Government,PINS,05/06/2014,Training,Strategy & Communications,CAPITA BUSINESS SERVICES LTD,,Large,,5106204118,Coaching for Management Board - Via CSL,SW1H 0XA,"32,830.00",
