Department Family ,Entity, Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Distribution Line Number
DCMS,ODA,03-Oct-2011,Legal - Contract Negotiations,Javelin Project Development & Infrastructure Works,DLA Piper UK LLP,55804,33800.00,1
DCMS,ODA,03-Oct-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,DLA Piper UK LLP,55804,6760.00,2
DCMS,ODA,03-Oct-2011,Supervisor,North Park Project Supervisor - Capita Symonds,Capita Symonds Limited,61306,37814.94,1
DCMS,ODA,03-Oct-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Capita Symonds Limited,61306,7562.99,2
DCMS,ODA,03-Oct-2011,Other Professional Fees,Travel Demand Management,Colin Buchanan & Partners Ltd,61589,25655.09,1
DCMS,ODA,03-Oct-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Colin Buchanan & Partners Ltd,61589,5131.02,2
DCMS,ODA,03-Oct-2011,Events,External Relations,Mosimann's Ltd,62038,22055.00,1
DCMS,ODA,03-Oct-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mosimann's Ltd,62038,4411.00,2
DCMS,ODA,03-Oct-2011,Audit Fees - External,Finance,National Audit Office,62187,220000.00,1
DCMS,ODA,03-Oct-2011,Surveyor,H & V Control,Mason Land Surveys Ltd,62204,54152.49,1
DCMS,ODA,03-Oct-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mason Land Surveys Ltd,62204,10830.50,2
DCMS,ODA,03-Oct-2011,Legal - Planning (Authority),Development Control,Pinsent Masons LLP,62236,29866.04,1
DCMS,ODA,03-Oct-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Pinsent Masons LLP,62236,5973.21,2
DCMS,ODA,03-Oct-2011,Project Manager,Lea Valley Bi-directional Signalling Platform Extensions,Network Rail Infrastructure,62237,400000.00,1
DCMS,ODA,03-Oct-2011,Delivery partner CLM,Programme Management & Integration,CLM Delivery Partner Ltd,62244,254611.46,1
DCMS,ODA,03-Oct-2011,Delivery partner CLM,Programme Management & Integration,CLM Delivery Partner Ltd,62244,-254611.46,2
DCMS,ODA,03-Oct-2011,Delivery partner CLM,Programme Management & Integration,CLM Delivery Partner Ltd,62244,254611.46,3
DCMS,ODA,03-Oct-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,62244,50922.29,4
DCMS,ODA,03-Oct-2011,Other Professional Fees,Travel Demand Management,M&C SAATCHI (UK) Limited,62263,63300.00,1
