"Figure 6.1: Key telecoms indicators, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
Telecoms service revenues (£bn),27.4,32.6,37.2,25.6,183.8,18.1,73,13.3,21.4,8.7,3.9,2.4,5.9,30,16.4,10.3,60.8,,,,,,,,,,,,,,,,,,
Telecoms revenues per capita (£),442,506,452,440,599,540,574,626,462,522,427,529,155,151,117,9,46,,,,,,,,,,,,,,,,,,
Fixed lines per 100 population,53.9,37,57.5,37.3,46,55.6,39.1,48.2,42.7,36.5,56.8,42.5,25.7,20.8,32.5,3.2,23.7,,,,,,,,,,,,,,,,,,
Monthly outbound fixed-line minutes per capita,179,141,161,117,167,174,57,213,122,114,202,150,34,91,0,0,10,,,,,,,,,,,,,,,,,,
Mobile connections per 100 population,129.1,95.1,131.5,151.7,93,69.9,87.1,119.2,117.4,124.9,133.1,115,117.3,87,148.8,45.1,56.3,,,,,,,,,,,,,,,,,,
Share of mobile post-pay connections,41%,69%,44%,13%,80%,77%,99%,56%,62%,51%,62%,33%,48%,17%,5%,9%,28%,,,,,,,,,,,,,,,,,,
3G connections per 100 population,41,23.8,31.6,56.6,36.3,9.2,83.6,70.5,49.8,17.9,60.5,48.2,20.9,2.1,3.2,0.1,0.8,,,,,,,,,,,,,,,,,,
Monthly outbound mobile minutes per capita,159,131,92,163,618,312,91,254,128,199,182,185,107,54,165,103,248,,,,,,,,,,,,,,,,,,
Fixed broadband connections per 100 population,29.3,30.3,30.3,21.2,27.3,30.8,25,25,20.8,37,32.5,21.2,13.6,5.6,10.6,0.7,7.8,,,,,,,,,,,,,,,,,,
DSL as a proportion of broadband connections,79%,94%,90%,97%,37%,43%,32%,78%,80%,59%,57%,73%,54%,69%,37%,85%,81%,,,,,,,,,,,,,,,,,,
Mobile broadband connections per 100 population,4.1,3.2,1.6,6.8,11.5,7.7,7.5,10.2,4.2,3.2,14.4,4.3,2.9,,,,,,,,,,,,,,,,,,,,,,
VoIP subscriptions per 100 population,5.4,26.3,10.6,9.5,9.9,10,17.6,14,3.4,20.1,10.8,5.7,1.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: USA, CAN and CHN mobile use includes both outbound and inbound calls; 3G includes W-CDMA and CDMA20000 1xEV-DO but not CDMA2000; BRIC country revenues exclude fixed broadband",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.2: Telecoms revenues by service, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,Non-BRIC,,,,,,,BRIC,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,2004,2005,2006,2007,2008,2009,,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,
Fixed,222.6,217.2,207.5,200.2,191.5,177.5,,183.5,176.4,167,160.9,153.1,143.1,,39.2,40.8,40.5,39.3,38.4,34.5,,,,,,,,,,,,,,,
Mobile,240.3,260.7,282.8,308.4,323.7,332.5,,201.9,215.2,228.1,241.4,247.2,249.5,,38.4,45.5,54.6,67,76.5,83,,,,,,,,,,,,,,,
Fixed broadband,25.4,33.3,42.3,49.8,55.4,60.6,,25.4,33.3,42.3,49.8,55.4,60.6,,,,,,,,,,,,,,,,,,,,,,
Total,488.4,511.2,532.5,558.5,570.6,570.7,,410.8,425,437.4,452.1,455.7,453.3,,77.5,86.3,95.1,106.4,114.9,117.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Excludes fixed-line broadband revenues for the BRIC countries as data were not available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.3: Change in telecoms connections, use and revenues, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All of these services,,Fixed telephony,Mobile telephony,Fixed broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,0.02,,-7.29,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections,10.35,,-5.98,16.25,14.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call volumes,10.24,,-7.51,14.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messaging volumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-BRIC countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All of these services,,Fixed telephony,Mobile telephony,Fixed broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,-0.54,,-6.56,0.95,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections,1.58,,-6.1,3.65,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call volumes,-0.51,,-8.96,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messaging volumes,,,,30.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIC countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All of these services,,Fixed telephony,Mobile telephony,Fixed broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,2.24,,-10.21,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections,17.36,,-5.87,24.71,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call volumes,20.07,,-1.58,21.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messaging volumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Messaging volumes and fixed broadband revenues are not available for BRIC countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.4: Telecoms revenues, by service and country, 2008 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,,
,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,
Fixed,9.56,9.19,10.49,9.72,13.99,12.74,8.89,8.35,65.43,61.8,6.59,6.38,21.23,19.36,4.4,4.21,6.18,5.48,2.4,2.34,1.36,1.28,1.07,0.97,1.53,1.27,14,14.07,5.3,5.2,2.94,2.57,16.13,12.62,
Mobile,15.44,14.9,17.8,18.09,19.94,19.71,13.89,13.71,94.77,97.63,8.17,8.8,45.52,44.89,6.52,7.32,13.39,12.92,4.53,4.47,1.71,1.86,1.39,1.22,4.11,4.04,14.3,15.94,10.92,11.17,7.37,7.75,43.94,48.15,
Fixed broadband,3.29,3.29,4.28,4.79,4.49,4.8,3.27,3.5,21.88,24.35,2.61,2.89,8.01,8.72,1.48,1.79,2.89,2.99,1.68,1.92,0.72,0.73,0.22,0.23,0.58,0.64,,,,,,,,,
Total,28.28,27.37,32.57,32.6,38.42,37.24,26.04,25.55,182.09,183.78,17.37,18.08,74.76,72.96,12.39,13.32,22.46,21.39,8.61,8.72,3.79,3.87,2.68,2.42,6.23,5.95,28.29,30.01,16.22,16.37,10.31,10.31,60.07,60.77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for the BRIC countries exclude fixed broadband revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.5: Growth in total telecoms revenues, 2005 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,3.34%,6.57%,2.64%,8.51%,7.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,6.00%,5.62%,6.82%,5.05%,4.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,5.00%,4.55%,6.60%,3.05%,0.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,5.16%,2.34%,3.71%,3.99%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2.20%,-0.09%,0.88%,0.77%,-1.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,0.24%,1.34%,-0.89%,-6.79%,-2.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
