Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Housing Benefits Admin,Benefits council tenants,15-Jan-2014,200018669,Liberata Uk Ltd,"17,047.06"
Barrow Borough Council,Craven house,Electricity,15-Jan-2014,200018640,NPower,"6,113.91"
Barrow Borough Council,Dock museum,Gas,08-Jan-2014,200018541,British Gas Business,"2,928.56"
Barrow Borough Council,Dock museum,Equipment purchase,29-Jan-2014,200018879,ERCO Lighting Ltd,880.52
Barrow Borough Council,Registration of electors,Professional training,22-Jan-2014,200018764,AEA Bookings,590.00
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,15-Jan-2014,200018735,AB Mitchell Developments,927.40
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,29-Jan-2014,200018901,Keith Wilson Elec Con Ltd,"4,261.08"
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,29-Jan-2014,200018937,Redacted Information,"1,245.00"
Barrow Borough Council,Forum 28,Equipment purchase,29-Jan-2014,200018884,Elior UK Ltd,"2,200.00"
Barrow Borough Council,Dock museum,Cleaning materials,22-Jan-2014,200018850,Elior UK Ltd,654.38
Barrow Borough Council,Mayors Holding A/C,Income Allocated,15-Jan-2014,200018708,Mayors Relief Fund,975.00
Barrow Borough Council,Borough Treasurer's,Professional fees,22-Jan-2014,200018810,Selima Software Ltd,750.00
Barrow Borough Council,Lets Hang On - 07/02/14,Professional fees,29-Jan-2014,200018891,Riviera Entertainments,"2,500.00"
Barrow Borough Council,Major works maintenance - HRA,Decant Costs,29-Jan-2014,200018934,M&P Gadsden Consulting Eng Ltd,"1,103.02"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,29-Jan-2014,200018898,Rixonway Kitchens (Cum) Ltd,"2,563.78"
Barrow Borough Council,Disabled Facilities Grant,Grants,22-Jan-2014,200018813,ThyssenKrupp Encasa Ltd,"1,411.00"
Barrow Borough Council,Parks and open spaces,Grass pitches,15-Jan-2014,200018668,Barrow Playing Fields Users,"7,550.00"
Barrow Borough Council,Barrow town hall,Gas,22-Jan-2014,200018745,British Gas Business,"2,156.24"
Barrow Borough Council,Information technology,Data Line Rental,22-Jan-2014,200018794,Vodafone Ltd,"2,864.18"
Barrow Borough Council,Disabled Facilities Grant,Grants,15-Jan-2014,200018720,Benchmark Building Serv UK Ltd,"3,400.00"
Barrow Borough Council,Recycling,Recycling collection and processing,08-Jan-2014,200018612,Biffa Waste Services Ltd,"66,349.73"
Barrow Borough Council,Cost of collection,Business rates collection,15-Jan-2014,200018669,Liberata Uk Ltd,"20,023.32"
Barrow Borough Council,Recycling,Greenwaste recycling,08-Jan-2014,200018578,Sinkfall Recycling,"3,125.19"
Barrow Borough Council,Street Lighting,Footpath lighting - maintenance,22-Jan-2014,200018761,Optech Fibres,954.12
Barrow Borough Council,Tenant demand maintenance - HRA,Central overheads,29-Jan-2014,200018939,Vinci Construction UK Ltd,"38,931.48"
Barrow Borough Council,Barrow park,Publicity,22-Jan-2014,200018789,Barrow Steelworks Band,800.00
Barrow Borough Council,Local Council Tax Reduction Scheme (LCTRS),LCTRS Admin,15-Jan-2014,200018669,Liberata Uk Ltd,"64,191.38"
Barrow Borough Council,Pantomime Snow White & Seven Dwarves - 17-30/12/13,Equipment purchase,15-Jan-2014,200018707,Global Marketing Group Ltd,"4,981.92"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,29-Jan-2014,200018857,AB Mitchell Developments,"13,980.99"
Barrow Borough Council,Street fittings,Bus shelter maintenance,15-Jan-2014,200018638,Vinci Construction UK Ltd,782.04
Barrow Borough Council,Barrow park,Grounds maintenance,22-Jan-2014,200018759,Continental Landscapes Ltd,"19,750.34"
Barrow Borough Council,HRA Estates,Grounds maintenance,29-Jan-2014,200018871,Continental Landscapes Ltd,625.00
Barrow Borough Council,Capitalised Planned Maintenance,Heating,29-Jan-2014,200018857,AB Mitchell Developments,"13,104.28"
Barrow Borough Council,Emergency planning,Civil contingencies act,08-Jan-2014,200018559,Cumbria County Council,574.00
Barrow Borough Council,Customer services,Customer services contract,15-Jan-2014,200018669,Liberata Uk Ltd,"10,948.56"
Barrow Borough Council,Cluster of Empty Homes,Professional fees,22-Jan-2014,200018849,Pannone Solicitors,"4,718.00"
Barrow Borough Council,Disabled Facilities Grant,Grants,29-Jan-2014,200018857,AB Mitchell Developments,"1,849.00"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,29-Jan-2014,200018857,AB Mitchell Developments,"2,645.68"
Barrow Borough Council,Parks and open spaces,Grounds maintenance,22-Jan-2014,200018759,Continental Landscapes Ltd,"3,943.45"
Barrow Borough Council,The park leisure centre,Equipment purchase,15-Jan-2014,200018709,Sportsafe UK Ltd,"1,333.74"
Barrow Borough Council,Barrow park,Equipment purchase,15-Jan-2014,200018679,T Ward and Son Ltd,850.37
Barrow Borough Council,The park leisure centre,Gas,08-Jan-2014,200018541,British Gas Business,"3,799.42"
Barrow Borough Council,Pantomime Snow White & Seven Dwarves - 17-30/12/13,Professional fees,15-Jan-2014,200018701,Linney PA Systems,"5,294.82"
Barrow Borough Council,Market Hall & Offices,Incidental costs,08-Jan-2014,200018573,Bryan Moncur Ltd,"2,500.00"
Barrow Borough Council,The park leisure centre,Professional fees,22-Jan-2014,200018820,Pulse Fitness Limited,"6,958.01"
Barrow Borough Council,Crematorium,Maintenance contracts - TSU,08-Jan-2014,200018593,The Phoenix Partnership,"3,300.00"
Barrow Borough Council,Waste collection,Refuse collection,29-Jan-2014,200018931,Biffa Waste Services Ltd,"64,908.96"
Barrow Borough Council,Corporate management,External Audit fees,08-Jan-2014,200018542,Grant Thornton UK LLP,"16,814.75"
Barrow Borough Council,Disabled Facilities Grant,Grants,15-Jan-2014,200018693,Dolphin Stairlifts Cumbria,"3,500.00"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,15-Jan-2014,200018735,AB Mitchell Developments,"13,085.29"
Barrow Borough Council,IR personal account,Tax deducted - CIS tax,15-Jan-2014,200018681,Bryan Moncur Ltd,-714.00
Barrow Borough Council,Market Hall & Offices,Incidental costs,15-Jan-2014,200018681,Bryan Moncur Ltd,"5,100.00"
