Department Family,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction Number,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,24 HOUR SUBSISTENCE ALLOWANCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191319,17.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,FARES - AIR,BOARD,TRAVEL&EVENTS-AIR,STAFF EXPENSES CONTROL,0000191319,62.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000191319,254.05
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000191319,144.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,10 HRS + SUBSISTENCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191328,14.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,FARES - AIR,BOARD,TRAVEL&EVENTS-AIR,STAFF EXPENSES CONTROL,0000191328,62.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,FARES - PUBLIC TRANSPORT,BOARD,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000191328,28.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,FARES - RAIL,BOARD,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000191328,30.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,10 HRS + SUBSISTENCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191332,5.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191332,144.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,24 HOUR SUBSISTENCE ALLOWANCE,BOARD,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191333,21.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000191333,64.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,BOARD,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191333,150.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,PURCHASE OF STAFF AWARDS,0000190913,940.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/05/2012,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,PELLACRAFT LIMITED,0000191143,1258.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,CORPORATE ENTERTAINING,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000191167,196.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,STAFF EVENTS,CHIEF EXECUTIVE,MARKETING & MEDIA-PROMOTION,COMPANY BARCLAYCARD,0000191167,49.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000191183,187.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,CORPORATE ENTERTAINING,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000191187,127.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000191187,190.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,PROFESSIONAL SUBSCRIPTIONS,CHIEF EXECUTIVE,PERSONNEL RLTD-STAFF SUBSCRPTN,COMPANY BARCLAYCARD,0000191187,350.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,HOTEL ACCOMMODATION,CHIEF EXECUTIVE,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000191192,767.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,INCIDENTALS,CHIEF EXECUTIVE,PROF SER FNCL-INSURANCE SRVCE,COMPANY BARCLAYCARD,0000191192,40.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000191192,13.41
