Title:,River Water Quality: 1990 to 2006,,,,,,,,,,,,,,,,,,,,,
Year:,1990 to 2006,,,,,,,,,,,,,,,,,,,,,
Geography:,North West Government Office Region and Local Authorities,,,,,,,,,,,,,,,,,,,,,
Units:,"dissolved oxygen, biochemical oxygen demand (BOD) and ammoniacal nitrogen. ",,,,,,,,,,,,,,,,,,,,,
Source:,Environment Agency,,,,,,,,,,,,,,,,,,,,,
URL:,,,,,,,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,,,,,,
Nat. Statistic:,Yes,,,,,,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,
Release Date:,Aug-07,,,,,,,,,,,,,,,,,,,,,
Notes:,"General Quality Assessment (GQA) Scheme assesses the basic chemical quality of rivers and canals based on three determinands - dissolved oxygen, biochemical oxygen demand (BOD) and ammoniacal nitrogen. ",,,,,,,,,,,,,,,,,,,,,
,"GQA is used to assess chemical quality of rivers and canals across England and Wales at 7,000 sites representing 40,000 kilometres of fresh waters since 1990.",,,,,,,,,,,,,,,,,,,,,
,"GQA grades river stretches into six categories (A - F) of chemical quality and these in turn have been grouped into four broader groups - good, fair, poor and bad.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
North West Government Office Region and Local Authorities,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
RDA,DistrictID,District,Year,ReportType,Akm,Bkm,Ckm,Dkm,Ekm,Fkm,Totalkm,Apc,Bpc,Cpc,Dpc,Epc,Fpc,GOODpc,FAIRpc,POORpc,BADpc,Highpc
North West,145,Allerdale,1990,chemistry,90.1,101.5,18.7,28.5,16.3,0,255.1,35.3,39.8,7.3,11.2,6.4,0,75.1,18.5,6.4,0,
North West,145,Allerdale,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,145,Allerdale,1990,phosphate,118,48.5,65.5,10,24.2,0,266.2,44.3,18.2,24.6,3.8,9.1,0,,,,,12.9
North West,145,Allerdale,1990,biology,39.3,174.1,97.3,55.1,38,14.3,418.2,9.4,41.6,23.3,13.2,9.1,3.4,51,36.5,9.1,3.4,
North West,145,Allerdale,1993,chemistry,264.9,112.7,75.8,30.7,29.1,1,514.3,51.5,21.9,14.7,6,5.7,0.2,73.4,20.7,5.7,0.2,
North West,145,Allerdale,1994,chemistry,196.7,149,86,46.8,33.4,2.4,514.3,38.2,29,16.7,9.1,6.5,0.5,67.2,25.8,6.5,0.5,
North West,145,Allerdale,1995,chemistry,227.9,112,106.5,44.4,23.5,2.7,517.1,44.1,21.7,20.6,8.6,4.5,0.5,65.7,29.2,4.5,0.5,
North West,145,Allerdale,1995,nitrate,250.6,56.5,156.9,38.6,11.9,2.7,517.1,48.5,10.9,30.3,7.5,2.3,0.5,,,,,2.8
North West,145,Allerdale,1995,biology,148.6,210.2,121.9,21.7,2.6,0,505.1,29.4,41.6,24.1,4.3,0.5,0,71.1,28.4,0.5,0,
North West,145,Allerdale,1995,phosphate,129.7,200.5,88.8,54.5,38.6,5,517.1,25.1,38.8,17.2,10.5,7.5,1,,,,,19
North West,145,Allerdale,1996,chemistry,206.4,126.6,122.5,34.7,21,5.8,517.1,39.9,24.5,23.7,6.7,4.1,1.1,64.4,30.4,4.1,1.1,
North West,145,Allerdale,1997,chemistry,261.1,132.9,73.4,20.4,23.7,5.5,517.1,50.5,25.7,14.2,4,4.6,1.1,76.2,18.2,4.6,1.1,
North West,145,Allerdale,1998,chemistry,272.8,135.6,47.6,26.3,29.3,5.5,517.1,52.8,26.2,9.2,5.1,5.7,1.1,79,14.3,5.7,1.1,
North West,145,Allerdale,1999,chemistry,271.3,143.1,46.1,31.6,24,1,517.1,52.5,27.7,8.9,6.1,4.6,0.2,80.1,15,4.6,0.2,
North West,145,Allerdale,2000,biology,102.6,157.8,210.7,37.8,6.2,0,515.1,19.9,30.6,40.9,7.3,1.2,0,50.6,48.2,1.2,0,
North West,145,Allerdale,2000,phosphate,221.2,118.6,5,124,44,4.3,517.1,42.8,22.9,1,24,8.5,0.8,,,,,33.3
North West,145,Allerdale,2000,chemistry,260,133.5,86.9,14.3,21.3,1,517.1,50.3,25.8,16.8,2.8,4.1,0.2,76.1,19.6,4.1,0.2,
North West,145,Allerdale,2000,nitrate,246.6,42,153.7,56.2,8.2,10.3,517.1,47.7,8.1,29.7,10.9,1.6,2,,,,,3.6
North West,145,Allerdale,2001,chemistry,284,96.9,99.5,16.6,19,1,517.1,54.9,18.7,19.2,3.2,3.7,0.2,73.7,22.5,3.7,0.2,
North West,145,Allerdale,2001,nitrate,253,38.5,169.3,42.3,13,1,517.1,48.9,7.5,32.7,8.2,2.5,0.2,,,,,2.7
North West,145,Allerdale,2001,phosphate,236.7,74,34,121.9,47,3.4,517.1,45.8,14.3,6.6,23.6,9.1,0.7,,,,,33.3
