Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Total
Department of Health,Care Quality Commission,05/05/2011,Secondments from External Organisations,Intelligence Directorate,Aston University,EFT8003259           ,92876.24
Department of Health,Care Quality Commission,05/05/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8003262           ,4834.9
Department of Health,Care Quality Commission,05/05/2011,Agency,Finance & Corporate Services Directorate,Carlisle Managed Solutions,EFT8003262           ,20308.33
Department of Health,Care Quality Commission,05/05/2011,Agency,Governance & Legal Directorate,Carlisle Managed Solutions,EFT8003262           ,586.04
Department of Health,Care Quality Commission,05/05/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8003262           ,5446.51
Department of Health,Care Quality Commission,05/05/2011,Agency,Operations Delivery Directorate,Carlisle Managed Solutions,EFT8003262           ,42278.17
Department of Health,Care Quality Commission,05/05/2011,Agency,Organisational Development & Human Resources Directorate,Carlisle Managed Solutions,EFT8003262           ,4782.66
Department of Health,Care Quality Commission,05/05/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8003262           ,8815.89
Department of Health,Care Quality Commission,05/05/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8003262           ,7278.54
Department of Health,Care Quality Commission,05/05/2011,Intangible Assets,Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003264           ,122288.8
Department of Health,Care Quality Commission,05/05/2011,IT Managed Service,Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003264           ,255010.55
Department of Health,Care Quality Commission,05/05/2011,"Property, Plant and Equipment",Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003264           ,134711.46
Department of Health,Care Quality Commission,05/05/2011,Maintenance / FM,Finance & Corporate Services Directorate,Europa,EFT8003265           ,51555.52
Department of Health,Care Quality Commission,05/05/2011,Travel and Subsistence,Commission Wide,FCm Travel Solutions,EFT8003267           ,98509.66
Department of Health,Care Quality Commission,05/05/2011,Intangible Assets,Intelligence Directorate,QinetiQ Ltd,EFT8003278           ,96000
Department of Health,Care Quality Commission,09/05/2011,Contracted Lawyers / Legal Fees,Governance & Legal Directorate,Mills & Reeve,EFT8003314           ,96216.32
Department of Health,Care Quality Commission,11/05/2011,Contracted Lawyers / Legal Fees,Governance & Legal Directorate,Bevan Brittan LLP,EFT8003334           ,50344.51
Department of Health,Care Quality Commission,11/05/2011,IT Telecommunications,Finance & Corporate Services Directorate,Cable & Wireless,EFT8003339           ,114795.6
Department of Health,Care Quality Commission,13/05/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8003375           ,8687.57
Department of Health,Care Quality Commission,13/05/2011,Agency,Finance & Corporate Services Directorate,Carlisle Managed Solutions,EFT8003375           ,9231.68
Department of Health,Care Quality Commission,13/05/2011,Agency,Governance & Legal Directorate,Carlisle Managed Solutions,EFT8003375           ,781.39
Department of Health,Care Quality Commission,13/05/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8003375           ,6458.61
Department of Health,Care Quality Commission,13/05/2011,Agency,Operations Delivery Directorate,Carlisle Managed Solutions,EFT8003375           ,57794.95
Department of Health,Care Quality Commission,13/05/2011,Agency,Organisational Development & Human Resources Directorate,Carlisle Managed Solutions,EFT8003375           ,5454.2
Department of Health,Care Quality Commission,13/05/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8003375           ,8898.34
Department of Health,Care Quality Commission,13/05/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8003375           ,20565.03
Department of Health,Care Quality Commission,16/05/2011,Intangible Assets,Finance & Corporate Services Directorate,Computacenter UK Limited,EFT8003407           ,181579.2
Department of Health,Care Quality Commission,16/05/2011,Hotels and Conferences,Commission Wide,Expotel,EFT8003415           ,62002.67
Department of Health,Care Quality Commission,16/05/2011,Intangible Assets,Finance & Corporate Services Directorate,Sapient,EFT8003433           ,236592
Department of Health,Care Quality Commission,18/05/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8003449           ,11174.01
Department of Health,Care Quality Commission,18/05/2011,Agency,Finance & Corporate Services Directorate,Carlisle Managed Solutions,EFT8003449           ,21569.01
Department of Health,Care Quality Commission,18/05/2011,Agency,Governance & Legal Directorate,Carlisle Managed Solutions,EFT8003449           ,781.39
Department of Health,Care Quality Commission,18/05/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8003449           ,9186.53
Department of Health,Care Quality Commission,18/05/2011,Agency,Operations Delivery Directorate,Carlisle Managed Solutions,EFT8003449           ,66257.86
Department of Health,Care Quality Commission,18/05/2011,Agency,Organisational Development & Human Resources Directorate,Carlisle Managed Solutions,EFT8003449           ,6814.37
Department of Health,Care Quality Commission,18/05/2011,Agency,Regulatory Development,Carlisle Managed Solutions,EFT8003449           ,6165.94
Department of Health,Care Quality Commission,18/05/2011,Agency,Strategic Marketing & Communications Directorate,Carlisle Managed Solutions,EFT8003449           ,18790.69
Department of Health,Care Quality Commission,18/05/2011,Rates,Commission Wide,Islington Council,EFT8003455           ,29672
Department of Health,Care Quality Commission,18/05/2011,Intangible Assets,Finance & Corporate Services Directorate,Sapient,EFT8003468           ,66708
Department of Health,Care Quality Commission,20/05/2011,IT Managed Service,Finance & Corporate Services Directorate,CSC Computer Science Ltd,EFT8003481           ,451522.1
Department of Health,Care Quality Commission,25/05/2011,Intangible Assets,Commission Wide,Carlisle Managed Solutions,EFT8003516           ,11519.38
Department of Health,Care Quality Commission,25/05/2011,Agency,Finance & Corporate Services Directorate,Carlisle Managed Solutions,EFT8003516           ,10689.41
Department of Health,Care Quality Commission,25/05/2011,Agency,Governance & Legal Directorate,Carlisle Managed Solutions,EFT8003516           ,781.39
Department of Health,Care Quality Commission,25/05/2011,Agency,Intelligence Directorate,Carlisle Managed Solutions,EFT8003516           ,8813.43
Department of Health,Care Quality Commission,25/05/2011,Agency,Operations Delivery Directorate,Carlisle Managed Solutions,EFT8003516           ,64239.36
Department of Health,Care Quality Commission,25/05/2011,Agency,Organisational Development & Human Resources Directorate,Carlisle Managed Solutions,EFT8003516           ,6775.43
