Department,Entity ,Transaction date,Supplier Name,amount,Expenses type ,Expenses area ,Expenses  Description ,Component Code 
DFID,DFID,01-May-12,Corporate Travel Provider,£609,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",,101636-101
DFID,DFID,01-May-12,Corporate Travel Provider,£783,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",,202403-101
DFID,DFID,01-May-12,Corporate Travel Provider,£623,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",,201689-113
DFID,DFID,01-May-12,Recipient name withheld,£717,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",,100084-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,299",Air fares,"Asia, Caribbean and Overseas Territories",,201739-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,056",Air fares,"Asia, Caribbean and Overseas Territories",,201739-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,459",Air fares,"Asia, Caribbean and Overseas Territories",,201689-101
DFID,DFID,01-May-12,MALCOLM T SUMMERFIELD,"£26,777",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",Production and assessment of the Pitcairn Budget Review 2012-13,201739-101
DFID,DFID,01-May-12,COMPUTACENTER (UK) LTD,"£7,398",Data Network - land lines,Business Solutions Division Level,,200004-110
DFID,DFID,01-May-12,Corporate Travel Provider,£814,Hotels - Accommodation only,Business Solutions Division Level,,200001-102
DFID,DFID,01-May-12,Corporate Travel Provider,£814,Hotels - Accommodation only,Business Solutions Division Level,,200001-102
DFID,DFID,01-May-12,Corporate Travel Provider,£814,Hotels - Accommodation only,Business Solutions Division Level,,200001-102
DFID,DFID,01-May-12,Corporate Travel Provider,"£3,042",Air fares,Communications Division,,100197-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,441",Air fares,Communications Division,,100197-101
DFID,DFID,01-May-12,Corporate Travel Provider,£603,Air fares,Communications Division,,100197-101
DFID,DFID,01-May-12,FCO SERVICES,"£2,788",Courier & Bag Services,East and Central Africa,,202594-101
DFID,DFID,01-May-12,Corporate Travel Provider,£722,Hotels - Accommodation only,East and Central Africa,,101612-101
DFID,DFID,01-May-12,Corporate Travel Provider,£711,Hotels - Accommodation only,East and Central Africa,,101633-101
DFID,DFID,01-May-12,Corporate Travel Provider,£725,Hotels - Accommodation only,East and Central Africa,,101612-101
DFID,DFID,01-May-12,Corporate Travel Provider,£783,Hotels - Accommodation only,East and Central Africa,,201512-102
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,028",Air fares,East and Central Africa,,101628-101
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,714",Air fares,East and Central Africa,,101625-102
DFID,DFID,01-May-12,Corporate Travel Provider,£503,Air fares,East and Central Africa,,101625-103
DFID,DFID,01-May-12,Corporate Travel Provider,"£1,714",Air fares,East and Central Africa,,101625-102
DFID,DFID,01-May-12,IRWIN GRAYSON ASSOCIATES,"£13,714",Technical and Advisory Services,East and Central Africa,,101634-101
DFID,DFID,01-May-12,HTSPE LTD,"£11,175",Technical and Advisory Services,East and Central Africa,,103548-101
DFID,DFID,01-May-12,HTSPE LTD,"£27,788",Technical and Advisory Services,East and Central Africa,,202580-101
DFID,DFID,01-May-12,Corporate Travel Provider,£655,Hotels - Accommodation only,Finance and Corporate Performance Division,,200173-102
DFID,DFID,01-May-12,Corporate Travel Provider,£578,Hotels - Accommodation only,"Human Resources,Security & Facilities Division",,100266-101
