Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,164,152.14,225,217.87,645,630.54,618,599.96,119,116.16,0,0.00,1771,1716.67,16,16.00,0,0.00,111,100.48,0,0,127,116.48,1898,1833.15,7578981.27,31433.92,81574.43,95983.19,1136208.54,534922.78,9459104.13,2370187.14,950013.672,3320200.812,12779304.94,,,2370187.14,950013.672,3320200.812
Driving Standards Agency,Executive Agency,Department for Transport,222,182.46,1693,1574.12,303,297.28,39,38.83,0,0.00,0,0.00,2257,2092.69,14,14.00,0,0.00,0,0.00,0,0,14,14.00,2271,2106.69,4289408.49,117389.53,-165,223111.17,881585.48,352772.03,5864101.7,89494.09,-4963.22,84530.87,5948632.57,,,,,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4300,3760.10,744,699.32,602,575.04,126,121.37,7,7.00,0,0.00,5779,5162.83,0,0.00,1,0.80,3,2.70,0,0,4,3.50,5783,5166.33,9295849,81279,18984,253990,1665454,589760,11905316,18612,5929,24541,11929857,,,,,
Highways Agency,Executive Agency,Department for Transport,1386,1337.79,376,353.82,1442,1396.03,357,344.81,37,36.14,0,0.00,3598,3468.60,0,0.00,121,32.82,0,0.00,0,0,121,32.82,3719,3501.42,8759183.4,758951.08,6609.62,103399.06,1843215.47,767627.3,12238985.93,974379.84,,974379.84,13213365.77,,,,,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,419,384.70,228,218.05,299,274.37,104,100.60,5,5.00,0,0.00,1055,982.72,27,27.00,0,0.00,0,0.00,0,0,27,27.00,1082,1009.72,2464632.12,267032.63,1894,152295.04,514531.23,202179.21,3602564.23,81758.11,,81758.11,3684322.34,,,,,
Vehicle Certification Agency,Executive Agency,Department for Transport,43,37.45,40,37.80,78,76.25,7,7.00,1,1.00,0,0.00,169,159.50,2,2.00,0,0.00,0,0.00,0,0,2,2.00,171,161.50,504901,9808,,38029,91074,42853,686665,5599,,5599,692264,,,,,
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1043,981.26,786,766.53,414,406.67,43,42.15,6,6.00,0,0.00,2292,2202.61,55,52.52,10,10.00,57,57.00,0,0,122,119.52,2414,2322.13,4634883.54,382972.68,11445,293745.15,927481.17,404030.25,6654557.79,407490.9,0,407490.9,7062048.69,,,,,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,6,6.00,3,2.70,2,2.00,0,0.00,11,10.70,0,0.00,0,0.00,2,1.30,0,0,2,1.30,13,12.00,40514,3591,,,5265,3852,53222,5918,18460,24378,77600,,,,,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,6.00,12,6.00,1,0.10,0,0.00,0,0.00,0,0,1,0.10,13,6.10,65284.86,,,,3372.51,9213.22,77870.59,,,0,77870.59,,,,,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,79,78.40,15,14.58,242,232.41,113,110.49,25,23.80,3,3.00,477,462.68,46,46.00,128,128.00,185,185.00,0,0,359,359.00,836,821.68,2018826.13,,121127.44,0,87365.37,271251.58,2498570.52,2000743.43,,2000743.43,4499313.95,,,,,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,10.50,18,18.00,65,64.60,13,12.80,4,4.00,69,63.70,197,173.60,10,3.20,0,0.00,0,0.00,0,0,10,3.20,207,176.80,513976.01,8600.44,0,29454.44,105273.21,55834.49,,16671.488,,16671.488,16671.488,,,,,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1.00,17,16.80,15,14.60,12,11.80,3,3.00,0,0.00,48,47.20,0,0.00,0,0.00,5,1.50,0,0,5,1.50,53,48.70,168536,578,,,31517,15710,216341,9959,,9959,226300,,,,,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,311,302.00,311,302.00,11,11.00,0,0.00,0,0.00,0,0,11,11.00,322,313.00,869557.28,6808.5,,24395.07,169257.17,73606.66,1143624.68,17535.52,,17535.52,1161160.2,,,,,
